From	To
P35680	HNF1B
Q7RTS3	PTF1A
Q13217	DNAJC3
P09038	FGF2
P48742	LHX1
P55075	FGF8
P48431	SOX2
P20823	HNF1A
P11168	SLC2A2
P55317	FOXA1
Q15465	SHH
Q8WXG9	ADGRV1
P20916	MAG
Q12948	FOXC1
P39905	GDNF
Q99958	FOXC2
Q8TAX0	OSR1
Q9H2W2	MIXL1
Q9H6I2	SOX17
Q9Y2N7	HIF3A
Q99814	EPAS1
P11362	FGFR1
O95947	TBX6
P31371	FGF9
P48436	SOX9
Q9UBC0	ONECUT1
O43623	SNAI2
Q9UJU5	FOXD3
P18850	ATF6
P35638	DDIT3
P08240	SRPRA
O95070	YIF1A
P17676	CEBPB
Q15848	ADIPOQ
Q9UH73	EBF1
P37231	PPARG
Q13105	ZBTB17
P11802	CDK4
P15090	FABP4
P23771	GATA3
O14905	WNT9B
P56705	WNT4
P15336	ATF2
Q9UBK2	PPARGC1A
Q8TAB3	PCDH19
O94979	SEC31A
O43524	FOXO3
P04040	CAT
P11940	PABPC1
P51858	HDGF
Q15475	SIX1
Q02962	PAX2
Q9BQ90	KLHDC3
Q9Y261	FOXA2
A8MTQ0	NOTO
P0C869	PLA2G4B
P43694	GATA4
P09681	GIP
P52951	GBX2
Q2M1K9	ZNF423
Q9HB03	ELOVL3
P05549	TFAP2A
Q15915	ZIC1
O15520	FGF10
P43307	SSR1
P04179	SOD2
P49715	CEBPA
P41159	LEP
Q8N7U7	TPRX1
A6NLW8	DUXA
Q9P0U4	CXXC1
P35222	CTNNB1
P23759	PAX7
O15178	TBXT
O00548	DLL1
P11474	ESRRA
P13196	ALAS1
P52945	PDX1
P10997	IAPP
Q9UBQ6	EXTL2
Q9Y4L1	HYOU1
Q12778	FOXO1
Q01860	POU5F1
O96014	WNT11
O95096	NKX2-2
P01308	INS
Q14554	PDIA5
P61421	ATP6V0D1
P01137	TGFB1
Q5MNZ9	WIPI1
P06576	ATP5F1B
Q99626	CDX2
P01275	GCG
Q06710	PAX8
Q9NWM8	FKBP14
P23760	PAX3
P49716	CEBPD
Q06210	GFPT1
P62753	RPS6
P17275	JUNB
Q12946	FOXF1
A0PJW6	TMEM223
P00395	MT-CO1
O14595	CTDSP2
Q13887	KLF5
Q92935	EXTL1
P49748	ACADVL
P17483	HOXB4
O43909	EXTL3
P78426	NKX6-1
P12644	BMP4
P24468	NR2F2
Q14508	WFDC2
Q9Y5M8	SRPRB
Q9UBS3	DNAJB9
Q15173	PPP2R5B
P18848	ATF4
P11021	HSPA5
P05412	JUN
P38936	CDKN1A
P46527	CDKN1B
O60315	ZEB2
Q04743	EMX2
Q13322	GRB10
P56704	WNT3A
P14625	HSP90B1
P10145	CXCL8
Q9Y2D1	ATF5
P36776	LONP1
Q92793	CREBBP
P23560	BDNF
Q9Y4Z2	NEUROG3
Q13562	NEUROD1
P48023	FASLG
P35557	GCK
O43521	BCL2L11
Q86TM6	SYVN1
Q17RH7	TPRXL
