Source,Interaction,Target
http://smpdb.ca/pathways/#ProteinReference/5691,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/1571
http://smpdb.ca/pathways/#ProteinReference/6148,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/125
http://smpdb.ca/pathways/#ProteinReference/11453,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/11454
http://smpdb.ca/pathways/#ProteinReference/20394,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/20391
http://smpdb.ca/pathways/#ProteinReference/19448,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19407
http://smpdb.ca/pathways/#ProteinReference/4632,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/1117
http://smpdb.ca/pathways/#ProteinReference/11454,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19508
http://smpdb.ca/pathways/#ProteinReference/11867,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/247
http://smpdb.ca/pathways/#ProteinReference/19543,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19535
http://smpdb.ca/pathways/#ProteinReference/19673,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19659
http://smpdb.ca/pathways/#ProteinReference/7181,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/205
http://smpdb.ca/pathways/#ProteinReference/6461,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/174
http://smpdb.ca/pathways/#ProteinReference/19358,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19500
http://smpdb.ca/pathways/#ProteinReference/19443,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19448
http://smpdb.ca/pathways/#ProteinReference/1315,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/5148
http://smpdb.ca/pathways/#ProteinReference/19424,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19426
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/119
http://smpdb.ca/pathways/#ProteinReference/7725,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/16
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/175
http://smpdb.ca/pathways/#ProteinReference/11887,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/205
http://smpdb.ca/pathways/#ProteinReference/10604,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/174
http://smpdb.ca/pathways/#ProteinReference/16198,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/20363
http://smpdb.ca/pathways/#ProteinReference/17558,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/17553
http://smpdb.ca/pathways/#ProteinReference/11623,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/203
http://smpdb.ca/pathways/#ProteinReference/22655,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#GenericProteinReference/201
http://smpdb.ca/pathways/#ProteinReference/19360,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19552
http://smpdb.ca/pathways/#ProteinReference/19670,abstraction:ControlsExpressionOf,http://smpdb.ca/pathways/#ProteinReference/19656
