Source,Interaction,Target
http://smpdb.ca/pathways/#ProteinReference/14848,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/14848
http://smpdb.ca/pathways/#ProteinReference/7377,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/7389
http://smpdb.ca/pathways/#ProteinReference/16936,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/17375
http://smpdb.ca/pathways/#ProteinReference/20631,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20638
http://smpdb.ca/pathways/#ProteinReference/20572,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20578
http://smpdb.ca/pathways/#ProteinReference/20554,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20600
http://smpdb.ca/pathways/#ProteinReference/14364,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/14366
http://smpdb.ca/pathways/#ProteinReference/20130,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20159
http://smpdb.ca/pathways/#ProteinReference/6555,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/6555
http://smpdb.ca/pathways/#ProteinReference/20046,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20051
http://smpdb.ca/pathways/#ProteinReference/19562,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/19562
http://smpdb.ca/pathways/#ProteinReference/17488,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/7758
http://smpdb.ca/pathways/#ProteinReference/20722,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20734
http://smpdb.ca/pathways/#ProteinReference/11665,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/11675
http://smpdb.ca/pathways/#ProteinReference/11722,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/11736
http://smpdb.ca/pathways/#ProteinReference/20171,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20173
http://smpdb.ca/pathways/#ProteinReference/20553,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20665
http://smpdb.ca/pathways/#ProteinReference/11044,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/11045
http://smpdb.ca/pathways/#ProteinReference/20136,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20141
http://smpdb.ca/pathways/#ProteinReference/14843,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/14848
http://smpdb.ca/pathways/#ProteinReference/8090,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8098
http://smpdb.ca/pathways/#ProteinReference/20664,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20783
http://smpdb.ca/pathways/#ProteinReference/8085,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8117
http://smpdb.ca/pathways/#ProteinReference/14650,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/14653
http://smpdb.ca/pathways/#ProteinReference/1247,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8629
http://smpdb.ca/pathways/#ProteinReference/20688,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20723
http://smpdb.ca/pathways/#ProteinReference/20595,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20608
http://smpdb.ca/pathways/#ProteinReference/20565,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20602
http://smpdb.ca/pathways/#ProteinReference/11716,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/11738
http://smpdb.ca/pathways/#ProteinReference/8097,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8103
http://smpdb.ca/pathways/#ProteinReference/7939,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/7949
http://smpdb.ca/pathways/#ProteinReference/20121,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20143
http://smpdb.ca/pathways/#ProteinReference/20613,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20622
http://smpdb.ca/pathways/#ProteinReference/19499,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/19601
http://smpdb.ca/pathways/#ProteinReference/20168,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20181
http://smpdb.ca/pathways/#ProteinReference/20556,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20664
http://smpdb.ca/pathways/#ProteinReference/8082,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8093
http://smpdb.ca/pathways/#ProteinReference/20606,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20645
http://smpdb.ca/pathways/#ProteinReference/4811,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8120
http://smpdb.ca/pathways/#ProteinReference/19505,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/21011
http://smpdb.ca/pathways/#ProteinReference/7935,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/7947
http://smpdb.ca/pathways/#ProteinReference/15106,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/15106
http://smpdb.ca/pathways/#ProteinReference/20602,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20644
http://smpdb.ca/pathways/#ProteinReference/19448,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20006
http://smpdb.ca/pathways/#ProteinReference/20170,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20185
http://smpdb.ca/pathways/#ProteinReference/10352,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/7347
http://smpdb.ca/pathways/#ProteinReference/20602,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20605
http://smpdb.ca/pathways/#ProteinReference/6711,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/6711
http://smpdb.ca/pathways/#ProteinReference/13597,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/13597
http://smpdb.ca/pathways/#ProteinReference/17323,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/17326
http://smpdb.ca/pathways/#ProteinReference/8077,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8085
http://smpdb.ca/pathways/#ProteinReference/8040,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8041
http://smpdb.ca/pathways/#ProteinReference/8080,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8089
http://smpdb.ca/pathways/#ProteinReference/11731,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/11732
http://smpdb.ca/pathways/#ProteinReference/456,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/456
http://smpdb.ca/pathways/#ProteinReference/20551,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20558
http://smpdb.ca/pathways/#ProteinReference/20118,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20119
http://smpdb.ca/pathways/#ProteinReference/20619,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20639
http://smpdb.ca/pathways/#ProteinReference/4776,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/5738
http://smpdb.ca/pathways/#ProteinReference/20641,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20658
http://smpdb.ca/pathways/#ProteinReference/21867,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/22300
http://smpdb.ca/pathways/#ProteinReference/20606,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20662
http://smpdb.ca/pathways/#ProteinReference/16909,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/16913
http://smpdb.ca/pathways/#ProteinReference/8108,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8113
http://smpdb.ca/pathways/#ProteinReference/15176,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/15176
http://smpdb.ca/pathways/#ProteinReference/270,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/270
http://smpdb.ca/pathways/#ProteinReference/20125,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20139
http://smpdb.ca/pathways/#ProteinReference/16994,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/17470
http://smpdb.ca/pathways/#ProteinReference/20134,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20140
http://smpdb.ca/pathways/#ProteinReference/3391,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/8052
http://smpdb.ca/pathways/#ProteinReference/7940,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/7943
http://smpdb.ca/pathways/#ProteinReference/19594,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/21015
http://smpdb.ca/pathways/#ProteinReference/17470,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/17502
http://smpdb.ca/pathways/#ProteinReference/20732,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20756
http://smpdb.ca/pathways/#ProteinReference/11732,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/11734
http://smpdb.ca/pathways/#ProteinReference/13844,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/13844
http://smpdb.ca/pathways/#ProteinReference/16994,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/17479
http://smpdb.ca/pathways/#ProteinReference/20549,abstraction:InComplexWith,http://smpdb.ca/pathways/#ProteinReference/20616
