Source,Interaction,Target
http://smpdb.ca/pathways/#ProteinReference/19426,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19633
http://smpdb.ca/pathways/#ProteinReference/19587,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/22112
http://smpdb.ca/pathways/#ProteinReference/19617,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/20064
http://smpdb.ca/pathways/#ProteinReference/21540,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/22274
http://smpdb.ca/pathways/#GenericProteinReference/342,abstraction:InteractsWith,http://smpdb.ca/pathways/#GenericProteinReference/343
http://smpdb.ca/pathways/#ProteinReference/1424,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/1783
http://smpdb.ca/pathways/#ProteinReference/1405,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/3331
http://smpdb.ca/pathways/#ProteinReference/14793,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/216
http://smpdb.ca/pathways/#ProteinReference/1067,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/1598
http://smpdb.ca/pathways/#CompoundReference/PW_C000816,abstraction:InteractsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001326
http://smpdb.ca/pathways/#GenericProteinReference/354,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19616
http://smpdb.ca/pathways/#ProteinReference/19815,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19835
http://smpdb.ca/pathways/#ProteinReference/22152,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/22153
http://smpdb.ca/pathways/#ProteinReference/19608,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/22015
http://smpdb.ca/pathways/#ProteinReference/19450,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/21859
http://smpdb.ca/pathways/#ProteinReference/19600,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/21107
http://smpdb.ca/pathways/#ProteinReference/20000,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/21462
http://smpdb.ca/pathways/#GenericProteinReference/426,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/21290
http://smpdb.ca/pathways/#ProteinReference/15041,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/22295
http://smpdb.ca/pathways/#ProteinReference/15042,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/21139
http://smpdb.ca/pathways/#ProteinReference/22151,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/22154
http://smpdb.ca/pathways/#ProteinReference/19448,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19618
http://smpdb.ca/pathways/#ProteinReference/19400,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19968
http://smpdb.ca/pathways/#ProteinReference/14446,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/14447
http://smpdb.ca/pathways/#ProteinReference/19633,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/21427
http://smpdb.ca/pathways/#ProteinReference/14693,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/2864
http://smpdb.ca/pathways/#GenericProteinReference/354,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/20032
http://smpdb.ca/pathways/#ProteinReference/19815,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19844
http://smpdb.ca/pathways/#ProteinReference/1808,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/1837
http://smpdb.ca/pathways/#ProteinReference/19445,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19616
http://smpdb.ca/pathways/#ProteinReference/19584,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19848
http://smpdb.ca/pathways/#ProteinReference/19910,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19914
http://smpdb.ca/pathways/#ProteinReference/19624,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/21069
http://smpdb.ca/pathways/#GenericProteinReference/354,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/16114
http://smpdb.ca/pathways/#ProteinReference/1404,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/14444
http://smpdb.ca/pathways/#ProteinReference/19910,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19961
http://smpdb.ca/pathways/#ProteinReference/14353,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/14678
http://smpdb.ca/pathways/#ProteinReference/19911,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/19912
http://smpdb.ca/pathways/#ProteinReference/14460,abstraction:InteractsWith,http://smpdb.ca/pathways/#ProteinReference/8287
