Source,Interaction,Target
http://smpdb.ca/pathways/#ProteinReference/17172,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000201
http://smpdb.ca/pathways/#ProteinReference/13717,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000894
http://smpdb.ca/pathways/#ProteinReference/11895,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040828
http://smpdb.ca/pathways/#ProteinReference/6412,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000170
http://smpdb.ca/pathways/#ProteinReference/408,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000749
http://smpdb.ca/pathways/#ProteinReference/14294,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001452
http://smpdb.ca/pathways/#ProteinReference/17198,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001087
http://smpdb.ca/pathways/#ProteinReference/2216,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000480
http://smpdb.ca/pathways/#ProteinReference/15694,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000143
http://smpdb.ca/pathways/#ProteinReference/11189,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001034
http://smpdb.ca/pathways/#ProteinReference/22980,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C006816
http://smpdb.ca/pathways/#ProteinReference/11548,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000924
http://smpdb.ca/pathways/#ProteinReference/1897,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C008843
http://smpdb.ca/pathways/#ProteinReference/17436,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001935
http://smpdb.ca/pathways/#ProteinReference/1700,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000500
http://smpdb.ca/pathways/#ProteinReference/13876,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000510
http://smpdb.ca/pathways/#ProteinReference/11849,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#ProteinReference/469,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040610
http://smpdb.ca/pathways/#ProteinReference/688,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#ProteinReference/12030,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000143
http://smpdb.ca/pathways/#ProteinReference/252,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001560
http://smpdb.ca/pathways/#ProteinReference/13602,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000644
http://smpdb.ca/pathways/#ProteinReference/6482,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C006324
http://smpdb.ca/pathways/#ProteinReference/12060,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000024
http://smpdb.ca/pathways/#ProteinReference/13598,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001083
http://smpdb.ca/pathways/#ProteinReference/16975,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001051
http://smpdb.ca/pathways/#ProteinReference/22837,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C042939
http://smpdb.ca/pathways/#ProteinReference/5721,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040458
http://smpdb.ca/pathways/#ProteinReference/16758,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001034
http://smpdb.ca/pathways/#ProteinReference/17025,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000149
http://smpdb.ca/pathways/#ProteinReference/6844,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#ProteinReference/6604,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000146
http://smpdb.ca/pathways/#ProteinReference/7257,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040813
http://smpdb.ca/pathways/#ProteinReference/14905,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001560
http://smpdb.ca/pathways/#ProteinReference/14749,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000064
http://smpdb.ca/pathways/#ProteinReference/15616,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001441
http://smpdb.ca/pathways/#ProteinReference/14735,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001099
http://smpdb.ca/pathways/#ProteinReference/7725,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000935
http://smpdb.ca/pathways/#ProteinReference/16222,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000714
http://smpdb.ca/pathways/#ProteinReference/15126,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C002804
http://smpdb.ca/pathways/#ProteinReference/22647,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001144
http://smpdb.ca/pathways/#ProteinReference/10933,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000032
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040779
http://smpdb.ca/pathways/#ProteinReference/13667,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000414
http://smpdb.ca/pathways/#ProteinReference/16205,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C002417
http://smpdb.ca/pathways/#ProteinReference/16994,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000201
http://smpdb.ca/pathways/#ProteinReference/11266,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040925
http://smpdb.ca/pathways/#ProteinReference/11090,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000148
http://smpdb.ca/pathways/#ProteinReference/5911,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C007817
http://smpdb.ca/pathways/#ProteinReference/14765,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000170
http://smpdb.ca/pathways/#ProteinReference/15235,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001034
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C006324
http://smpdb.ca/pathways/#ProteinReference/5903,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000940
http://smpdb.ca/pathways/#ProteinReference/14749,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#GenericCompoundReference/141
http://smpdb.ca/pathways/#ProteinReference/17458,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001227
http://smpdb.ca/pathways/#ProteinReference/20490,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000458
http://smpdb.ca/pathways/#ProteinReference/956,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040536
http://smpdb.ca/pathways/#ProteinReference/16875,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040459
http://smpdb.ca/pathways/#ProteinReference/74,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000143
http://smpdb.ca/pathways/#ProteinReference/294,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001060
http://smpdb.ca/pathways/#ProteinReference/16875,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040457
http://smpdb.ca/pathways/#ProteinReference/19396,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000936
http://smpdb.ca/pathways/#ProteinReference/15899,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001104
http://smpdb.ca/pathways/#ProteinReference/1432,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000721
http://smpdb.ca/pathways/#ProteinReference/17431,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001048
http://smpdb.ca/pathways/#ProteinReference/15197,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000141
http://smpdb.ca/pathways/#ProteinReference/16975,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001799
http://smpdb.ca/pathways/#ProteinReference/15142,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000129
http://smpdb.ca/pathways/#ProteinReference/16269,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#GenericCompoundReference/159
http://smpdb.ca/pathways/#ProteinReference/13663,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C002914
http://smpdb.ca/pathways/#ProteinReference/15325,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000044
http://smpdb.ca/pathways/#ProteinReference/1442,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001783
http://smpdb.ca/pathways/#ProteinReference/658,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000143
http://smpdb.ca/pathways/#ProteinReference/6626,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040979
http://smpdb.ca/pathways/#ProteinReference/15391,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000020
http://smpdb.ca/pathways/#ProteinReference/22823,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C104745
http://smpdb.ca/pathways/#ProteinReference/216,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#GenericCompoundReference/290
http://smpdb.ca/pathways/#ProteinReference/6250,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C041167
http://smpdb.ca/pathways/#ProteinReference/14936,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#ProteinReference/15806,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#ProteinReference/17073,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000054
http://smpdb.ca/pathways/#ProteinReference/16064,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C002183
http://smpdb.ca/pathways/#ProteinReference/6474,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000164
http://smpdb.ca/pathways/#ProteinReference/6140,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001144
http://smpdb.ca/pathways/#ProteinReference/14148,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C006775
http://smpdb.ca/pathways/#ProteinReference/11475,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000170
http://smpdb.ca/pathways/#ProteinReference/13573,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001316
http://smpdb.ca/pathways/#ProteinReference/14802,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001441
http://smpdb.ca/pathways/#ProteinReference/15424,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000244
http://smpdb.ca/pathways/#ProteinReference/15533,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000784
http://smpdb.ca/pathways/#ProteinReference/6250,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#ProteinReference/6839,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040989
http://smpdb.ca/pathways/#ProteinReference/286,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040481
http://smpdb.ca/pathways/#ProteinReference/7725,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000846
http://smpdb.ca/pathways/#ProteinReference/7765,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000721
http://smpdb.ca/pathways/#ProteinReference/6532,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040954
http://smpdb.ca/pathways/#ProteinReference/13845,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#GenericCompoundReference/9
http://smpdb.ca/pathways/#ProteinReference/10981,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001783
http://smpdb.ca/pathways/#ProteinReference/15081,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C001441
http://smpdb.ca/pathways/#ProteinReference/14940,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000032
http://smpdb.ca/pathways/#ProteinReference/16340,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C007130
http://smpdb.ca/pathways/#ProteinReference/13727,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000749
http://smpdb.ca/pathways/#ProteinReference/13940,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C000814
http://smpdb.ca/pathways/#ProteinReference/6312,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
