Source,Interaction,Target
http://smpdb.ca/pathways/#ProteinReference/19387,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000178
http://smpdb.ca/pathways/#ProteinReference/6873,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C001894
http://smpdb.ca/pathways/#ProteinReference/20495,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000457
http://smpdb.ca/pathways/#ProteinReference/11789,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#ProteinReference/11896,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000095
http://smpdb.ca/pathways/#ProteinReference/16109,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000077
http://smpdb.ca/pathways/#ProteinReference/1787,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009184
http://smpdb.ca/pathways/#ProteinReference/15718,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000123
http://smpdb.ca/pathways/#ProteinReference/7266,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C007839
http://smpdb.ca/pathways/#ProteinReference/3206,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009022
http://smpdb.ca/pathways/#ProteinReference/2100,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000129
http://smpdb.ca/pathways/#ProteinReference/1228,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000457
http://smpdb.ca/pathways/#ProteinReference/7382,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C040793
http://smpdb.ca/pathways/#ProteinReference/15323,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C002659
http://smpdb.ca/pathways/#ProteinReference/7394,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C044531
http://smpdb.ca/pathways/#ProteinReference/7057,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000007
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000033
http://smpdb.ca/pathways/#ProteinReference/2409,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#GenericCompoundReference/39
http://smpdb.ca/pathways/#ProteinReference/433,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009655
http://smpdb.ca/pathways/#ProteinReference/10207,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C001829
http://smpdb.ca/pathways/#ProteinReference/19365,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000052
http://smpdb.ca/pathways/#ProteinReference/5711,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000063
http://smpdb.ca/pathways/#ProteinReference/1315,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000041
http://smpdb.ca/pathways/#ProteinReference/7057,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000187
http://smpdb.ca/pathways/#ProteinReference/7090,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000103
http://smpdb.ca/pathways/#ProteinReference/16108,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000077
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000145
http://smpdb.ca/pathways/#ProteinReference/5707,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000194
http://smpdb.ca/pathways/#ProteinReference/7758,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000693
http://smpdb.ca/pathways/#ProteinReference/1988,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000458
http://smpdb.ca/pathways/#ProteinReference/3206,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009241
http://smpdb.ca/pathways/#ProteinReference/13670,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000497
http://smpdb.ca/pathways/#ProteinReference/1787,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C008843
http://smpdb.ca/pathways/#ProteinReference/14932,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000164
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C001875
http://smpdb.ca/pathways/#ProteinReference/2199,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000458
http://smpdb.ca/pathways/#ProteinReference/20684,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000374
http://smpdb.ca/pathways/#ProteinReference/7725,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C001034
http://smpdb.ca/pathways/#ProteinReference/6915,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#ProteinReference/2220,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000076
http://smpdb.ca/pathways/#ProteinReference/3206,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#GenericCompoundReference/32
http://smpdb.ca/pathways/#ProteinReference/14623,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000044
http://smpdb.ca/pathways/#ProteinReference/2379,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000414
http://smpdb.ca/pathways/#ProteinReference/1530,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000034
http://smpdb.ca/pathways/#ProteinReference/16323,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000194
http://smpdb.ca/pathways/#ProteinReference/11902,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000123
http://smpdb.ca/pathways/#ProteinReference/20675,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000353
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000123
http://smpdb.ca/pathways/#ProteinReference/4840,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000457
http://smpdb.ca/pathways/#ProteinReference/10346,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#ProteinReference/7048,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000095
http://smpdb.ca/pathways/#ProteinReference/10857,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000063
http://smpdb.ca/pathways/#ProteinReference/2199,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000457
http://smpdb.ca/pathways/#ProteinReference/7090,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000104
http://smpdb.ca/pathways/#ProteinReference/3206,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C008757
http://smpdb.ca/pathways/#ProteinReference/20490,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000353
http://smpdb.ca/pathways/#ProteinReference/6943,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000964
http://smpdb.ca/pathways/#ProteinReference/7203,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000123
http://smpdb.ca/pathways/#ProteinReference/7007,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000119
http://smpdb.ca/pathways/#ProteinReference/16114,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000077
http://smpdb.ca/pathways/#ProteinReference/1484,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000174
http://smpdb.ca/pathways/#ProteinReference/1700,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000500
http://smpdb.ca/pathways/#ProteinReference/7084,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C001838
http://smpdb.ca/pathways/#ProteinReference/19550,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C001028
http://smpdb.ca/pathways/#ProteinReference/3206,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009333
http://smpdb.ca/pathways/#ProteinReference/14623,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000675
http://smpdb.ca/pathways/#ProteinReference/11573,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C057918
http://smpdb.ca/pathways/#ProteinReference/15938,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C002751
http://smpdb.ca/pathways/#ProteinReference/15721,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000123
http://smpdb.ca/pathways/#ProteinReference/13762,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000206
http://smpdb.ca/pathways/#ProteinReference/6866,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#ProteinReference/11860,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000088
http://smpdb.ca/pathways/#ProteinReference/1897,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009432
http://smpdb.ca/pathways/#ProteinReference/1862,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009184
http://smpdb.ca/pathways/#ProteinReference/7435,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000458
http://smpdb.ca/pathways/#ProteinReference/6915,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000203
http://smpdb.ca/pathways/#ProteinReference/11587,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000941
http://smpdb.ca/pathways/#ProteinReference/19384,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000178
http://smpdb.ca/pathways/#ProteinReference/11793,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C002722
http://smpdb.ca/pathways/#ProteinReference/3206,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C009272
http://smpdb.ca/pathways/#ProteinReference/7390,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C001906
http://smpdb.ca/pathways/#ProteinReference/16116,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000105
http://smpdb.ca/pathways/#ProteinReference/22047,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000353
http://smpdb.ca/pathways/#ProteinReference/1647,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C008884
http://smpdb.ca/pathways/#ProteinReference/2177,abstraction:ControlsTransportOfChemical,http://smpdb.ca/pathways/#CompoundReference/PW_C000458
