Source,Interaction,Target
http://smpdb.ca/pathways/#CompoundReference/PW_C096983,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19773
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19769
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/21046
http://smpdb.ca/pathways/#CompoundReference/PW_C096983,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/1650
http://smpdb.ca/pathways/#CompoundReference/PW_C096983,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19775
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19461
http://smpdb.ca/pathways/#CompoundReference/PW_C096983,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/14373
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19767
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/3357
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19765
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19628
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/22236
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/1201
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/22237
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19771
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19770
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/3359
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/21047
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19764
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19760
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19460
http://smpdb.ca/pathways/#CompoundReference/PW_C096983,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19772
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19763
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/7583
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/20105
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/21841
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/1990
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/3358
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19459
http://smpdb.ca/pathways/#CompoundReference/PW_C096983,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19778
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/21842
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/8566
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/14697
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19673
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19758
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/1783
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19766
http://smpdb.ca/pathways/#CompoundReference/PW_C001104,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/22235
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19759
