Source,Interaction,Target
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040989
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040839
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C041110
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C042673
http://smpdb.ca/pathways/#CompoundReference/PW_C000412,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000414
http://smpdb.ca/pathways/#CompoundReference/PW_C041100,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C059085
http://smpdb.ca/pathways/#CompoundReference/PW_C000746,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040590
http://smpdb.ca/pathways/#CompoundReference/PW_C000237,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001144
http://smpdb.ca/pathways/#CompoundReference/PW_C001062,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001918
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040978
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:reactsWith,http://smpdb.ca/pathways/#GenericCompoundReference/162
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C057916
http://smpdb.ca/pathways/#CompoundReference/PW_C000193,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C002313
http://smpdb.ca/pathways/#CompoundReference/PW_C000721,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C104726
http://smpdb.ca/pathways/#CompoundReference/PW_C000149,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040660
http://smpdb.ca/pathways/#CompoundReference/PW_C000092,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001221
http://smpdb.ca/pathways/#CompoundReference/PW_C043034,abstraction:reactsWith,http://smpdb.ca/pathways/#GenericCompoundReference/533
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040622
http://smpdb.ca/pathways/#CompoundReference/PW_C000180,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001019
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001000
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040597
http://smpdb.ca/pathways/#CompoundReference/PW_C000782,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000940
http://smpdb.ca/pathways/#CompoundReference/PW_C000146,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C002704
http://smpdb.ca/pathways/#CompoundReference/PW_C000774,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001104
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000843
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001190
http://smpdb.ca/pathways/#CompoundReference/PW_C000263,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000721
http://smpdb.ca/pathways/#CompoundReference/PW_C000146,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C002961
http://smpdb.ca/pathways/#CompoundReference/PW_C000911,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001031
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C045278
http://smpdb.ca/pathways/#CompoundReference/PW_C000146,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C044548
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#GenericCompoundReference/228
http://smpdb.ca/pathways/#CompoundReference/PW_C000538,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001065
http://smpdb.ca/pathways/#CompoundReference/PW_C000098,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000746
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040765
http://smpdb.ca/pathways/#CompoundReference/PW_C000721,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000782
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040751
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C006078
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C002704
http://smpdb.ca/pathways/#CompoundReference/PW_C000085,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000414
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C008635
http://smpdb.ca/pathways/#CompoundReference/PW_C000120,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000414
http://smpdb.ca/pathways/#CompoundReference/PW_C000721,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C001448
http://smpdb.ca/pathways/#CompoundReference/PW_C000103,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C000134
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:reactsWith,http://smpdb.ca/pathways/#GenericCompoundReference/302
http://smpdb.ca/pathways/#CompoundReference/PW_C000134,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C057942
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C041432
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:reactsWith,http://smpdb.ca/pathways/#GenericCompoundReference/72
http://smpdb.ca/pathways/#CompoundReference/PW_C000003,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#CompoundReference/PW_C000184,abstraction:reactsWith,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
