Source,Interaction,Target
http://smpdb.ca/pathways/#Protein/19374_Nucleus,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/7736_Cytosol
http://smpdb.ca/pathways/#Protein/19359_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/19378_Nucleus
http://smpdb.ca/pathways/#Protein/19360_Cell_Membrane,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/19431_Cytosol
http://smpdb.ca/pathways/#Protein/19470_Nucleus,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/19474_Cytosol
http://smpdb.ca/pathways/#Protein/11452_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/11449_Cell_Membrane
http://smpdb.ca/pathways/#Protein/19374_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/7736_Nucleus
http://smpdb.ca/pathways/#Protein/19360_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/7736_Cytosol
http://smpdb.ca/pathways/#Protein/1315_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/1802_Cytosol
http://smpdb.ca/pathways/#Protein/19372_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/19378_Cytosol
http://smpdb.ca/pathways/#Protein/19360_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/7736_Nucleus
http://smpdb.ca/pathways/#Protein/19358_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/19379_Cytosol
http://smpdb.ca/pathways/#Protein/19373_Nucleus,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/7764_Nucleus
http://smpdb.ca/pathways/#Protein/1424_Cytosol,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/1783_Cytosol
http://smpdb.ca/pathways/#Protein/1315_Cell_Membrane,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/5148_Cytosol
http://smpdb.ca/pathways/#Protein/19360_Cell_Membrane,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#Protein/19431_Cell_Membrane
