Source,Interaction,Target
http://smpdb.ca/pathways/#Protein/20170_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20173_Cytoplasm
http://smpdb.ca/pathways/#Protein/20698_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20714_Cytoplasm
http://smpdb.ca/pathways/#Protein/10439,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/10440
http://smpdb.ca/pathways/#Protein/20547_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20664_Cytoplasm
http://smpdb.ca/pathways/#Protein/19587_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/21905_Cell_Membrane
http://smpdb.ca/pathways/#Protein/20128_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20145_Cytoplasm
http://smpdb.ca/pathways/#Protein/20698_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20747_Cytoplasm
http://smpdb.ca/pathways/#Protein/16401_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/16401_Cytoplasm
http://smpdb.ca/pathways/#Protein/20623_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20641_Cytoplasm
http://smpdb.ca/pathways/#Protein/20704_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20736_Cytoplasm
http://smpdb.ca/pathways/#Protein/1990_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/3359_Cytoplasm
http://smpdb.ca/pathways/#Protein/1441_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/1444_Cytosol
http://smpdb.ca/pathways/#Protein/20163_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20167_Cytoplasm
http://smpdb.ca/pathways/#Protein/12103,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/12103
http://smpdb.ca/pathways/#Protein/15958_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/15958_Cytoplasm
http://smpdb.ca/pathways/#Protein/7736_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7781_Cytosol
http://smpdb.ca/pathways/#Protein/11725_Mitochondrial_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11734_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Protein/6693,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/6694
http://smpdb.ca/pathways/#Protein/7207_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7207_Inner_Membrane
http://smpdb.ca/pathways/#Protein/17470_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/17502_Cytosol
http://smpdb.ca/pathways/#Protein/20115_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20156_Cytoplasm
http://smpdb.ca/pathways/#Protein/20694_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20740_Cytoplasm
http://smpdb.ca/pathways/#Protein/15036_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/15036_Cytosol
http://smpdb.ca/pathways/#Protein/10762,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/10763
http://smpdb.ca/pathways/#Protein/11661_Chloroplast,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11676_Chloroplast
http://smpdb.ca/pathways/#Protein/6265_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/6542_Inner_Membrane
http://smpdb.ca/pathways/#Protein/1273_Nucleus,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8461_Nucleus
http://smpdb.ca/pathways/#Protein/11725_Mitochondrial_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11736_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Protein/19339_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/19348_Cytosol
http://smpdb.ca/pathways/#Protein/20175_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20188_Cytoplasm
http://smpdb.ca/pathways/#Protein/20553_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20618_Cytoplasm
http://smpdb.ca/pathways/#Protein/20566_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20591_Cytoplasm
http://smpdb.ca/pathways/#Protein/1367_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/2256_Cell_Membrane
http://smpdb.ca/pathways/#Protein/20179_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20182_Cytoplasm
http://smpdb.ca/pathways/#Protein/20479,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20482
http://smpdb.ca/pathways/#Protein/6854_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/6856_Inner_Membrane
http://smpdb.ca/pathways/#Protein/5738_Endoplasmic_Reticulum_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/5741_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Protein/20144_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20149_Cytoplasm
http://smpdb.ca/pathways/#Protein/5729_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/5811_Cytoplasm
http://smpdb.ca/pathways/#Protein/8080_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8100_Cytoplasm
http://smpdb.ca/pathways/#Protein/10857_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/16928_Cytosol
http://smpdb.ca/pathways/#Protein/1515_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/3065_Cell_Membrane
http://smpdb.ca/pathways/#Protein/17313_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/17323_Cell_Membrane
http://smpdb.ca/pathways/#Protein/7736_Nucleus,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7736_Nucleus
http://smpdb.ca/pathways/#Protein/7933_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7936_Cytoplasm
http://smpdb.ca/pathways/#Protein/1840_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/4382_Cell_Membrane
http://smpdb.ca/pathways/#Protein/326_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/326_Cytoplasm
http://smpdb.ca/pathways/#Protein/8100_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8112_Cytoplasm
http://smpdb.ca/pathways/#Protein/8080_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8093_Cytoplasm
http://smpdb.ca/pathways/#Protein/7936,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7950
http://smpdb.ca/pathways/#Protein/11732_Mitochondrial_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11733_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Protein/11305_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11306_Cytosol
http://smpdb.ca/pathways/#Protein/8088_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8090_Cytoplasm
http://smpdb.ca/pathways/#Protein/20563_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20619_Cytoplasm
http://smpdb.ca/pathways/#Protein/7523_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7718_Inner_Membrane
http://smpdb.ca/pathways/#Protein/21929_Nucleus,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/22021_Nucleus
http://smpdb.ca/pathways/#Protein/8097_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8108_Cytoplasm
http://smpdb.ca/pathways/#Protein/20635_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20655_Cytoplasm
http://smpdb.ca/pathways/#Protein/21707_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/21747_Cytoplasm
http://smpdb.ca/pathways/#Protein/7945,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7952
http://smpdb.ca/pathways/#Protein/19927_Nucleus,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/19937_Nucleus
http://smpdb.ca/pathways/#Protein/20551_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20651_Cytoplasm
http://smpdb.ca/pathways/#Protein/21713,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/21723
http://smpdb.ca/pathways/#Protein/20600_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20622_Cytoplasm
http://smpdb.ca/pathways/#Protein/20137_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20149_Cytoplasm
http://smpdb.ca/pathways/#Protein/11182_Chloroplast,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11183_Chloroplast
http://smpdb.ca/pathways/#Protein/8035_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8061_Cytoplasm
http://smpdb.ca/pathways/#Protein/20619_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20630_Cytoplasm
http://smpdb.ca/pathways/#Protein/15461,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/15461
http://smpdb.ca/pathways/#Protein/2026_sarcoplasmic_reticulum,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/2026_sarcoplasmic_reticulum
http://smpdb.ca/pathways/#Protein/20593_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20659_Cytoplasm
http://smpdb.ca/pathways/#Protein/16469_Mitochondrion,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/16478_Mitochondrion
http://smpdb.ca/pathways/#Protein/15989_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/19817_Cytoplasm
http://smpdb.ca/pathways/#Protein/8098_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8116_Cytoplasm
http://smpdb.ca/pathways/#Protein/17492_Endoplasmic_Reticulum_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/17498_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Protein/15311_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/15311_Cytoplasm
http://smpdb.ca/pathways/#Protein/20547_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20628_Cytoplasm
http://smpdb.ca/pathways/#Protein/5831,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/5831
http://smpdb.ca/pathways/#Protein/8105_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8107_Cytoplasm
http://smpdb.ca/pathways/#Protein/20726_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20732_Cytoplasm
http://smpdb.ca/pathways/#Protein/10619,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/10623
http://smpdb.ca/pathways/#Protein/20124_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20148_Cytoplasm
http://smpdb.ca/pathways/#Protein/14694_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/3627_Cytoplasm
http://smpdb.ca/pathways/#Protein/8042_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8048_Cytoplasm
http://smpdb.ca/pathways/#Protein/20593_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20613_Cytoplasm
http://smpdb.ca/pathways/#Protein/8095_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8111_Cytoplasm
http://smpdb.ca/pathways/#Protein/5952,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/5952
http://smpdb.ca/pathways/#Protein/370_Mitochondrion,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/370_Mitochondrion
http://smpdb.ca/pathways/#Protein/1455_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/956_Cytosol
http://smpdb.ca/pathways/#Protein/12185_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/12189_Inner_Membrane
http://smpdb.ca/pathways/#Protein/10673_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/10674_Cytosol
http://smpdb.ca/pathways/#Protein/17470_Endoplasmic_Reticulum_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/17485_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Protein/8112_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8113_Cytoplasm
http://smpdb.ca/pathways/#Protein/11185_Chloroplast,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11186_Chloroplast
http://smpdb.ca/pathways/#Protein/8032_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8037_Cytoplasm
http://smpdb.ca/pathways/#Protein/11663_Chloroplast,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11667_Chloroplast
http://smpdb.ca/pathways/#Protein/14650,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/14656
http://smpdb.ca/pathways/#Protein/20177_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20182_Cytoplasm
http://smpdb.ca/pathways/#Protein/465_Endoplasmic_Reticulum_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/5744_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Protein/1591,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/3618
http://smpdb.ca/pathways/#Protein/19864_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20604_Cytosol
http://smpdb.ca/pathways/#Protein/17481_Endoplasmic_Reticulum_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/17486_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Protein/8083_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8115_Cytoplasm
http://smpdb.ca/pathways/#Protein/20575_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20619_Cytoplasm
http://smpdb.ca/pathways/#Protein/7933,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7937
http://smpdb.ca/pathways/#Protein/8037_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8059_Cytoplasm
http://smpdb.ca/pathways/#Protein/11670_Chloroplast,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11676_Chloroplast
http://smpdb.ca/pathways/#Protein/7334,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7334
http://smpdb.ca/pathways/#Protein/7814,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7815
http://smpdb.ca/pathways/#Protein/20744_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20767_Cytoplasm
http://smpdb.ca/pathways/#Protein/1294_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/2269_Cell_Membrane
http://smpdb.ca/pathways/#Protein/13739_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/13740_Cytosol
http://smpdb.ca/pathways/#Protein/8104_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8105_Cytoplasm
http://smpdb.ca/pathways/#Protein/20637_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20650_Cytoplasm
http://smpdb.ca/pathways/#Protein/16184_Golgi_apparatus,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/16184_Golgi_apparatus
http://smpdb.ca/pathways/#Protein/20588_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20659_Cytoplasm
http://smpdb.ca/pathways/#Protein/17482_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/17505_Cytosol
http://smpdb.ca/pathways/#Protein/17661_Cytosol,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/17661_Cytosol
http://smpdb.ca/pathways/#Protein/20737_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20760_Cytoplasm
http://smpdb.ca/pathways/#Protein/20555_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20611_Cytoplasm
http://smpdb.ca/pathways/#Protein/21709,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/21751
http://smpdb.ca/pathways/#Protein/21083_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7736_Cell_Membrane
http://smpdb.ca/pathways/#Protein/8089_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8117_Cytoplasm
http://smpdb.ca/pathways/#Protein/21751,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/21769
http://smpdb.ca/pathways/#Protein/11722_Mitochondrial_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11738_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Protein/5739_Endoplasmic_Reticulum,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/5743_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Protein/20571_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20654_Cytoplasm
http://smpdb.ca/pathways/#Protein/8031_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8032_Cytoplasm
http://smpdb.ca/pathways/#Protein/5921_Inner_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7137_Inner_Membrane
http://smpdb.ca/pathways/#Protein/15952_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/15952_Cytoplasm
http://smpdb.ca/pathways/#Protein/1158,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/1224
http://smpdb.ca/pathways/#Protein/20588_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20613_Cytoplasm
http://smpdb.ca/pathways/#Protein/1117_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/1184_Cytoplasm
http://smpdb.ca/pathways/#Protein/20178_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20187_Cytoplasm
http://smpdb.ca/pathways/#Protein/20555_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20658_Cytoplasm
http://smpdb.ca/pathways/#Protein/11179_Chloroplast,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11779_Chloroplast
http://smpdb.ca/pathways/#Protein/21790_Cell_Membrane,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/22273_Cell_Membrane
http://smpdb.ca/pathways/#Protein/8084_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8101_Cytoplasm
http://smpdb.ca/pathways/#Protein/20722_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20736_Cytoplasm
http://smpdb.ca/pathways/#Protein/8100_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/8106_Cytoplasm
http://smpdb.ca/pathways/#Protein/20552_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20569_Cytoplasm
http://smpdb.ca/pathways/#Protein/278_Mitochondrial_Intermembrane_Space,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/278_Mitochondrial_Intermembrane_Space
http://smpdb.ca/pathways/#Protein/11120,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/11123
http://smpdb.ca/pathways/#Protein/5966,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/7718
http://smpdb.ca/pathways/#Protein/20123_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20143_Cytoplasm
http://smpdb.ca/pathways/#Protein/20182_Cytoplasm,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/20187_Cytoplasm
http://smpdb.ca/pathways/#Protein/14738_Peroxisome,abstraction:InComplexWith,http://smpdb.ca/pathways/#Protein/15798_Peroxisome
