Source,Interaction,Target
http://smpdb.ca/pathways/#Protein/1703_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/3798_Cytoplasm
http://smpdb.ca/pathways/#Protein/19436_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/20995_Cytoplasm
http://smpdb.ca/pathways/#Protein/1121_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/5795_Cytoplasm
http://smpdb.ca/pathways/#Protein/19427_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/Generic354_Cytoplasm
http://smpdb.ca/pathways/#Protein/19413_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19422_Cytoplasm
http://smpdb.ca/pathways/#Protein/21069_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/21885_Cytoplasm
http://smpdb.ca/pathways/#Protein/2991_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/5797_Cytoplasm
http://smpdb.ca/pathways/#Protein/15042_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/21139_Cytoplasm
http://smpdb.ca/pathways/#Protein/19705_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/22153_Cytoplasm
http://smpdb.ca/pathways/#Protein/11018_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/11020
http://smpdb.ca/pathways/#Protein/19817_Extracellular_Space,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19819_Extracellular_Space
http://smpdb.ca/pathways/#Protein/19455_Nucleus,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19459_Nucleus
http://smpdb.ca/pathways/#Protein/19741_Cell_Membrane,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/Generic353_Cell_Membrane
http://smpdb.ca/pathways/#Protein/22111_Membrane,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/22112_Membrane
http://smpdb.ca/pathways/#Protein/19413_Nucleus,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19422_Cytoplasm
http://smpdb.ca/pathways/#Protein/21014_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/21258_Cytoplasm
http://smpdb.ca/pathways/#Protein/22110_Membrane,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/22113_Membrane
http://smpdb.ca/pathways/#Protein/19970_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19998_Cytoplasm
http://smpdb.ca/pathways/#Protein/15041_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/21261_Cytoplasm
http://smpdb.ca/pathways/#Protein/19616_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19997_Cytoplasm
http://smpdb.ca/pathways/#Protein/11450_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19446_Cytoplasm
http://smpdb.ca/pathways/#Protein/19575_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19587_Cytoplasm
http://smpdb.ca/pathways/#Protein/17408_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/7736_Cytoplasm
http://smpdb.ca/pathways/#Protein/19607_Nucleus,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/22019_Nucleus
http://smpdb.ca/pathways/#Protein/19413_Cytoplasm,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/19608_Cytoplasm
http://smpdb.ca/pathways/#Protein/14374_Extracellular_Space,abstraction:InteractsWith,http://smpdb.ca/pathways/#Protein/14375_Extracellular_Space
