Source,Interaction,Target
http://smpdb.ca/pathways/#Compound/PW_C001065_Chloroplast,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11568_chloroplast
http://smpdb.ca/pathways/#Compound/PW_C001851_Cytoplasm,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/7725_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000142_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/13690_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C001316,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/10796
http://smpdb.ca/pathways/#Compound/PW_C000173_Endoplasmic_Reticulum_Membrane,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/16633_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C040034,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11860
http://smpdb.ca/pathways/#Compound/PW_C040034_Chloroplast,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/22839_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C000172_Endoplasmic_Reticulum_Membrane,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/1017_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000029_Mitochondrial_Matrix,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/15533_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C001420_Peroxisome,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/13837_Peroxisome
http://smpdb.ca/pathways/#Compound/PW_C001057_Mitochondrion,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/13915_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C001420_Cytoplasm,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/13652_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C000036_Cytoplasm,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/10480_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C001420,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/10954
http://smpdb.ca/pathways/#Compound/PW_C000146_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/522_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000101_Cytoplasm,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/16346_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/10957
http://smpdb.ca/pathways/#Compound/PW_C001420,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11134_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C000057_Mitochondrial_Inner_Membrane,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/17710_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Compound/PW_C043034_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/16224_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000142_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/16528_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C001065,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/7336
http://smpdb.ca/pathways/#Compound/PW_C040771,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/5928
http://smpdb.ca/pathways/#Compound/PW_C000829_Peroxisome,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11296_Peroxisome
http://smpdb.ca/pathways/#Compound/PW_C001420_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/16999_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C001420_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/17352_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C040953_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/6532_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000123,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/6403
http://smpdb.ca/pathways/#Compound/PW_C000746_Endoplasmic_Reticulum,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/13661_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C002965_Endoplasmic_Reticulum_Membrane,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/1688_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000887_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/16954_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C001148_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/7725_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000837_Cytoplasm,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/15205_Cytoplasm
http://smpdb.ca/pathways/#Compound/Generic230_Mitochondrial_Inner_Membrane,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/14765_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000209_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/17467_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000882_Cytoplasm,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/16711_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C000109,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11860
http://smpdb.ca/pathways/#Compound/PW_C001009_Periplasmic_Space,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11860
http://smpdb.ca/pathways/#Compound/PW_C001414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/974
http://smpdb.ca/pathways/#Compound/PW_C040034,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/7471_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000993_Chloroplast,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11546_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C000173_Endoplasmic_Reticulum_Membrane,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/2413_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000062,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/198
http://smpdb.ca/pathways/#Compound/PW_C001144_Endoplasmic_Reticulum_Membrane,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/2414_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C002905_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/17033_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000163,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/6422
http://smpdb.ca/pathways/#Compound/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/7725_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C006780_Endoplasmic_Reticulum,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/7725_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C000029_Mitochondrial_Matrix,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/13667_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C008951_Extracellular_Space,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/2371
http://smpdb.ca/pathways/#Compound/PW_C000414_Cytosol,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/15234_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C001083,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#Protein/11860
