Source,Interaction,Target
http://smpdb.ca/pathways/#Protein/11860,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000795_Cytosol
http://smpdb.ca/pathways/#Protein/12122,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C041243
http://smpdb.ca/pathways/#Protein/7725_Cytosol,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000159_Cytosol
http://smpdb.ca/pathways/#Protein/14970_Cytoplasm,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000032_Cytoplasm
http://smpdb.ca/pathways/#Protein/10981_Cytosol,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001144_Cytosol
http://smpdb.ca/pathways/#Protein/14934_Mitochondrion,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001420_Mitochondrion
http://smpdb.ca/pathways/#Protein/13962_Endoplasmic_Reticulum,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001337_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Protein/7725_Cytosol,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000952_Cytosol
http://smpdb.ca/pathways/#Protein/16321,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000194_Cytosol
http://smpdb.ca/pathways/#Protein/17433_Cytosol,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001948_Cytosol
http://smpdb.ca/pathways/#Protein/15234_Mitochondrial_Outer_Membrane,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001034_Mitochondrial_Outer_Membrane
http://smpdb.ca/pathways/#Protein/1455_Endoplasmic_Reticulum_Membrane,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C008641_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Protein/10898_Endoplasmic_Reticulum,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C044577_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Protein/3501_Lysosome,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000131_Lysosome
http://smpdb.ca/pathways/#Protein/17260_Endoplasmic_Reticulum,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C002016_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Protein/7799_Mitochondrial_Matrix,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000170_Cytoplasm
http://smpdb.ca/pathways/#Protein/13874_Mitochondrion,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C002704_Mitochondrion
http://smpdb.ca/pathways/#Protein/10589,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001034
http://smpdb.ca/pathways/#Protein/10759,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C012810
http://smpdb.ca/pathways/#Protein/11860,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C040858
http://smpdb.ca/pathways/#Protein/6814_Cytosol,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000874_Cytosol
http://smpdb.ca/pathways/#Protein/7725_Mitochondrial_Outer_Membrane,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000081_Mitochondrial_Outer_Membrane
http://smpdb.ca/pathways/#Protein/13774_Cytosol,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000967
http://smpdb.ca/pathways/#Protein/15263_Mitochondrial_Matrix,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001178_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Protein/15014_Lysosome,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000148_Lysosome
http://smpdb.ca/pathways/#Protein/16825_Peroxisome,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C000154_Peroxisome
http://smpdb.ca/pathways/#Protein/10981,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/Generic545
http://smpdb.ca/pathways/#Protein/14318_Endoplasmic_Reticulum_Membrane,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C001420_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Protein/11860,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C042898
http://smpdb.ca/pathways/#Protein/22976_Endoplasmic_Reticulum,abstraction:ControlsProductionOf,http://smpdb.ca/pathways/#Compound/PW_C002967_Endoplasmic_Reticulum
