Source,Interaction,Target
http://smpdb.ca/pathways/#Compound/PW_C000146_Endoplasmic_Reticulum_Membrane,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C009558_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000146_Endoplasmic_Reticulum_Membrane,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001690_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000886_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000094_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C041114,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000146
http://smpdb.ca/pathways/#Compound/PW_C003002,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C040034
http://smpdb.ca/pathways/#Compound/PW_C041026,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C041114_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000463_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001150_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000845_Mitochondrial_Inner_Membrane,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000845_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C040838_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C040034_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000146_Endoplasmic_Reticulum_Membrane,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000809_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C000854,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000921
http://smpdb.ca/pathways/#Compound/Generic69_Mitochondrial_Matrix,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001928_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C001420_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001969_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C007216_Lysosome,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001065_Lysosome
http://smpdb.ca/pathways/#Compound/PW_C001500_Mitochondrion,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000721_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C001189,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/Generic99
http://smpdb.ca/pathways/#Compound/PW_C000125_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000143_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C102457_Mitochondrion,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001420_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C000146_Endoplasmic_Reticulum_Membrane,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C104769_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C040034,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C008134
http://smpdb.ca/pathways/#Compound/PW_C040034_Chloroplast,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000944_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C002775_Mitochondrial_Matrix,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C002775_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000971_Cytoplasm,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000783_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C001142,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001420
http://smpdb.ca/pathways/#Compound/PW_C000063_Mitochondrial_Matrix,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000063
http://smpdb.ca/pathways/#Compound/PW_C000981_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001420_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C022605_Cytoplasm,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001420_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C001065,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C044577
http://smpdb.ca/pathways/#Compound/PW_C000414_Cytoplasm,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000448_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C040705_Lysosome,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C040705_Peroxisome
http://smpdb.ca/pathways/#Compound/PW_C015054_Endoplasmic_Reticulum,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001099_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C000414_Mitochondrial_Matrix,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001090_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C000164,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001316
http://smpdb.ca/pathways/#Compound/PW_C000057_Endoplasmic_Reticulum,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C003149_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C040779,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000122
http://smpdb.ca/pathways/#Compound/PW_C000040_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000040_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C001420,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C041126
http://smpdb.ca/pathways/#Compound/PW_C001092_Cytoplasm,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001092_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000940,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000148
http://smpdb.ca/pathways/#Compound/PW_C001996_Mitochondrial_Matrix,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001996_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C000721,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000101_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C044586,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001420
http://smpdb.ca/pathways/#Compound/PW_C000102,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000190
http://smpdb.ca/pathways/#Compound/PW_C000095_Mitochondrial_Matrix,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000721_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C001099_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000721_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C001420_Peroxisome,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C104739_Peroxisome
http://smpdb.ca/pathways/#Compound/PW_C000905,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001420
http://smpdb.ca/pathways/#Compound/PW_C002006_Mitochondrion,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000721_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C000170,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000193
http://smpdb.ca/pathways/#Compound/PW_C040034_Chloroplast,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C002162_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C001065,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C041140
http://smpdb.ca/pathways/#Compound/PW_C040986,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C040985_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000927_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001034_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000768_Endoplasmic_Reticulum,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001144_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C040034_Chloroplast,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/Generic299_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C000028_Mitochondrial_Matrix,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000414_Mitochondrial_Matrix
http://smpdb.ca/pathways/#Compound/PW_C001420_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000998
http://smpdb.ca/pathways/#Compound/PW_C000721_Mitochondrion,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000721_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000414,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000366
http://smpdb.ca/pathways/#Compound/PW_C001038_Cytosol,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C040034_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000994,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000994_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C000414_Chloroplast,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000570
http://smpdb.ca/pathways/#Compound/PW_C001144_Endoplasmic_Reticulum_Membrane,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C040521_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/Generic302_Endoplasmic_Reticulum_Membrane,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/Generic302_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C057882_Chloroplast,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C001065_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C000065,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C000065_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C001202_Cytoplasm,abstraction:ReactsWith,http://smpdb.ca/pathways/#Compound/PW_C040660_Cytoplasm
