Source,Interaction,Target
http://smpdb.ca/pathways/#Compound/PW_C008526_Mitochondrion,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C007757_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C040034_Cytoplasm,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C040034_Extracellular_Space
http://smpdb.ca/pathways/#Compound/PW_C001065_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/Generic227_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000081_Mitochondrial_Inner_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000064_Mitochondrial_Inner_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000067_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000590_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C011888,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C040034
http://smpdb.ca/pathways/#Compound/PW_C000414,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000170_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000994,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000143
http://smpdb.ca/pathways/#Compound/PW_C040744,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C043298
http://smpdb.ca/pathways/#Compound/Generic524_Cytoplasm,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000146_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C001031_Mitochondrial_Inner_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000147_Mitochondrial_Outer_Membrane
http://smpdb.ca/pathways/#Compound/PW_C001420_Outer_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001851
http://smpdb.ca/pathways/#Compound/PW_C000119_Lysosome,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000093_Lysosome
http://smpdb.ca/pathways/#Compound/PW_C000440_Cell_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C006391_Cell_Membrane
http://smpdb.ca/pathways/#Compound/PW_C001537_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000019_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000440_Endoplasmic_Reticulum,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000059_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C057945_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001316_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000414,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000637
http://smpdb.ca/pathways/#Compound/PW_C041674_Cytoplasm,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001099_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C000201_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/Generic98
http://smpdb.ca/pathways/#Compound/PW_C041164,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000270
http://smpdb.ca/pathways/#Compound/PW_C002009_Mitochondrion,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000143_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C000721,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C040034_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C001144_Endoplasmic_Reticulum_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C040623_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C012708,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000721
http://smpdb.ca/pathways/#Compound/PW_C001045_Cytoplasm,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001178_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C001106,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001197
http://smpdb.ca/pathways/#Compound/PW_C000517_Mitochondrial_Outer_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000079_Mitochondrion
http://smpdb.ca/pathways/#Compound/PW_C040083,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C002943
http://smpdb.ca/pathways/#Compound/PW_C001316_Cytoplasm,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000463_Cytoplasm
http://smpdb.ca/pathways/#Compound/PW_C000962_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001034_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C007837_Chloroplast,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C104742_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C000779_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C007822_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000479,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000092
http://smpdb.ca/pathways/#Compound/PW_C041213_Chloroplast,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000104_Chloroplast
http://smpdb.ca/pathways/#Compound/PW_C001420_Cytosol,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001148_Cytosol
http://smpdb.ca/pathways/#Compound/PW_C000057_Endoplasmic_Reticulum,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C001189
http://smpdb.ca/pathways/#Compound/PW_C008829_Endoplasmic_Reticulum_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000201_Endoplasmic_Reticulum_Membrane
http://smpdb.ca/pathways/#Compound/PW_C000414_Inner_Membrane,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C000171_Inner_Membrane
http://smpdb.ca/pathways/#Compound/PW_C040764_Endoplasmic_Reticulum,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C022608_Endoplasmic_Reticulum
http://smpdb.ca/pathways/#Compound/PW_C040034_Endoplasmic_Reticulum,abstraction:UsedToProduce,http://smpdb.ca/pathways/#Compound/PW_C002962_Endoplasmic_Reticulum
