Source,Interaction,Target
http://smpdb.ca/pathways/#ProteinReference/19374,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7736
http://smpdb.ca/pathways/#ProteinReference/19373,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19379
http://smpdb.ca/pathways/#ProteinReference/3900,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5766
http://smpdb.ca/pathways/#ProteinReference/19374,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19377
http://smpdb.ca/pathways/#ProteinReference/19372,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7758
http://smpdb.ca/pathways/#ProteinReference/19336,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19332
http://smpdb.ca/pathways/#ProteinReference/19454,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19461
http://smpdb.ca/pathways/#ProteinReference/19458,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19475
http://smpdb.ca/pathways/#ProteinReference/19542,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19539
http://smpdb.ca/pathways/#ProteinReference/19670,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19656
http://smpdb.ca/pathways/#ProteinReference/19673,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19659
http://smpdb.ca/pathways/#ProteinReference/22239,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7758
http://smpdb.ca/pathways/#ProteinReference/19413,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19422
http://smpdb.ca/pathways/#ProteinReference/19469,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19473
http://smpdb.ca/pathways/#ProteinReference/19358,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7764
http://smpdb.ca/pathways/#ProteinReference/22240,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7736
http://smpdb.ca/pathways/#ProteinReference/3900,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/1802
http://smpdb.ca/pathways/#ProteinReference/19458,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19460
http://smpdb.ca/pathways/#ProteinReference/19455,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19459
http://smpdb.ca/pathways/#ProteinReference/19470,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19474
http://smpdb.ca/pathways/#ProteinReference/5689,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5690
http://smpdb.ca/pathways/#ProteinReference/1813,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5776
http://smpdb.ca/pathways/#ProteinReference/19414,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19418
http://smpdb.ca/pathways/#ProteinReference/19359,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19432
http://smpdb.ca/pathways/#ProteinReference/19415,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19419
http://smpdb.ca/pathways/#ProteinReference/19358,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19433
http://smpdb.ca/pathways/#ProteinReference/19542,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19534
http://smpdb.ca/pathways/#ProteinReference/19373,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7764
http://smpdb.ca/pathways/#ProteinReference/19337,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19333
http://smpdb.ca/pathways/#ProteinReference/19543,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19535
http://smpdb.ca/pathways/#ProteinReference/1315,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5766
http://smpdb.ca/pathways/#ProteinReference/19360,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7736
http://smpdb.ca/pathways/#ProteinReference/1424,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/1783
http://smpdb.ca/pathways/#ProteinReference/11452,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/11449
http://smpdb.ca/pathways/#ProteinReference/19358,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19379
http://smpdb.ca/pathways/#ProteinReference/19360,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19377
http://smpdb.ca/pathways/#ProteinReference/19359,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19378
http://smpdb.ca/pathways/#ProteinReference/19335,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19334
http://smpdb.ca/pathways/#ProteinReference/1117,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5770
http://smpdb.ca/pathways/#ProteinReference/1315,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/1802
http://smpdb.ca/pathways/#ProteinReference/19360,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19431
http://smpdb.ca/pathways/#ProteinReference/19544,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19541
http://smpdb.ca/pathways/#ProteinReference/14698,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/2069
http://smpdb.ca/pathways/#ProteinReference/19359,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7758
http://smpdb.ca/pathways/#ProteinReference/1248,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/3332
http://smpdb.ca/pathways/#ProteinReference/19543,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19540
http://smpdb.ca/pathways/#ProteinReference/22171,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/7764
http://smpdb.ca/pathways/#ProteinReference/1410,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5795
http://smpdb.ca/pathways/#ProteinReference/19372,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19378
http://smpdb.ca/pathways/#ProteinReference/1813,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5778
http://smpdb.ca/pathways/#ProteinReference/19544,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/19533
http://smpdb.ca/pathways/#ProteinReference/1315,abstraction:ControlsTransportOf,http://smpdb.ca/pathways/#ProteinReference/5148
