Source,Interaction,Target
http://smpdb.ca/pathways/#CompoundReference/PW_C044580,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/10902
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/7765
http://smpdb.ca/pathways/#CompoundReference/PW_C040445,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/14834
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/15818
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/17213
http://smpdb.ca/pathways/#CompoundReference/PW_C000190,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/10981
http://smpdb.ca/pathways/#CompoundReference/PW_C001099,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/16559
http://smpdb.ca/pathways/#CompoundReference/PW_C040486,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/16250
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/249
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/17173
http://smpdb.ca/pathways/#CompoundReference/PW_C006752,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/14800
http://smpdb.ca/pathways/#CompoundReference/PW_C000134,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/13577
http://smpdb.ca/pathways/#CompoundReference/PW_C000834,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/356
http://smpdb.ca/pathways/#CompoundReference/PW_C000095,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/6113
http://smpdb.ca/pathways/#CompoundReference/PW_C000146,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/6124
http://smpdb.ca/pathways/#CompoundReference/PW_C001838,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/7084
http://smpdb.ca/pathways/#CompoundReference/PW_C006716,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/13862
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/16839
http://smpdb.ca/pathways/#CompoundReference/PW_C006078,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/16909
http://smpdb.ca/pathways/#CompoundReference/PW_C001019,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/11462
http://smpdb.ca/pathways/#CompoundReference/PW_C001316,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/7758
http://smpdb.ca/pathways/#CompoundReference/PW_C006015,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/17384
http://smpdb.ca/pathways/#CompoundReference/PW_C000106,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/9969
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/13595
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/15231
http://smpdb.ca/pathways/#CompoundReference/PW_C001772,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/5373
http://smpdb.ca/pathways/#CompoundReference/PW_C001007,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/13832
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/12031
http://smpdb.ca/pathways/#CompoundReference/PW_C001326,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/2055
http://smpdb.ca/pathways/#GenericCompoundReference/230,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/14765
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/15565
http://smpdb.ca/pathways/#CompoundReference/PW_C002750,abstraction:ConsumptionControlledBy,http://smpdb.ca/pathways/#ProteinReference/16355
