Source,Interaction,Target
http://smpdb.ca/pathways/#CompoundReference/PW_C000273,abstraction:UsedToProduce,http://smpdb.ca/pathways/#GenericCompoundReference/41
http://smpdb.ca/pathways/#CompoundReference/PW_C001034,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001980
http://smpdb.ca/pathways/#CompoundReference/PW_C041451,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#CompoundReference/PW_C041034,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001019
http://smpdb.ca/pathways/#CompoundReference/PW_C008203,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C041113
http://smpdb.ca/pathways/#CompoundReference/PW_C001026,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#GenericCompoundReference/40,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C042944
http://smpdb.ca/pathways/#CompoundReference/PW_C000244,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000005
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040638
http://smpdb.ca/pathways/#CompoundReference/PW_C041033,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001104
http://smpdb.ca/pathways/#CompoundReference/PW_C000223,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C044548
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040584
http://smpdb.ca/pathways/#CompoundReference/PW_C002564,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C014812
http://smpdb.ca/pathways/#CompoundReference/PW_C000146,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000678
http://smpdb.ca/pathways/#CompoundReference/PW_C000821,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C002179
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C042556
http://smpdb.ca/pathways/#CompoundReference/PW_C000022,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000047
http://smpdb.ca/pathways/#CompoundReference/PW_C000088,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000174
http://smpdb.ca/pathways/#CompoundReference/PW_C000134,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C002571
http://smpdb.ca/pathways/#CompoundReference/PW_C002905,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C002313
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001795
http://smpdb.ca/pathways/#CompoundReference/PW_C040032,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001144
http://smpdb.ca/pathways/#CompoundReference/PW_C000414,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C008011
http://smpdb.ca/pathways/#CompoundReference/PW_C000824,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000801
http://smpdb.ca/pathways/#CompoundReference/PW_C000018,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000040
http://smpdb.ca/pathways/#CompoundReference/PW_C002066,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#CompoundReference/PW_C007794,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000570
http://smpdb.ca/pathways/#CompoundReference/PW_C000988,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000808
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C044539
http://smpdb.ca/pathways/#CompoundReference/PW_C040034,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040742
http://smpdb.ca/pathways/#CompoundReference/PW_C040960,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001034
http://smpdb.ca/pathways/#CompoundReference/PW_C000905,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001010
http://smpdb.ca/pathways/#CompoundReference/PW_C000830,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#CompoundReference/PW_C001146,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C007266
http://smpdb.ca/pathways/#CompoundReference/PW_C008780,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000143
http://smpdb.ca/pathways/#CompoundReference/PW_C000746,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C022689
http://smpdb.ca/pathways/#CompoundReference/PW_C000070,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#CompoundReference/PW_C041152,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#CompoundReference/PW_C001335,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C006750
http://smpdb.ca/pathways/#CompoundReference/PW_C001466,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001337
http://smpdb.ca/pathways/#CompoundReference/PW_C042924,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000170
http://smpdb.ca/pathways/#CompoundReference/PW_C009638,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#CompoundReference/PW_C000448,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000789
http://smpdb.ca/pathways/#CompoundReference/PW_C040989,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001034
http://smpdb.ca/pathways/#CompoundReference/PW_C000146,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001415
http://smpdb.ca/pathways/#GenericCompoundReference/309,abstraction:UsedToProduce,http://smpdb.ca/pathways/#GenericCompoundReference/310
http://smpdb.ca/pathways/#CompoundReference/PW_C010866,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001680
http://smpdb.ca/pathways/#CompoundReference/PW_C001144,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001079
http://smpdb.ca/pathways/#CompoundReference/PW_C002970,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000143
http://smpdb.ca/pathways/#CompoundReference/PW_C001178,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000146
http://smpdb.ca/pathways/#CompoundReference/PW_C001144,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040597
http://smpdb.ca/pathways/#CompoundReference/PW_C041683,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001316
http://smpdb.ca/pathways/#CompoundReference/PW_C000146,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000570
http://smpdb.ca/pathways/#CompoundReference/PW_C000134,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C057942
http://smpdb.ca/pathways/#CompoundReference/PW_C000993,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C017045
http://smpdb.ca/pathways/#CompoundReference/PW_C000373,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C043013
http://smpdb.ca/pathways/#CompoundReference/PW_C097005,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C097908
http://smpdb.ca/pathways/#CompoundReference/PW_C044519,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000146
http://smpdb.ca/pathways/#CompoundReference/PW_C000885,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000721
http://smpdb.ca/pathways/#CompoundReference/PW_C040494,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040672
http://smpdb.ca/pathways/#CompoundReference/PW_C000540,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000170
http://smpdb.ca/pathways/#CompoundReference/PW_C000857,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001316
http://smpdb.ca/pathways/#CompoundReference/PW_C000134,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000916
http://smpdb.ca/pathways/#CompoundReference/PW_C040958,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#CompoundReference/PW_C000741,abstraction:UsedToProduce,http://smpdb.ca/pathways/#GenericCompoundReference/303
http://smpdb.ca/pathways/#CompoundReference/PW_C000721,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000976
http://smpdb.ca/pathways/#CompoundReference/PW_C001420,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000137
http://smpdb.ca/pathways/#CompoundReference/PW_C040740,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040034
http://smpdb.ca/pathways/#CompoundReference/PW_C001340,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001034
http://smpdb.ca/pathways/#CompoundReference/PW_C000210,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001420
http://smpdb.ca/pathways/#CompoundReference/PW_C001087,abstraction:UsedToProduce,http://smpdb.ca/pathways/#GenericCompoundReference/225
http://smpdb.ca/pathways/#CompoundReference/PW_C040060,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C000145
http://smpdb.ca/pathways/#CompoundReference/PW_C002571,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C104742
http://smpdb.ca/pathways/#CompoundReference/PW_C044536,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C002796
http://smpdb.ca/pathways/#CompoundReference/PW_C000691,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C040941
http://smpdb.ca/pathways/#CompoundReference/PW_C001190,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C002910
http://smpdb.ca/pathways/#CompoundReference/PW_C001144,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001234
http://smpdb.ca/pathways/#CompoundReference/PW_C001065,abstraction:UsedToProduce,http://smpdb.ca/pathways/#CompoundReference/PW_C001016
