Source,Interaction,Target
http://smpdb.ca/pathways/#ProteinReference/16857,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/7725
http://smpdb.ca/pathways/#ProteinReference/7748,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11151
http://smpdb.ca/pathways/#ProteinReference/6907,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/7471
http://smpdb.ca/pathways/#ProteinReference/17182,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/17652
http://smpdb.ca/pathways/#ProteinReference/14187,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/14854
http://smpdb.ca/pathways/#ProteinReference/6852,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10624
http://smpdb.ca/pathways/#ProteinReference/11139,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10960
http://smpdb.ca/pathways/#ProteinReference/6743,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10706
http://smpdb.ca/pathways/#ProteinReference/22859,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/15897
http://smpdb.ca/pathways/#ProteinReference/13828,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/17205
http://smpdb.ca/pathways/#ProteinReference/10523,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/7362
http://smpdb.ca/pathways/#ProteinReference/16368,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/15614
http://smpdb.ca/pathways/#ProteinReference/10871,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/15013
http://smpdb.ca/pathways/#ProteinReference/1343,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10628
http://smpdb.ca/pathways/#ProteinReference/5940,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10671
http://smpdb.ca/pathways/#ProteinReference/11609,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/16133
http://smpdb.ca/pathways/#ProteinReference/16987,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11598
http://smpdb.ca/pathways/#ProteinReference/15402,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/15536
http://smpdb.ca/pathways/#ProteinReference/1448,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/975
http://smpdb.ca/pathways/#ProteinReference/15807,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/1787
http://smpdb.ca/pathways/#ProteinReference/16802,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11598
http://smpdb.ca/pathways/#ProteinReference/6553,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11859
http://smpdb.ca/pathways/#ProteinReference/7764,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/17305
http://smpdb.ca/pathways/#ProteinReference/11111,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11173
http://smpdb.ca/pathways/#ProteinReference/11461,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10489
http://smpdb.ca/pathways/#ProteinReference/3305,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/20489
http://smpdb.ca/pathways/#ProteinReference/22645,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11860
http://smpdb.ca/pathways/#ProteinReference/16347,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/16164
http://smpdb.ca/pathways/#ProteinReference/17263,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11498
http://smpdb.ca/pathways/#ProteinReference/16870,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10976
http://smpdb.ca/pathways/#ProteinReference/16654,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10561
http://smpdb.ca/pathways/#ProteinReference/16938,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/7799
http://smpdb.ca/pathways/#ProteinReference/6185,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/6066
http://smpdb.ca/pathways/#ProteinReference/9659,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10759
http://smpdb.ca/pathways/#ProteinReference/1449,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/1787
http://smpdb.ca/pathways/#ProteinReference/16368,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/14801
http://smpdb.ca/pathways/#ProteinReference/16856,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/16656
http://smpdb.ca/pathways/#ProteinReference/10689,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/22835
http://smpdb.ca/pathways/#ProteinReference/16344,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/16828
http://smpdb.ca/pathways/#ProteinReference/14318,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/475
http://smpdb.ca/pathways/#ProteinReference/16367,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/121
http://smpdb.ca/pathways/#ProteinReference/13043,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/6582
http://smpdb.ca/pathways/#ProteinReference/13904,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/15243
http://smpdb.ca/pathways/#ProteinReference/6730,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/12030
http://smpdb.ca/pathways/#ProteinReference/13605,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11860
http://smpdb.ca/pathways/#ProteinReference/1939,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/6140
http://smpdb.ca/pathways/#ProteinReference/10710,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/6409
http://smpdb.ca/pathways/#ProteinReference/17173,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/16854
http://smpdb.ca/pathways/#ProteinReference/16257,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11526
http://smpdb.ca/pathways/#ProteinReference/17173,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/17208
http://smpdb.ca/pathways/#ProteinReference/22967,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/22976
http://smpdb.ca/pathways/#ProteinReference/17356,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/16655
http://smpdb.ca/pathways/#ProteinReference/830,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/362
http://smpdb.ca/pathways/#ProteinReference/11467,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/11715
http://smpdb.ca/pathways/#ProteinReference/22657,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10998
http://smpdb.ca/pathways/#ProteinReference/258,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/7725
http://smpdb.ca/pathways/#ProteinReference/7363,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/10776
http://smpdb.ca/pathways/#ProteinReference/10539,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/22957
http://smpdb.ca/pathways/#ProteinReference/16985,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/17445
http://smpdb.ca/pathways/#ProteinReference/5790,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/6591
http://smpdb.ca/pathways/#ProteinReference/16655,abstraction:CatalysisPrecedes,http://smpdb.ca/pathways/#ProteinReference/546
