Source,Interaction,Target
http://smpdb.ca/pathways/#GenericProteinReference/342,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/8506
http://smpdb.ca/pathways/#GenericProteinReference/212,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/6664
http://smpdb.ca/pathways/#ProteinReference/19817,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19845
http://smpdb.ca/pathways/#ProteinReference/14651,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/14654
http://smpdb.ca/pathways/#ProteinReference/1274,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/1598
http://smpdb.ca/pathways/#GenericProteinReference/180,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/6241
http://smpdb.ca/pathways/#ProteinReference/1707,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/2012
http://smpdb.ca/pathways/#ProteinReference/10207,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/2025
http://smpdb.ca/pathways/#ProteinReference/19758,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7758
http://smpdb.ca/pathways/#ProteinReference/1787,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/1897
http://smpdb.ca/pathways/#GenericProteinReference/129,abstraction:NeighborOf,http://smpdb.ca/pathways/#GenericProteinReference/153
http://smpdb.ca/pathways/#ProteinReference/1203,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/3718
http://smpdb.ca/pathways/#ProteinReference/19969,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19997
http://smpdb.ca/pathways/#ProteinReference/1410,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/5796
http://smpdb.ca/pathways/#GenericProteinReference/15,abstraction:NeighborOf,http://smpdb.ca/pathways/#GenericProteinReference/247
http://smpdb.ca/pathways/#GenericProteinReference/189,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7181
http://smpdb.ca/pathways/#ProteinReference/19413,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19641
http://smpdb.ca/pathways/#ProteinReference/1452,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/393
http://smpdb.ca/pathways/#ProteinReference/19424,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19426
http://smpdb.ca/pathways/#ProteinReference/1067,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/1341
http://smpdb.ca/pathways/#GenericProteinReference/200,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/22655
http://smpdb.ca/pathways/#ProteinReference/466,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/469
http://smpdb.ca/pathways/#GenericProteinReference/118,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/6240
http://smpdb.ca/pathways/#ProteinReference/14664,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/14665
http://smpdb.ca/pathways/#GenericProteinReference/124,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/11860
http://smpdb.ca/pathways/#ProteinReference/14518,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/3717
http://smpdb.ca/pathways/#GenericProteinReference/16,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/15798
http://smpdb.ca/pathways/#GenericProteinReference/187,abstraction:NeighborOf,http://smpdb.ca/pathways/#GenericProteinReference/518
http://smpdb.ca/pathways/#ProteinReference/5785,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/5787
http://smpdb.ca/pathways/#ProteinReference/19358,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7764
http://smpdb.ca/pathways/#GenericProteinReference/124,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/6240
http://smpdb.ca/pathways/#ProteinReference/19724,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7758
http://smpdb.ca/pathways/#ProteinReference/16587,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/16590
http://smpdb.ca/pathways/#GenericProteinReference/201,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/10979
http://smpdb.ca/pathways/#ProteinReference/2864,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/4836
http://smpdb.ca/pathways/#ProteinReference/13684,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/13699
http://smpdb.ca/pathways/#ProteinReference/19476,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19482
http://smpdb.ca/pathways/#ProteinReference/19722,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7725
http://smpdb.ca/pathways/#GenericProteinReference/133,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/11860
http://smpdb.ca/pathways/#ProteinReference/1237,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/1320
http://smpdb.ca/pathways/#ProteinReference/19500,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19503
http://smpdb.ca/pathways/#ProteinReference/19608,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/22015
http://smpdb.ca/pathways/#ProteinReference/14658,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/14667
http://smpdb.ca/pathways/#ProteinReference/11012,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/11013
http://smpdb.ca/pathways/#ProteinReference/1813,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/5778
http://smpdb.ca/pathways/#ProteinReference/19911,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19964
http://smpdb.ca/pathways/#ProteinReference/14942,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/20210
http://smpdb.ca/pathways/#ProteinReference/19605,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19628
http://smpdb.ca/pathways/#ProteinReference/14582,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/14583
http://smpdb.ca/pathways/#ProteinReference/19454,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19606
http://smpdb.ca/pathways/#ProteinReference/1601,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/2063
http://smpdb.ca/pathways/#GenericProteinReference/33,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/16642
http://smpdb.ca/pathways/#ProteinReference/1432,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/1450
http://smpdb.ca/pathways/#GenericProteinReference/127,abstraction:NeighborOf,http://smpdb.ca/pathways/#GenericProteinReference/185
http://smpdb.ca/pathways/#ProteinReference/15041,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/21066
http://smpdb.ca/pathways/#ProteinReference/11450,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19446
http://smpdb.ca/pathways/#GenericProteinReference/16,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7725
http://smpdb.ca/pathways/#ProteinReference/19606,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19644
http://smpdb.ca/pathways/#GenericProteinReference/203,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/11860
http://smpdb.ca/pathways/#ProteinReference/19438,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/19448
http://smpdb.ca/pathways/#ProteinReference/6689,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7354
http://smpdb.ca/pathways/#ProteinReference/6217,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/7280
http://smpdb.ca/pathways/#GenericProteinReference/203,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/6240
http://smpdb.ca/pathways/#ProteinReference/1067,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/1274
http://smpdb.ca/pathways/#GenericProteinReference/126,abstraction:NeighborOf,http://smpdb.ca/pathways/#ProteinReference/6240
