Source,Interaction,Target
Q3T0N5,abstraction:InteractsWith,Q08DA8
,abstraction:InteractsWith,
O02742,abstraction:InteractsWith,P61635
Q08DY9,abstraction:InteractsWith,E1BLB6
P61073,abstraction:InteractsWith,P63096
Q08DY9,abstraction:InteractsWith,Q2TA06
,abstraction:InteractsWith,P63001
Q9ERK0,abstraction:InteractsWith,Q9WUT3
P63000,abstraction:InteractsWith,Q15311
Q99MG4,abstraction:InteractsWith,P0C8E4
P45985,abstraction:InteractsWith,Q9NYJ8
Q62925,abstraction:InteractsWith,Q4KSH7
Q9WUT3,abstraction:InteractsWith,Q9QUU8
8630,abstraction:InteractsWith,HMDB0001273
P08487,abstraction:InteractsWith,F1MZ60
Q71TW5,abstraction:InteractsWith,Q62925
Q4KSH7,abstraction:InteractsWith,
O70168,abstraction:InteractsWith,B2RSH2
P17325,abstraction:InteractsWith,Q5XI73
,abstraction:InteractsWith,Q3T0M4
O02742,abstraction:InteractsWith,F1MYE0
O60674,abstraction:InteractsWith,P29350
A5D7N0,abstraction:InteractsWith,A7Z059
A7Z059,abstraction:InteractsWith,A1XG22
,abstraction:InteractsWith,Q5ER96
A0JMZ7,abstraction:InteractsWith,Q9WU33
Q5ER96,abstraction:InteractsWith,A7YWD1
Q3ZBW9,abstraction:InteractsWith,Q29RJ4
Q62689,abstraction:InteractsWith,Q9QX78
Q8K2A3,abstraction:InteractsWith,Q8BTV7
CA%2b2,abstraction:InteractsWith,
P48025,abstraction:InteractsWith,Q6P1G1
,abstraction:InteractsWith,Q62407
Q71TW5,abstraction:InteractsWith,O55195
Q9Z2T5,abstraction:InteractsWith,Q61939
Q62421,abstraction:InteractsWith,O54957
,abstraction:InteractsWith,Q8C4N3
Q1JQC6,abstraction:InteractsWith,A6QLE5
O70601,abstraction:InteractsWith,P28818
P11345,abstraction:InteractsWith,Q5RJJ8
Q9ERK0,abstraction:InteractsWith,P31938
Q62126,abstraction:InteractsWith,P42225
P23443,abstraction:InteractsWith,P42345
P23443,abstraction:InteractsWith,P63000
A2AS36,abstraction:InteractsWith,Q91XA7
Q71TW5,abstraction:InteractsWith,Q9JJ10
Q12967,abstraction:InteractsWith,P11233
,abstraction:InteractsWith,Q6RUV5
,abstraction:InteractsWith,
Q62689,abstraction:InteractsWith,P52632
P05771,abstraction:InteractsWith,P19838
Q08DN7,abstraction:InteractsWith,Q32PK0
P06241,abstraction:InteractsWith,P15498
Q5RJJ8,abstraction:InteractsWith,Q03386
Q2KJ93,abstraction:InteractsWith,Q29RJ4
Q8R077,abstraction:InteractsWith,P63321
,abstraction:InteractsWith,
Q3SZM4,abstraction:InteractsWith,Q3ZCF1
Q62925,abstraction:InteractsWith,Q6RUV5
F1MSG6,abstraction:InteractsWith,Q3T0M4
P10415,abstraction:InteractsWith,Q07812
Q92934,abstraction:InteractsWith,Q07817
Q04372,abstraction:InteractsWith,P20604
Q08DY9,abstraction:InteractsWith,
Q04211,abstraction:InteractsWith,Q9QUP3
Q4VBF6,abstraction:InteractsWith,A2RRK8
O14727,abstraction:InteractsWith,P99999
Q62993,abstraction:InteractsWith,Q9JHX4
F1MZ60,abstraction:InteractsWith,A6QLK6
Q9JJ13,abstraction:InteractsWith,Q4FDN1
Q9Y4K3,abstraction:InteractsWith,O43318
Q13309,abstraction:InteractsWith,P46527
Q9ERK0,abstraction:InteractsWith,Q811B9
P27361,abstraction:InteractsWith,P35236
Q9QWJ6,abstraction:InteractsWith,
O08565,abstraction:InteractsWith,Q9QZD1
,abstraction:InteractsWith,Q9QX05
