Source,Interaction,Target
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19763
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19760
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/20105
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/3359
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19759
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19765
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/3358
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19766
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19758
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19764
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19769
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19771
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/1990
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19767
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/19770
http://smpdb.ca/pathways/#CompoundReference/PW_C000041,abstraction:ChemicalAffects,http://smpdb.ca/pathways/#ProteinReference/3357
