entity,id
http://smpdb.ca/pathways/#Protein/20097,Q1JUZ1
http://smpdb.ca/pathways/#Protein/15909_Cytosol,Q29YR6
http://smpdb.ca/pathways/#Protein/15169_Cytosol,Q8MT84
http://smpdb.ca/pathways/#Protein/3945_Peroxisome,Q9UJ83
http://smpdb.ca/pathways/#Protein/Generic201_Mitochondrion,
http://smpdb.ca/pathways/#Protein/1298_Membrane,Q12851
http://smpdb.ca/pathways/#Protein/5989,P0A6F1
http://smpdb.ca/pathways/#Protein/11128_Cytosol,Q42521
http://smpdb.ca/pathways/#Protein/19358_Cell_Membrane,P24256
http://smpdb.ca/pathways/#Protein/7767_Endoplasmic_Reticulum,
http://smpdb.ca/pathways/#Protein/15530_Cytoplasm,Q9VP60
http://smpdb.ca/pathways/#Protein/11902,A6UXQ5
http://smpdb.ca/pathways/#Protein/7933_Cytoplasm,P25788
http://smpdb.ca/pathways/#Protein/22093_Cytoplasm,Q706D2
http://smpdb.ca/pathways/#Protein/11915,A6V1F3
http://smpdb.ca/pathways/#Protein/11119_Chloroplast,Q9ZNZ7
http://smpdb.ca/pathways/#Protein/14116_Cytosol,O54804
http://smpdb.ca/pathways/#Protein/11537_Peroxisome,Z0Z000
http://smpdb.ca/pathways/#Protein/13774_Cytosol,Q8BJ64
http://smpdb.ca/pathways/#Protein/22820_Chloroplast,Q9S9P6
http://smpdb.ca/pathways/#Protein/15493_Mitochondrial_Matrix,Q3T056
http://smpdb.ca/pathways/#Protein/15159_Cytoplasm,B4X9P2
http://smpdb.ca/pathways/#Protein/11522_Cytosol,Q8LBA6
http://smpdb.ca/pathways/#Protein/13_Cytoplasm,Q9BWD1
http://smpdb.ca/pathways/#Protein/22182_Extracellular_Space,P58754
http://smpdb.ca/pathways/#Protein/6660,P60546
http://smpdb.ca/pathways/#Protein/17126_Cytosol,A0JNI4
http://smpdb.ca/pathways/#Protein/16104,Q8VIE7
http://smpdb.ca/pathways/#Protein/15021_Cytoplasm,Q95003
http://smpdb.ca/pathways/#Protein/Generic199,
http://smpdb.ca/pathways/#Protein/1117_Nucleus,P28482
http://smpdb.ca/pathways/#Protein/19815_Extracellular_Space,Q04211
http://smpdb.ca/pathways/#Protein/19339_Cytosol,Q9Z1R8
http://smpdb.ca/pathways/#Protein/17122_Cytoplasm,Q9VUK8
http://smpdb.ca/pathways/#Protein/16654_Cytosol,O88426
http://smpdb.ca/pathways/#Protein/16937_Cytoplasm,Q0VGQ5
http://smpdb.ca/pathways/#Protein/15189_Mitochondrial_Matrix,Q2KHZ9
http://smpdb.ca/pathways/#Protein/19659_Cytosol,F1MYE0
http://smpdb.ca/pathways/#Protein/21873_Cytoplasm,Q66H76
http://smpdb.ca/pathways/#Protein/11696_Chloroplast,Q9S7H1
http://smpdb.ca/pathways/#Protein/10620_Cytosol,P38225
http://smpdb.ca/pathways/#Protein/15081_Mitochondrion,F1ML89
http://smpdb.ca/pathways/#Protein/19445_Cytoplasm,Q62925
http://smpdb.ca/pathways/#Protein/16800_Cytosol,P70707
http://smpdb.ca/pathways/#Protein/11884,Q02FW7
http://smpdb.ca/pathways/#Protein/5927,P07623
http://smpdb.ca/pathways/#Protein/13924_Mitochondrial_Matrix,Q8BWT1
http://smpdb.ca/pathways/#Protein/20452,Q8CGN7
http://smpdb.ca/pathways/#Protein/14840_Cytoplasm,A6QR42
http://smpdb.ca/pathways/#Protein/22270_Cell_Membrane,Q9R1F2
http://smpdb.ca/pathways/#Protein/11546_Mitochondrion,Q09152
http://smpdb.ca/pathways/#Protein/12056_Cytosol,Q02FU3
http://smpdb.ca/pathways/#Protein/1224,P21802
http://smpdb.ca/pathways/#Protein/20477,P97794
http://smpdb.ca/pathways/#Protein/16659_Endoplasmic_Reticulum_Membrane,Q6P6S9
http://smpdb.ca/pathways/#Protein/15625_Cytoplasm,Q5RK25
http://smpdb.ca/pathways/#Protein/291_Mitochondrial_Matrix,P30837
http://smpdb.ca/pathways/#Protein/1787_Cell_Membrane,P08183
http://smpdb.ca/pathways/#Protein/479_Extracellular_Space,P23141
http://smpdb.ca/pathways/#Protein/20010_Cytoplasm,Q3ZCC3
http://smpdb.ca/pathways/#Protein/2398_Cytosol,P54819
http://smpdb.ca/pathways/#Protein/11674_Chloroplast,Q42029
http://smpdb.ca/pathways/#Protein/21441_Cytoplasm,Q6NZR4
http://smpdb.ca/pathways/#Protein/1940_Cytoplasm,Q00987
http://smpdb.ca/pathways/#Protein/8033_Cytoplasm,P62280
http://smpdb.ca/pathways/#Protein/11546_Chloroplast,Q09152
http://smpdb.ca/pathways/#Protein/2597_Cytoplasm,Q8TBE9
http://smpdb.ca/pathways/#Protein/7796_Cytosol,Q3UX83
http://smpdb.ca/pathways/#Protein/19625_Cytoplasm,Q5BKA7
http://smpdb.ca/pathways/#Protein/21290_Extracellular_Space,Q9QX05
http://smpdb.ca/pathways/#Protein/7500,P77434
http://smpdb.ca/pathways/#Protein/2061_Extracellular_Space,Q99075
http://smpdb.ca/pathways/#Protein/14658,P06681
http://smpdb.ca/pathways/#Protein/11768_Mitochondrial_Inner_Membrane,P92549
http://smpdb.ca/pathways/#Protein/11950_Cytosol,Q02DY9
http://smpdb.ca/pathways/#Protein/10692,P06633
http://smpdb.ca/pathways/#Protein/19552_Cytosol,Q9ERD3
http://smpdb.ca/pathways/#Protein/13983_Endoplasmic_Reticulum,Q9Z0F5
http://smpdb.ca/pathways/#Protein/11263_Chloroplast,Q94JQ4
http://smpdb.ca/pathways/#Protein/9659_Chloroplast,
http://smpdb.ca/pathways/#Protein/13866_Peroxisome,Q9D1G2
http://smpdb.ca/pathways/#Protein/14189_Cytosol,O35969
http://smpdb.ca/pathways/#Protein/7725_Endoplasmic_Reticulum_Membrane,
http://smpdb.ca/pathways/#Protein/16275_Mitochondrial_Inner_Membrane,D4A5W8
http://smpdb.ca/pathways/#Protein/5717_Cell_Membrane,Q14457
http://smpdb.ca/pathways/#Protein/20723_Cytoplasm,P13471
http://smpdb.ca/pathways/#Protein/20032_Membrane,Q8C4N3
http://smpdb.ca/pathways/#Protein/1324_Cytoplasm,Q14289
http://smpdb.ca/pathways/#Protein/19433_Cytosol,Q58DL7
http://smpdb.ca/pathways/#Protein/15008_Cytoplasm,Q3SZJ0
http://smpdb.ca/pathways/#Protein/11747_Mitochondrial_Inner_Membrane,P0DKI0
http://smpdb.ca/pathways/#Protein/14744_Endoplasmic_Reticulum,Q1LZE6
http://smpdb.ca/pathways/#Protein/2211_Endoplasmic_Reticulum,O95992
http://smpdb.ca/pathways/#Protein/19944_Nucleus,O09139
http://smpdb.ca/pathways/#Protein/11793,Z0Z000
http://smpdb.ca/pathways/#Protein/5761_Extracellular_Space,
http://smpdb.ca/pathways/#Protein/10813_Mitochondrial_Matrix,P27796
http://smpdb.ca/pathways/#Protein/1067_Cytosol,Q13233
http://smpdb.ca/pathways/#Protein/12085_Cytosol,B7UYS5
http://smpdb.ca/pathways/#Protein/14584_Extracellular_Space,P01024
http://smpdb.ca/pathways/#Protein/6119_Cytoplasm,P0A9H3
http://smpdb.ca/pathways/#Protein/22268_Cell_Membrane,Q07303
http://smpdb.ca/pathways/#Protein/13792_Cytosol,Q8K248
http://smpdb.ca/pathways/#Protein/15807_Cell_Membrane,Q19673
http://smpdb.ca/pathways/#Protein/22193,Q3U779
http://smpdb.ca/pathways/#Protein/19604_Cytoplasm,O70601
http://smpdb.ca/pathways/#Protein/20209_Cytoplasm,A4FUC8
http://smpdb.ca/pathways/#Protein/476_Endoplasmic_Reticulum_Membrane,Q9HAW7
http://smpdb.ca/pathways/#Protein/10851,P26263
http://smpdb.ca/pathways/#Protein/21738,P28075
