entity,entityName
http://smpdb.ca/pathways/#Protein/20097,Rieske-domain protein Neverland
http://smpdb.ca/pathways/#Protein/15909_Cytosol,Sulfotransferase family cytosolic 2B member 1
http://smpdb.ca/pathways/#Protein/15169_Cytosol,Very long-chain-fatty-acid--CoA ligase bubblegum
http://smpdb.ca/pathways/#Protein/3945_Peroxisome,2-hydroxyacyl-CoA lyase 1
http://smpdb.ca/pathways/#Protein/Generic201_Mitochondrion,Protein N6-(lipoyl)lysine
http://smpdb.ca/pathways/#Protein/1298_Membrane,Mitogen-activated protein kinase kinase kinase kinase 2
http://smpdb.ca/pathways/#Protein/5989,Carbamoyl-phosphate synthase small chain
http://smpdb.ca/pathways/#Protein/11128_Cytosol,Glutamate decarboxylase 1
http://smpdb.ca/pathways/#Protein/19358_Cell_Membrane,cAMP-dependent protein kinase catalytic subunit beta
http://smpdb.ca/pathways/#Protein/7767_Endoplasmic_Reticulum,Unknown
http://smpdb.ca/pathways/#Protein/15530_Cytoplasm,Acetyl-coenzyme A synthetase
http://smpdb.ca/pathways/#Protein/11902,C4-dicarboxylate transport protein 1
http://smpdb.ca/pathways/#Protein/7933_Cytoplasm,Proteasome subunit alpha type-3
http://smpdb.ca/pathways/#Protein/22093_Cytoplasm,Toll-like receptor 6
http://smpdb.ca/pathways/#Protein/11915,Enolase
http://smpdb.ca/pathways/#Protein/11119_Chloroplast,"Ferredoxin-dependent glutamate synthase 1, chloroplastic/mitochondrial"
http://smpdb.ca/pathways/#Protein/14116_Cytosol,Choline kinase alpha
http://smpdb.ca/pathways/#Protein/11537_Peroxisome,choline monooxygenase
http://smpdb.ca/pathways/#Protein/13774_Cytosol,"Choline dehydrogenase, mitochondrial"
http://smpdb.ca/pathways/#Protein/22820_Chloroplast,UDP-glycosyltransferase 78D1
http://smpdb.ca/pathways/#Protein/15493_Mitochondrial_Matrix,L-lactate dehydrogenase A-like 6B
http://smpdb.ca/pathways/#Protein/15159_Cytoplasm,"3-ketoacyl-CoA thiolase, mitochondrial"
http://smpdb.ca/pathways/#Protein/11522_Cytosol,phosphatidylinositol synthase
http://smpdb.ca/pathways/#Protein/13_Cytoplasm,"Acetyl-CoA acetyltransferase, cytosolic"
http://smpdb.ca/pathways/#Protein/22182_Extracellular_Space,Lymphocyte antigen 96
http://smpdb.ca/pathways/#Protein/6660,Guanylate kinase
http://smpdb.ca/pathways/#Protein/17126_Cytosol,Serine racemase
http://smpdb.ca/pathways/#Protein/16104,Sodium-coupled neutral amino acid transporter 4
http://smpdb.ca/pathways/#Protein/15021_Cytoplasm,Glutathione peroxidase 3
http://smpdb.ca/pathways/#Protein/Generic199,a sulfur donor
http://smpdb.ca/pathways/#Protein/1117_Nucleus,Mitogen-activated protein kinase 1
http://smpdb.ca/pathways/#Protein/19815_Extracellular_Space,Protein BTG2
http://smpdb.ca/pathways/#Protein/19339_Cytosol,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
http://smpdb.ca/pathways/#Protein/17122_Cytoplasm,FI18749p1
http://smpdb.ca/pathways/#Protein/16654_Cytosol,Nucleoside diphosphate kinase 6
http://smpdb.ca/pathways/#Protein/16937_Cytoplasm,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
