entityRef,entityRefID
http://smpdb.ca/pathways/#ProteinReference/11645,Q0WW55
http://smpdb.ca/pathways/#ProteinReference/21979,A5D7D1
http://smpdb.ca/pathways/#ProteinReference/7590,P08401
http://smpdb.ca/pathways/#ProteinReference/10340,P31574
http://smpdb.ca/pathways/#ProteinReference/12053,A6UYU5
http://smpdb.ca/pathways/#ProteinReference/20552,P09895
http://smpdb.ca/pathways/#ProteinReference/22834,Q9XFS9
http://smpdb.ca/pathways/#ProteinReference/6582,P37678
http://smpdb.ca/pathways/#ProteinReference/16990,P46844
http://smpdb.ca/pathways/#ProteinReference/17717,P50607
http://smpdb.ca/pathways/#ProteinReference/6675,P62620
http://smpdb.ca/pathways/#ProteinReference/20046,Q5FVS8
http://smpdb.ca/pathways/#ProteinReference/15896,Q0VC88
http://smpdb.ca/pathways/#ProteinReference/13967,O70582
http://smpdb.ca/pathways/#ProteinReference/6203,P0AC75
http://smpdb.ca/pathways/#ProteinReference/20615,Q64377
http://smpdb.ca/pathways/#ProteinReference/10710,P47096
http://smpdb.ca/pathways/#ProteinReference/22185,A2RUW1
http://smpdb.ca/pathways/#ProteinReference/6071,P0A858
http://smpdb.ca/pathways/#ProteinReference/10909,Q12358
http://smpdb.ca/pathways/#ProteinReference/13672,Q9R0A0
http://smpdb.ca/pathways/#ProteinReference/15557,Q9VEU4
http://smpdb.ca/pathways/#ProteinReference/20608,P62832
http://smpdb.ca/pathways/#ProteinReference/5870,P04425
http://smpdb.ca/pathways/#ProteinReference/6520,P32166
http://smpdb.ca/pathways/#ProteinReference/16806,Q20939
http://smpdb.ca/pathways/#ProteinReference/2245,P55017
http://smpdb.ca/pathways/#ProteinReference/17273,Q9VDA5
http://smpdb.ca/pathways/#ProteinReference/7286,P30139
http://smpdb.ca/pathways/#ProteinReference/17308,Q08DA1
http://smpdb.ca/pathways/#ProteinReference/8049,P62854
http://smpdb.ca/pathways/#ProteinReference/20639,P17078
http://smpdb.ca/pathways/#ProteinReference/22964,Q9SRQ2
http://smpdb.ca/pathways/#ProteinReference/6507,P31572
http://smpdb.ca/pathways/#ProteinReference/15544,Q7YS70
http://smpdb.ca/pathways/#ProteinReference/16299,Q3T0Q4
http://smpdb.ca/pathways/#ProteinReference/16978,Q9VKZ1
http://smpdb.ca/pathways/#ProteinReference/6345,P15640
http://smpdb.ca/pathways/#ProteinReference/10421,P0ACI3
http://smpdb.ca/pathways/#ProteinReference/17213,Q2NKU1
http://smpdb.ca/pathways/#ProteinReference/10573,P04807
http://smpdb.ca/pathways/#ProteinReference/13581,Q9LTX3
http://smpdb.ca/pathways/#ProteinReference/11001,P36136
http://smpdb.ca/pathways/#ProteinReference/16398,Q6GT82
http://smpdb.ca/pathways/#ProteinReference/14728,O76075
http://smpdb.ca/pathways/#ProteinReference/10611,P10869
http://smpdb.ca/pathways/#ProteinReference/20580,Q923S7
http://smpdb.ca/pathways/#ProteinReference/20193,P68040
http://smpdb.ca/pathways/#ProteinReference/15089,Q3ZBF0
http://smpdb.ca/pathways/#ProteinReference/15218,B2RYN0
