Source,Interaction,Target
reactome:ProteinReference4502,abstraction:ControlsStateChangeOf,reactome:ProteinReference4485
reactome:ProteinReference10306,abstraction:ControlsStateChangeOf,reactome:ProteinReference10300
reactome:ProteinReference6745,abstraction:ControlsStateChangeOf,reactome:ProteinReference2514
reactome:ProteinReference3767,abstraction:ControlsStateChangeOf,reactome:ProteinReference3763
reactome:ProteinReference1758,abstraction:ControlsStateChangeOf,reactome:ProteinReference3097
reactome:ProteinReference102,abstraction:ControlsStateChangeOf,reactome:ProteinReference2198
reactome:ProteinReference10824,abstraction:ControlsStateChangeOf,reactome:ProteinReference6092
reactome:ProteinReference3420,abstraction:ControlsStateChangeOf,reactome:ProteinReference3217
reactome:ProteinReference6743,abstraction:ControlsStateChangeOf,reactome:ProteinReference2514
reactome:ProteinReference641,abstraction:ControlsStateChangeOf,reactome:ProteinReference2198
reactome:ProteinReference99,abstraction:ControlsStateChangeOf,reactome:ProteinReference5941
reactome:ProteinReference3421,abstraction:ControlsStateChangeOf,reactome:ProteinReference3217
reactome:ProteinReference8714,abstraction:ControlsStateChangeOf,reactome:ProteinReference8705
reactome:ProteinReference854,abstraction:ControlsStateChangeOf,reactome:ProteinReference840
reactome:ProteinReference4848,abstraction:ControlsStateChangeOf,reactome:ProteinReference4777
reactome:ProteinReference2699,abstraction:ControlsStateChangeOf,reactome:ProteinReference2681
reactome:ProteinReference10827,abstraction:ControlsStateChangeOf,reactome:ProteinReference3954
reactome:ProteinReference3121,abstraction:ControlsStateChangeOf,reactome:ProteinReference1621
reactome:ProteinReference3033,abstraction:ControlsStateChangeOf,reactome:ProteinReference3085
reactome:ProteinReference3034,abstraction:ControlsStateChangeOf,reactome:ProteinReference3086
reactome:ProteinReference1793,abstraction:ControlsStateChangeOf,reactome:ProteinReference7319
reactome:ProteinReference1306,abstraction:ControlsStateChangeOf,reactome:ProteinReference12124
reactome:ProteinReference1841,abstraction:ControlsStateChangeOf,reactome:ProteinReference8301
reactome:ProteinReference8689,abstraction:ControlsStateChangeOf,reactome:ProteinReference2754
reactome:ProteinReference7219,abstraction:ControlsStateChangeOf,reactome:ProteinReference1311
reactome:ProteinReference1983,abstraction:ControlsStateChangeOf,reactome:ProteinReference4431
reactome:ProteinReference3033,abstraction:ControlsStateChangeOf,reactome:ProteinReference3032
reactome:ProteinReference10888,abstraction:ControlsStateChangeOf,reactome:ProteinReference10889
reactome:ProteinReference2970,abstraction:ControlsStateChangeOf,reactome:ProteinReference2060
reactome:ProteinReference3758,abstraction:ControlsStateChangeOf,reactome:ProteinReference7319
reactome:ProteinReference3768,abstraction:ControlsStateChangeOf,reactome:ProteinReference3763
reactome:ProteinReference4477,abstraction:ControlsStateChangeOf,reactome:ProteinReference2743
reactome:ProteinReference7270,abstraction:ControlsStateChangeOf,reactome:ProteinReference10828
reactome:ProteinReference2701,abstraction:ControlsStateChangeOf,reactome:ProteinReference145
reactome:ProteinReference6055,abstraction:ControlsStateChangeOf,reactome:ProteinReference6054
reactome:ProteinReference6360,abstraction:ControlsStateChangeOf,reactome:ProteinReference6031
reactome:ProteinReference1110,abstraction:ControlsStateChangeOf,reactome:ProteinReference1128
reactome:ProteinReference2944,abstraction:ControlsStateChangeOf,reactome:ProteinReference1728
reactome:ProteinReference4404,abstraction:ControlsStateChangeOf,reactome:ProteinReference4403
reactome:ProteinReference130,abstraction:ControlsStateChangeOf,reactome:ProteinReference6772
reactome:ProteinReference3033,abstraction:ControlsStateChangeOf,reactome:ProteinReference3079
reactome:ProteinReference3126,abstraction:ControlsStateChangeOf,reactome:ProteinReference3125
reactome:ProteinReference139,abstraction:ControlsStateChangeOf,reactome:ProteinReference3407
reactome:ProteinReference4147,abstraction:ControlsStateChangeOf,reactome:ProteinReference505
reactome:ProteinReference2202,abstraction:ControlsStateChangeOf,reactome:ProteinReference6774
reactome:ProteinReference645,abstraction:ControlsStateChangeOf,reactome:ProteinReference2783
reactome:ProteinReference8379,abstraction:ControlsStateChangeOf,reactome:ProteinReference653
reactome:ProteinReference7217,abstraction:ControlsStateChangeOf,reactome:ProteinReference2821
reactome:ProteinReference139,abstraction:ControlsStateChangeOf,reactome:ProteinReference3405
reactome:ProteinReference2509,abstraction:ControlsStateChangeOf,reactome:ProteinReference1841
reactome:ProteinReference1853,abstraction:ControlsStateChangeOf,reactome:ProteinReference8065
reactome:ProteinReference2769,abstraction:ControlsStateChangeOf,reactome:ProteinReference3097
reactome:ProteinReference3419,abstraction:ControlsStateChangeOf,reactome:ProteinReference3217
reactome:ProteinReference3033,abstraction:ControlsStateChangeOf,reactome:ProteinReference3084
reactome:ProteinReference3795,abstraction:ControlsStateChangeOf,reactome:ProteinReference3814
reactome:ProteinReference4428,abstraction:ControlsStateChangeOf,reactome:ProteinReference4422
reactome:ProteinReference4833,abstraction:ControlsStateChangeOf,reactome:ProteinReference7186
reactome:ProteinReference7234,abstraction:ControlsStateChangeOf,reactome:ProteinReference7225
reactome:ProteinReference11984,abstraction:ControlsStateChangeOf,reactome:ProteinReference11985
reactome:ProteinReference3795,abstraction:ControlsStateChangeOf,reactome:ProteinReference3847
reactome:ProteinReference2880,abstraction:ControlsStateChangeOf,reactome:ProteinReference2861
reactome:ProteinReference1841,abstraction:ControlsStateChangeOf,reactome:ProteinReference6092
reactome:ProteinReference6783,abstraction:ControlsStateChangeOf,reactome:ProteinReference2514
reactome:ProteinReference3815,abstraction:ControlsStateChangeOf,reactome:ProteinReference3133
reactome:ProteinReference6498,abstraction:ControlsStateChangeOf,reactome:ProteinReference6491
reactome:ProteinReference2967,abstraction:ControlsStateChangeOf,reactome:ProteinReference2743
reactome:ProteinReference9970,abstraction:ControlsStateChangeOf,reactome:ProteinReference3328
reactome:ProteinReference3956,abstraction:ControlsStateChangeOf,reactome:ProteinReference3953
reactome:ProteinReference4512,abstraction:ControlsStateChangeOf,reactome:ProteinReference4511
reactome:ProteinReference1841,abstraction:ControlsStateChangeOf,reactome:ProteinReference10843
reactome:ProteinReference139,abstraction:ControlsStateChangeOf,reactome:ProteinReference4846
reactome:ProteinReference2964,abstraction:ControlsStateChangeOf,reactome:ProteinReference2962
reactome:ProteinReference3796,abstraction:ControlsStateChangeOf,reactome:ProteinReference3835
reactome:ProteinReference2701,abstraction:ControlsStateChangeOf,reactome:ProteinReference11464
reactome:ProteinReference4425,abstraction:ControlsStateChangeOf,reactome:ProteinReference4422
reactome:ProteinReference6498,abstraction:ControlsStateChangeOf,reactome:ProteinReference6490
reactome:ProteinReference3796,abstraction:ControlsStateChangeOf,reactome:ProteinReference3861
reactome:ProteinReference4647,abstraction:ControlsStateChangeOf,reactome:ProteinReference4657
reactome:ProteinReference10827,abstraction:ControlsStateChangeOf,reactome:ProteinReference6092
reactome:ProteinReference3796,abstraction:ControlsStateChangeOf,reactome:ProteinReference1743
reactome:ProteinReference5996,abstraction:ControlsStateChangeOf,reactome:ProteinReference12124
reactome:ProteinReference5002,abstraction:ControlsStateChangeOf,reactome:ProteinReference5003
reactome:ProteinReference3478,abstraction:ControlsStateChangeOf,reactome:ProteinReference3472
reactome:ProteinReference10516,abstraction:ControlsStateChangeOf,reactome:ProteinReference8008
reactome:ProteinReference632,abstraction:ControlsStateChangeOf,reactome:ProteinReference5944
reactome:ProteinReference4410,abstraction:ControlsStateChangeOf,reactome:ProteinReference4411
reactome:ProteinReference4963,abstraction:ControlsStateChangeOf,reactome:ProteinReference641
reactome:ProteinReference5257,abstraction:ControlsStateChangeOf,reactome:ProteinReference976
reactome:ProteinReference2742,abstraction:ControlsStateChangeOf,reactome:ProteinReference2750
reactome:ProteinReference2701,abstraction:ControlsStateChangeOf,reactome:ProteinReference11208
reactome:ProteinReference8887,abstraction:ControlsStateChangeOf,reactome:ProteinReference8849
reactome:ProteinReference644,abstraction:ControlsStateChangeOf,reactome:ProteinReference2861
reactome:ProteinReference3898,abstraction:ControlsStateChangeOf,reactome:ProteinReference6085
reactome:ProteinReference3993,abstraction:ControlsStateChangeOf,reactome:ProteinReference11804
reactome:ProteinReference3795,abstraction:ControlsStateChangeOf,reactome:ProteinReference402
reactome:ProteinReference3033,abstraction:ControlsStateChangeOf,reactome:ProteinReference3080
reactome:ProteinReference1709,abstraction:ControlsStateChangeOf,reactome:ProteinReference1701
reactome:ProteinReference11698,abstraction:ControlsStateChangeOf,reactome:ProteinReference66
reactome:ProteinReference139,abstraction:ControlsStateChangeOf,reactome:ProteinReference3403
reactome:ProteinReference10910,abstraction:ControlsStateChangeOf,reactome:ProteinReference8217
reactome:ProteinReference3793,abstraction:ControlsStateChangeOf,reactome:ProteinReference2837
reactome:ProteinReference4429,abstraction:ControlsStateChangeOf,reactome:ProteinReference4422
reactome:ProteinReference2769,abstraction:ControlsStateChangeOf,reactome:ProteinReference5941
reactome:ProteinReference632,abstraction:ControlsStateChangeOf,reactome:ProteinReference2496
reactome:ProteinReference8065,abstraction:ControlsStateChangeOf,reactome:ProteinReference7981
reactome:ProteinReference8379,abstraction:ControlsStateChangeOf,reactome:ProteinReference617
reactome:ProteinReference4647,abstraction:ControlsStateChangeOf,reactome:ProteinReference2865
reactome:ProteinReference7219,abstraction:ControlsStateChangeOf,reactome:ProteinReference7224
reactome:ProteinReference4669,abstraction:ControlsStateChangeOf,reactome:ProteinReference1841
reactome:ProteinReference8379,abstraction:ControlsStateChangeOf,reactome:ProteinReference8380
reactome:ProteinReference6062,abstraction:ControlsStateChangeOf,reactome:ProteinReference11435
reactome:ProteinReference2920,abstraction:ControlsStateChangeOf,reactome:ProteinReference6357
reactome:ProteinReference3402,abstraction:ControlsStateChangeOf,reactome:ProteinReference3401
reactome:ProteinReference5165,abstraction:ControlsStateChangeOf,reactome:ProteinReference8012
reactome:ProteinReference6329,abstraction:ControlsStateChangeOf,reactome:ProteinReference3217
