Source,Interaction,Target
reactome:ProteinReference1310,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3107
reactome:ProteinReference8379,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8380
reactome:ProteinReference3129,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3132
reactome:ProteinReference1314,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference1562
reactome:ProteinReference4972,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference4972
reactome:ProteinReference2310,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2310
reactome:ProteinReference1599,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8307
reactome:ProteinReference7234,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference1311
reactome:ProteinReference4404,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3328
reactome:ProteinReference2701,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference11441
reactome:ProteinReference2880,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2861
reactome:ProteinReference2751,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6018
reactome:ProteinReference2699,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference12124
reactome:ProteinReference7234,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference145
reactome:ProteinReference2699,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2681
reactome:ProteinReference135,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2862
reactome:ProteinReference9970,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3328
reactome:ProteinReference2701,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3126
reactome:ProteinReference644,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference642
reactome:ProteinReference7270,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10844
reactome:ProteinReference228,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7821
reactome:ProteinReference5996,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference12124
reactome:ProteinReference6820,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7319
reactome:ProteinReference2701,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference145
reactome:ProteinReference6055,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6054
reactome:ProteinReference4010,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3920
reactome:ProteinReference8689,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8689
reactome:ProteinReference632,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3131
reactome:ProteinReference10888,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10890
reactome:ProteinReference7217,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2821
reactome:ProteinReference632,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5944
reactome:ProteinReference8379,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference653
reactome:ProteinReference2751,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5939
reactome:ProteinReference645,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2783
reactome:ProteinReference6788,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6773
reactome:ProteinReference1841,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8301
reactome:ProteinReference5257,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference976
reactome:ProteinReference2769,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3097
reactome:ProteinReference8457,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8458
reactome:ProteinReference7270,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6110
reactome:ProteinReference1853,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8065
reactome:ProteinReference1841,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10831
reactome:ProteinReference7234,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7225
reactome:ProteinReference10824,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6092
reactome:ProteinReference2920,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2310
reactome:ProteinReference641,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2198
reactome:ProteinReference7319,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7319
reactome:ProteinReference7270,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5285
reactome:ProteinReference1841,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6092
reactome:ProteinReference2699,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7319
reactome:ProteinReference10118,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10117
reactome:ProteinReference10827,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3954
reactome:ProteinReference3121,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference1621
reactome:ProteinReference1793,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7319
reactome:ProteinReference2769,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5941
reactome:ProteinReference1306,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference12124
reactome:ProteinReference1841,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10843
reactome:ProteinReference3815,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3133
reactome:ProteinReference7219,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference1311
reactome:ProteinReference632,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2496
reactome:ProteinReference2751,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2755
reactome:ProteinReference8379,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference720
reactome:ProteinReference2920,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6357
reactome:ProteinReference8458,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8458
reactome:ProteinReference2701,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference4298
reactome:ProteinReference5165,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8012
reactome:ProteinReference10827,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6092
reactome:ProteinReference7270,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10828
reactome:ProteinReference5002,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5003
reactome:ProteinReference1334,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2861
reactome:ProteinReference267,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference4933
reactome:ProteinReference3126,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3125
reactome:ProteinReference6056,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6054
reactome:ProteinReference4963,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference641
reactome:ProteinReference2699,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3954
reactome:ProteinReference7000,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference1829
reactome:ProteinReference4991,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5002
reactome:ProteinReference644,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2861
reactome:ProteinReference10516,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8008
reactome:ProteinReference2701,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference11208
reactome:ProteinReference632,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference1311
reactome:ProteinReference2920,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8373
reactome:ProteinReference2861,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2861
reactome:ProteinReference8378,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2920
reactome:ProteinReference632,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference145
reactome:ProteinReference632,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2691
reactome:ProteinReference186,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference186
reactome:ProteinReference5986,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference12124
reactome:ProteinReference7869,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10151
reactome:ProteinReference2701,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference11464
reactome:ProteinReference8379,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference617
reactome:ProteinReference4647,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2865
