Source,Interaction,Target
reactome:ProteinReference10705,abstraction:CatalysisPrecedes,reactome:ProteinReference5710
reactome:ProteinReference10215,abstraction:CatalysisPrecedes,reactome:ProteinReference6393
reactome:ProteinReference5806,abstraction:CatalysisPrecedes,reactome:ProteinReference5815
reactome:ProteinReference1219,abstraction:CatalysisPrecedes,reactome:ProteinReference9738
reactome:ProteinReference9365,abstraction:CatalysisPrecedes,reactome:ProteinReference10224
reactome:ProteinReference9949,abstraction:CatalysisPrecedes,reactome:ProteinReference9220
reactome:ProteinReference6398,abstraction:CatalysisPrecedes,reactome:ProteinReference10207
reactome:ProteinReference9643,abstraction:CatalysisPrecedes,reactome:ProteinReference6248
reactome:ProteinReference9671,abstraction:CatalysisPrecedes,reactome:ProteinReference9857
reactome:ProteinReference10644,abstraction:CatalysisPrecedes,reactome:ProteinReference6127
reactome:ProteinReference8210,abstraction:CatalysisPrecedes,reactome:ProteinReference6145
reactome:ProteinReference9155,abstraction:CatalysisPrecedes,reactome:ProteinReference3367
reactome:ProteinReference4455,abstraction:CatalysisPrecedes,reactome:ProteinReference9902
reactome:ProteinReference10472,abstraction:CatalysisPrecedes,reactome:ProteinReference2954
reactome:ProteinReference5741,abstraction:CatalysisPrecedes,reactome:ProteinReference10124
reactome:ProteinReference10607,abstraction:CatalysisPrecedes,reactome:ProteinReference4665
reactome:ProteinReference6465,abstraction:CatalysisPrecedes,reactome:ProteinReference10245
reactome:ProteinReference9646,abstraction:CatalysisPrecedes,reactome:ProteinReference3548
reactome:ProteinReference10206,abstraction:CatalysisPrecedes,reactome:ProteinReference3121
reactome:ProteinReference9876,abstraction:CatalysisPrecedes,reactome:ProteinReference6198
reactome:ProteinReference8689,abstraction:CatalysisPrecedes,reactome:ProteinReference5042
reactome:ProteinReference9378,abstraction:CatalysisPrecedes,reactome:ProteinReference6418
reactome:ProteinReference10416,abstraction:CatalysisPrecedes,reactome:ProteinReference10697
reactome:ProteinReference10203,abstraction:CatalysisPrecedes,reactome:ProteinReference10521
reactome:ProteinReference6166,abstraction:CatalysisPrecedes,reactome:ProteinReference9933
reactome:ProteinReference6471,abstraction:CatalysisPrecedes,reactome:ProteinReference10213
reactome:ProteinReference10733,abstraction:CatalysisPrecedes,reactome:ProteinReference11422
reactome:ProteinReference9738,abstraction:CatalysisPrecedes,reactome:ProteinReference3129
reactome:ProteinReference3551,abstraction:CatalysisPrecedes,reactome:ProteinReference6208
reactome:ProteinReference10705,abstraction:CatalysisPrecedes,reactome:ProteinReference10521
reactome:ProteinReference3550,abstraction:CatalysisPrecedes,reactome:ProteinReference9603
reactome:ProteinReference3600,abstraction:CatalysisPrecedes,reactome:ProteinReference677
reactome:ProteinReference6240,abstraction:CatalysisPrecedes,reactome:ProteinReference5042
reactome:ProteinReference6216,abstraction:CatalysisPrecedes,reactome:ProteinReference6250
reactome:ProteinReference9155,abstraction:CatalysisPrecedes,reactome:ProteinReference10217
reactome:ProteinReference6259,abstraction:CatalysisPrecedes,reactome:ProteinReference5710
reactome:ProteinReference10006,abstraction:CatalysisPrecedes,reactome:ProteinReference10727
reactome:ProteinReference6417,abstraction:CatalysisPrecedes,reactome:ProteinReference3549
reactome:ProteinReference9936,abstraction:CatalysisPrecedes,reactome:ProteinReference5746
reactome:ProteinReference10203,abstraction:CatalysisPrecedes,reactome:ProteinReference6142
reactome:ProteinReference10207,abstraction:CatalysisPrecedes,reactome:ProteinReference10760
reactome:ProteinReference2896,abstraction:CatalysisPrecedes,reactome:ProteinReference10697
reactome:ProteinReference10215,abstraction:CatalysisPrecedes,reactome:ProteinReference10518
reactome:ProteinReference9155,abstraction:CatalysisPrecedes,reactome:ProteinReference3153
reactome:ProteinReference10704,abstraction:CatalysisPrecedes,reactome:ProteinReference6248
reactome:ProteinReference10293,abstraction:CatalysisPrecedes,reactome:ProteinReference10599
reactome:ProteinReference9933,abstraction:CatalysisPrecedes,reactome:ProteinReference9220
reactome:ProteinReference3548,abstraction:CatalysisPrecedes,reactome:ProteinReference6247
reactome:ProteinReference10426,abstraction:CatalysisPrecedes,reactome:ProteinReference10540
reactome:ProteinReference10760,abstraction:CatalysisPrecedes,reactome:ProteinReference10512
reactome:ProteinReference6243,abstraction:CatalysisPrecedes,reactome:ProteinReference10910
reactome:ProteinReference6246,abstraction:CatalysisPrecedes,reactome:ProteinReference2976
