Source,Interaction,Target
reactome:ProteinReference2889,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference997
reactome:ProteinReference9390,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference2
reactome:ProteinReference9346,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference6799,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference70
reactome:ProteinReference9428,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference397
reactome:ProteinReference9383,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference10156,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference260
reactome:ProteinReference9603,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference67
reactome:ProteinReference4414,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference12
reactome:ProteinReference9544,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference6769,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1677
reactome:ProteinReference5815,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1
reactome:ProteinReference1219,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference9438,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference6398,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1077
reactome:ProteinReference10515,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference29
reactome:ProteinReference4588,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference2478
reactome:ProteinReference6150,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference9428,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference389
reactome:ProteinReference5806,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1
reactome:ProteinReference1141,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference4
reactome:ProteinReference9556,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference6145,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference6465,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference1165,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1
reactome:ProteinReference5737,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference736
reactome:ProteinReference9466,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference85
reactome:ProteinReference9465,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference23
reactome:ProteinReference10563,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference2626
reactome:ProteinReference1130,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference2075
reactome:ProteinReference2889,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference236
reactome:ProteinReference6150,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference949
reactome:ProteinReference6177,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference3571,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference462
reactome:ProteinReference9557,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference947
reactome:ProteinReference9561,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference9487,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference262
reactome:ProteinReference9412,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference9397,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1686
reactome:ProteinReference9561,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference6162,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference28
reactome:ProteinReference6171,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference65
reactome:ProteinReference9406,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1689
reactome:ProteinReference6155,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference951
reactome:ProteinReference10497,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference371
reactome:ProteinReference3598,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference10515,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference5
reactome:ProteinReference1217,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference69
reactome:ProteinReference9379,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference13
reactome:ProteinReference1130,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference2064
