Source,Interaction,Target
reactome:SmallMoleculeReference260,abstraction:ChemicalAffects,reactome:ProteinReference2342
reactome:SmallMoleculeReference244,abstraction:ChemicalAffects,reactome:ProteinReference2039
reactome:SmallMoleculeReference32,abstraction:ChemicalAffects,reactome:ProteinReference1129
reactome:SmallMoleculeReference1,abstraction:ChemicalAffects,reactome:ProteinReference10487
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference5010
reactome:SmallMoleculeReference263,abstraction:ChemicalAffects,reactome:ProteinReference3315
reactome:SmallMoleculeReference606,abstraction:ChemicalAffects,reactome:ProteinReference11533
reactome:SmallMoleculeReference14,abstraction:ChemicalAffects,reactome:ProteinReference7003
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference10757
reactome:SmallMoleculeReference1,abstraction:ChemicalAffects,reactome:ProteinReference10623
reactome:SmallMoleculeReference4,abstraction:ChemicalAffects,reactome:ProteinReference2376
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference5994
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference10662
reactome:SmallMoleculeReference2742,abstraction:ChemicalAffects,reactome:ProteinReference4403
reactome:SmallMoleculeReference299,abstraction:ChemicalAffects,reactome:ProteinReference7638
reactome:SmallMoleculeReference385,abstraction:ChemicalAffects,reactome:ProteinReference2994
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference10180
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference8371
reactome:SmallMoleculeReference1346,abstraction:ChemicalAffects,reactome:ProteinReference7499
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference1087
reactome:SmallMoleculeReference684,abstraction:ChemicalAffects,reactome:ProteinReference5350
reactome:SmallMoleculeReference14,abstraction:ChemicalAffects,reactome:ProteinReference7783
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference10799
reactome:SmallMoleculeReference5,abstraction:ChemicalAffects,reactome:ProteinReference4980
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference6298
reactome:SmallMoleculeReference533,abstraction:ChemicalAffects,reactome:ProteinReference3865
reactome:SmallMoleculeReference1587,abstraction:ChemicalAffects,reactome:ProteinReference5112
reactome:SmallMoleculeReference14,abstraction:ChemicalAffects,reactome:ProteinReference2481
reactome:SmallMoleculeReference240,abstraction:ChemicalAffects,reactome:ProteinReference2517
reactome:SmallMoleculeReference2617,abstraction:ChemicalAffects,reactome:ProteinReference10665
reactome:SmallMoleculeReference32,abstraction:ChemicalAffects,reactome:ProteinReference2768
reactome:SmallMoleculeReference370,abstraction:ChemicalAffects,reactome:ProteinReference9814
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference2909
reactome:SmallMoleculeReference1133,abstraction:ChemicalAffects,reactome:ProteinReference1731
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference9878
reactome:SmallMoleculeReference370,abstraction:ChemicalAffects,reactome:ProteinReference9773
reactome:SmallMoleculeReference157,abstraction:ChemicalAffects,reactome:ProteinReference1310
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference3115
reactome:SmallMoleculeReference14,abstraction:ChemicalAffects,reactome:ProteinReference4997
reactome:SmallMoleculeReference654,abstraction:ChemicalAffects,reactome:ProteinReference5898
reactome:SmallMoleculeReference59,abstraction:ChemicalAffects,reactome:ProteinReference1187
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference8243
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference10298
reactome:SmallMoleculeReference32,abstraction:ChemicalAffects,reactome:ProteinReference10980
reactome:SmallMoleculeReference64,abstraction:ChemicalAffects,reactome:ProteinReference1156
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference3031
reactome:SmallMoleculeReference717,abstraction:ChemicalAffects,reactome:ProteinReference5723
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference10281
reactome:SmallMoleculeReference32,abstraction:ChemicalAffects,reactome:ProteinReference947
reactome:SmallMoleculeReference258,abstraction:ChemicalAffects,reactome:ProteinReference7999
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference10829
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference10625
reactome:SmallMoleculeReference256,abstraction:ChemicalAffects,reactome:ProteinReference8933
reactome:SmallMoleculeReference2118,abstraction:ChemicalAffects,reactome:ProteinReference9981
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference10669
reactome:SmallMoleculeReference153,abstraction:ChemicalAffects,reactome:ProteinReference1283
reactome:SmallMoleculeReference1,abstraction:ChemicalAffects,reactome:ProteinReference10019
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference9726
reactome:SmallMoleculeReference370,abstraction:ChemicalAffects,reactome:ProteinReference8924
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference10448
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference3537
reactome:SmallMoleculeReference158,abstraction:ChemicalAffects,reactome:ProteinReference5014
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference1714
reactome:SmallMoleculeReference14,abstraction:ChemicalAffects,reactome:ProteinReference3336
reactome:SmallMoleculeReference370,abstraction:ChemicalAffects,reactome:ProteinReference1015
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference2965
reactome:SmallMoleculeReference4,abstraction:ChemicalAffects,reactome:ProteinReference2836
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference6218
reactome:SmallMoleculeReference4,abstraction:ChemicalAffects,reactome:ProteinReference2707
reactome:SmallMoleculeReference5,abstraction:ChemicalAffects,reactome:ProteinReference2692
reactome:SmallMoleculeReference68,abstraction:ChemicalAffects,reactome:ProteinReference1282
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference10249
reactome:SmallMoleculeReference5,abstraction:ChemicalAffects,reactome:ProteinReference1914
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference6234
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference2022
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference2430
reactome:SmallMoleculeReference47,abstraction:ChemicalAffects,reactome:ProteinReference943
reactome:SmallMoleculeReference687,abstraction:ChemicalAffects,reactome:ProteinReference5612
reactome:SmallMoleculeReference290,abstraction:ChemicalAffects,reactome:ProteinReference2651
reactome:SmallMoleculeReference606,abstraction:ChemicalAffects,reactome:ProteinReference11530
reactome:SmallMoleculeReference290,abstraction:ChemicalAffects,reactome:ProteinReference2654
reactome:SmallMoleculeReference5,abstraction:ChemicalAffects,reactome:ProteinReference6099
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference4575
reactome:SmallMoleculeReference5,abstraction:ChemicalAffects,reactome:ProteinReference2711
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference10672
reactome:SmallMoleculeReference244,abstraction:ChemicalAffects,reactome:ProteinReference2451
reactome:SmallMoleculeReference371,abstraction:ChemicalAffects,reactome:ProteinReference1080
reactome:SmallMoleculeReference27,abstraction:ChemicalAffects,reactome:ProteinReference1883
reactome:SmallMoleculeReference72,abstraction:ChemicalAffects,reactome:ProteinReference1223
reactome:SmallMoleculeReference289,abstraction:ChemicalAffects,reactome:ProteinReference9756
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference10756
reactome:SmallMoleculeReference77,abstraction:ChemicalAffects,reactome:ProteinReference10309
reactome:SmallMoleculeReference534,abstraction:ChemicalAffects,reactome:ProteinReference3866
reactome:SmallMoleculeReference1274,abstraction:ChemicalAffects,reactome:ProteinReference1836
reactome:SmallMoleculeReference240,abstraction:ChemicalAffects,reactome:ProteinReference2518
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference4544
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference1758
reactome:SmallMoleculeReference63,abstraction:ChemicalAffects,reactome:ProteinReference10572
reactome:SmallMoleculeReference4,abstraction:ChemicalAffects,reactome:ProteinReference2619
reactome:SmallMoleculeReference12,abstraction:ChemicalAffects,reactome:ProteinReference2904
reactome:SmallMoleculeReference708,abstraction:ChemicalAffects,reactome:ProteinReference5529
reactome:SmallMoleculeReference257,abstraction:ChemicalAffects,reactome:ProteinReference9610
reactome:SmallMoleculeReference1494,abstraction:ChemicalAffects,reactome:ProteinReference7605
reactome:SmallMoleculeReference17,abstraction:ChemicalAffects,reactome:ProteinReference6194
reactome:SmallMoleculeReference4,abstraction:ChemicalAffects,reactome:ProteinReference2709
reactome:SmallMoleculeReference32,abstraction:ChemicalAffects,reactome:ProteinReference10656
reactome:SmallMoleculeReference36,abstraction:ChemicalAffects,reactome:ProteinReference6233
reactome:SmallMoleculeReference5,abstraction:ChemicalAffects,reactome:ProteinReference2704
reactome:SmallMoleculeReference1,abstraction:ChemicalAffects,reactome:ProteinReference5770
