Source,Interaction,Target
reactome:SmallMoleculeReference1077,abstraction:reactsWith,reactome:SmallMoleculeReference253
reactome:SmallMoleculeReference233,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2589,abstraction:reactsWith,reactome:SmallMoleculeReference2704
reactome:SmallMoleculeReference1774,abstraction:reactsWith,reactome:SmallMoleculeReference380
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference950
reactome:SmallMoleculeReference14,abstraction:reactsWith,reactome:SmallMoleculeReference19
reactome:SmallMoleculeReference2860,abstraction:reactsWith,reactome:SmallMoleculeReference34
reactome:SmallMoleculeReference422,abstraction:reactsWith,reactome:SmallMoleculeReference7
reactome:SmallMoleculeReference2222,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1020,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference462,abstraction:reactsWith,reactome:SmallMoleculeReference463
reactome:SmallMoleculeReference1917,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference1880,abstraction:reactsWith,reactome:SmallMoleculeReference36
reactome:SmallMoleculeReference8,abstraction:reactsWith,reactome:SmallMoleculeReference977
reactome:SmallMoleculeReference273,abstraction:reactsWith,reactome:SmallMoleculeReference422
reactome:SmallMoleculeReference457,abstraction:reactsWith,reactome:SmallMoleculeReference496
reactome:SmallMoleculeReference13,abstraction:reactsWith,reactome:SmallMoleculeReference27
reactome:SmallMoleculeReference48,abstraction:reactsWith,reactome:SmallMoleculeReference531
reactome:SmallMoleculeReference623,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference85
reactome:SmallMoleculeReference2,abstraction:reactsWith,reactome:SmallMoleculeReference2660
reactome:SmallMoleculeReference2662,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference4,abstraction:reactsWith,reactome:SmallMoleculeReference997
reactome:SmallMoleculeReference1932,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference422,abstraction:reactsWith,reactome:SmallMoleculeReference485
reactome:SmallMoleculeReference385,abstraction:reactsWith,reactome:SmallMoleculeReference48
reactome:SmallMoleculeReference1750,abstraction:reactsWith,reactome:SmallMoleculeReference2159
reactome:SmallMoleculeReference1775,abstraction:reactsWith,reactome:SmallMoleculeReference65
reactome:SmallMoleculeReference2150,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1750,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2726,abstraction:reactsWith,reactome:SmallMoleculeReference380
reactome:SmallMoleculeReference2058,abstraction:reactsWith,reactome:SmallMoleculeReference48
reactome:SmallMoleculeReference2589,abstraction:reactsWith,reactome:SmallMoleculeReference2708
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2189
reactome:SmallMoleculeReference729,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1750,abstraction:reactsWith,reactome:SmallMoleculeReference2184
reactome:SmallMoleculeReference2,abstraction:reactsWith,reactome:SmallMoleculeReference2909
reactome:SmallMoleculeReference2155,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2714,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference484,abstraction:reactsWith,reactome:SmallMoleculeReference518
reactome:SmallMoleculeReference341,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference35,abstraction:reactsWith,reactome:SmallMoleculeReference85
reactome:SmallMoleculeReference14,abstraction:reactsWith,reactome:SmallMoleculeReference20
reactome:SmallMoleculeReference459,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference8,abstraction:reactsWith,reactome:SmallMoleculeReference995
reactome:SmallMoleculeReference2363,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2680,abstraction:reactsWith,reactome:SmallMoleculeReference68
reactome:SmallMoleculeReference4,abstraction:reactsWith,reactome:SmallMoleculeReference91
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2261
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2107
reactome:SmallMoleculeReference4,abstraction:reactsWith,reactome:SmallMoleculeReference451
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference20
reactome:SmallMoleculeReference1015,abstraction:reactsWith,reactome:SmallMoleculeReference1023
reactome:SmallMoleculeReference153,abstraction:reactsWith,reactome:SmallMoleculeReference1803
reactome:SmallMoleculeReference390,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference1297,abstraction:reactsWith,reactome:SmallMoleculeReference1750
reactome:SmallMoleculeReference2699,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference34,abstraction:reactsWith,reactome:SmallMoleculeReference43
reactome:SmallMoleculeReference2363,abstraction:reactsWith,reactome:SmallMoleculeReference380
reactome:SmallMoleculeReference110,abstraction:reactsWith,reactome:SmallMoleculeReference48
reactome:SmallMoleculeReference2105,abstraction:reactsWith,reactome:SmallMoleculeReference36
reactome:SmallMoleculeReference2488,abstraction:reactsWith,reactome:SmallMoleculeReference66
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference1792
reactome:SmallMoleculeReference1045,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference4,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1027,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2187
reactome:SmallMoleculeReference29,abstraction:reactsWith,reactome:SmallMoleculeReference36
reactome:SmallMoleculeReference1817,abstraction:reactsWith,reactome:SmallMoleculeReference19
reactome:SmallMoleculeReference151,abstraction:reactsWith,reactome:SmallMoleculeReference2156
reactome:SmallMoleculeReference256,abstraction:reactsWith,reactome:SmallMoleculeReference258
reactome:SmallMoleculeReference13,abstraction:reactsWith,reactome:SmallMoleculeReference987
reactome:SmallMoleculeReference286,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2813,abstraction:reactsWith,reactome:SmallMoleculeReference48
reactome:SmallMoleculeReference66,abstraction:reactsWith,reactome:SmallMoleculeReference745
reactome:SmallMoleculeReference2159,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1897,abstraction:reactsWith,reactome:SmallMoleculeReference462
reactome:SmallMoleculeReference1855,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference10,abstraction:reactsWith,reactome:SmallMoleculeReference493
reactome:SmallMoleculeReference2685,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference408
reactome:SmallMoleculeReference1438,abstraction:reactsWith,reactome:SmallMoleculeReference48
reactome:SmallMoleculeReference1810,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1263,abstraction:reactsWith,reactome:SmallMoleculeReference65
reactome:SmallMoleculeReference1088,abstraction:reactsWith,reactome:SmallMoleculeReference1089
reactome:SmallMoleculeReference237,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference1790,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference2667,abstraction:reactsWith,reactome:SmallMoleculeReference49
reactome:SmallMoleculeReference1813,abstraction:reactsWith,reactome:SmallMoleculeReference28
reactome:SmallMoleculeReference60,abstraction:reactsWith,reactome:SmallMoleculeReference70
reactome:SmallMoleculeReference2894,abstraction:reactsWith,reactome:SmallMoleculeReference418
reactome:SmallMoleculeReference1852,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2258
reactome:SmallMoleculeReference1711,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2611
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference1855
reactome:SmallMoleculeReference58,abstraction:reactsWith,reactome:SmallMoleculeReference68
reactome:SmallMoleculeReference48,abstraction:reactsWith,reactome:SmallMoleculeReference814
reactome:SmallMoleculeReference262,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference13
reactome:SmallMoleculeReference2945,abstraction:reactsWith,reactome:SmallMoleculeReference2946
reactome:SmallMoleculeReference384,abstraction:reactsWith,reactome:SmallMoleculeReference65
reactome:SmallMoleculeReference255,abstraction:reactsWith,reactome:SmallMoleculeReference257
reactome:SmallMoleculeReference37,abstraction:reactsWith,reactome:SmallMoleculeReference987
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2612
reactome:SmallMoleculeReference153,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference2236,abstraction:reactsWith,reactome:SmallMoleculeReference435
reactome:SmallMoleculeReference48,abstraction:reactsWith,reactome:SmallMoleculeReference754
reactome:SmallMoleculeReference418,abstraction:reactsWith,reactome:SmallMoleculeReference520
reactome:SmallMoleculeReference1492,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference59,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1852,abstraction:reactsWith,reactome:SmallMoleculeReference418
reactome:SmallMoleculeReference601,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference248,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference1944,abstraction:reactsWith,reactome:SmallMoleculeReference29
reactome:SmallMoleculeReference1811,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2479,abstraction:reactsWith,reactome:SmallMoleculeReference49
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2311
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2673
reactome:SmallMoleculeReference442,abstraction:reactsWith,reactome:SmallMoleculeReference528
reactome:SmallMoleculeReference1986,abstraction:reactsWith,reactome:SmallMoleculeReference1991
reactome:SmallMoleculeReference8,abstraction:reactsWith,reactome:SmallMoleculeReference969
reactome:SmallMoleculeReference457,abstraction:reactsWith,reactome:SmallMoleculeReference494
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2593
reactome:SmallMoleculeReference2654,abstraction:reactsWith,reactome:SmallMoleculeReference36
reactome:SmallMoleculeReference1864,abstraction:reactsWith,reactome:SmallMoleculeReference40
reactome:SmallMoleculeReference2701,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference28,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference302,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference2529,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference1750
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2272
reactome:SmallMoleculeReference2665,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1063,abstraction:reactsWith,reactome:SmallMoleculeReference34
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2264
reactome:SmallMoleculeReference992,abstraction:reactsWith,reactome:SmallMoleculeReference993
reactome:SmallMoleculeReference1030,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference58,abstraction:reactsWith,reactome:SmallMoleculeReference70
reactome:SmallMoleculeReference17,abstraction:reactsWith,reactome:SmallMoleculeReference376
reactome:SmallMoleculeReference2,abstraction:reactsWith,reactome:SmallMoleculeReference2636
reactome:SmallMoleculeReference1588,abstraction:reactsWith,reactome:SmallMoleculeReference2697
reactome:SmallMoleculeReference17,abstraction:reactsWith,reactome:SmallMoleculeReference373
reactome:SmallMoleculeReference1948,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference1555,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2252
reactome:SmallMoleculeReference1,abstraction:reactsWith,reactome:SmallMoleculeReference151
reactome:SmallMoleculeReference1857,abstraction:reactsWith,reactome:SmallMoleculeReference34
reactome:SmallMoleculeReference1069,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference397,abstraction:reactsWith,reactome:SmallMoleculeReference65
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2297
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference479
reactome:SmallMoleculeReference8,abstraction:reactsWith,reactome:SmallMoleculeReference968
reactome:SmallMoleculeReference2103,abstraction:reactsWith,reactome:SmallMoleculeReference28
reactome:SmallMoleculeReference1865,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference1824,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference1712,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference732
reactome:SmallMoleculeReference151,abstraction:reactsWith,reactome:SmallMoleculeReference152
reactome:SmallMoleculeReference65,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference387,abstraction:reactsWith,reactome:SmallMoleculeReference399
reactome:SmallMoleculeReference1633,abstraction:reactsWith,reactome:SmallMoleculeReference382
reactome:SmallMoleculeReference2678,abstraction:reactsWith,reactome:SmallMoleculeReference36
reactome:SmallMoleculeReference1750,abstraction:reactsWith,reactome:SmallMoleculeReference250
reactome:SmallMoleculeReference1036,abstraction:reactsWith,reactome:SmallMoleculeReference958
reactome:SmallMoleculeReference2312,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2813
reactome:SmallMoleculeReference1047,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference35,abstraction:reactsWith,reactome:SmallMoleculeReference479
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference2191
reactome:SmallMoleculeReference2615,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference1957,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference35,abstraction:reactsWith,reactome:SmallMoleculeReference732
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference1948
reactome:SmallMoleculeReference2308,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference1945,abstraction:reactsWith,reactome:SmallMoleculeReference35
reactome:SmallMoleculeReference2594,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference67,abstraction:reactsWith,reactome:SmallMoleculeReference68
reactome:SmallMoleculeReference28,abstraction:reactsWith,reactome:SmallMoleculeReference68
reactome:SmallMoleculeReference14,abstraction:reactsWith,reactome:SmallMoleculeReference483
reactome:SmallMoleculeReference1285,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2413,abstraction:reactsWith,reactome:SmallMoleculeReference37
reactome:SmallMoleculeReference2519,abstraction:reactsWith,reactome:SmallMoleculeReference8
reactome:SmallMoleculeReference2719,abstraction:reactsWith,reactome:SmallMoleculeReference4
reactome:SmallMoleculeReference1689,abstraction:reactsWith,reactome:SmallMoleculeReference37
reactome:SmallMoleculeReference2222,abstraction:reactsWith,reactome:SmallMoleculeReference36
reactome:SmallMoleculeReference11,abstraction:reactsWith,reactome:SmallMoleculeReference1492
