Source,Interaction,Target
reactome:ProteinReference7994,abstraction:ControlsTransportOf,reactome:ProteinReference3115
reactome:ProteinReference4426,abstraction:ControlsTransportOf,reactome:ProteinReference4422
reactome:ProteinReference186,abstraction:ControlsTransportOf,reactome:ProteinReference7870
reactome:ProteinReference645,abstraction:ControlsTransportOf,reactome:ProteinReference11524
reactome:ProteinReference6745,abstraction:ControlsTransportOf,reactome:ProteinReference2514
reactome:ProteinReference139,abstraction:ControlsTransportOf,reactome:ProteinReference3407
reactome:ProteinReference4429,abstraction:ControlsTransportOf,reactome:ProteinReference4422
reactome:ProteinReference3034,abstraction:ControlsTransportOf,reactome:ProteinReference3084
reactome:ProteinReference3034,abstraction:ControlsTransportOf,reactome:ProteinReference3032
reactome:ProteinReference4428,abstraction:ControlsTransportOf,reactome:ProteinReference4422
reactome:ProteinReference641,abstraction:ControlsTransportOf,reactome:ProteinReference2198
reactome:ProteinReference6746,abstraction:ControlsTransportOf,reactome:ProteinReference2514
reactome:ProteinReference4427,abstraction:ControlsTransportOf,reactome:ProteinReference4422
reactome:ProteinReference4833,abstraction:ControlsTransportOf,reactome:ProteinReference7186
reactome:ProteinReference3034,abstraction:ControlsTransportOf,reactome:ProteinReference3086
reactome:ProteinReference6952,abstraction:ControlsTransportOf,reactome:ProteinReference11665
reactome:ProteinReference3034,abstraction:ControlsTransportOf,reactome:ProteinReference3083
reactome:ProteinReference139,abstraction:ControlsTransportOf,reactome:ProteinReference4832
reactome:ProteinReference6743,abstraction:ControlsTransportOf,reactome:ProteinReference2514
reactome:ProteinReference1841,abstraction:ControlsTransportOf,reactome:ProteinReference8301
reactome:ProteinReference4396,abstraction:ControlsTransportOf,reactome:ProteinReference7186
reactome:ProteinReference3034,abstraction:ControlsTransportOf,reactome:ProteinReference3085
reactome:ProteinReference3034,abstraction:ControlsTransportOf,reactome:ProteinReference3080
reactome:ProteinReference6783,abstraction:ControlsTransportOf,reactome:ProteinReference2514
reactome:ProteinReference645,abstraction:ControlsTransportOf,reactome:ProteinReference2783
reactome:ProteinReference6999,abstraction:ControlsTransportOf,reactome:ProteinReference4846
reactome:ProteinReference4736,abstraction:ControlsTransportOf,reactome:ProteinReference2316
reactome:ProteinReference4502,abstraction:ControlsTransportOf,reactome:ProteinReference4485
reactome:ProteinReference3034,abstraction:ControlsTransportOf,reactome:ProteinReference3079
reactome:ProteinReference4846,abstraction:ControlsTransportOf,reactome:ProteinReference9279
reactome:ProteinReference6350,abstraction:ControlsTransportOf,reactome:ProteinReference6349
reactome:ProteinReference8714,abstraction:ControlsTransportOf,reactome:ProteinReference8705
reactome:ProteinReference2656,abstraction:ControlsTransportOf,reactome:ProteinReference4938
