Source,Interaction,Target
reactome:ProteinReference11708,abstraction:ControlsExpressionOf,reactome:ProteinReference11710
reactome:ProteinReference11707,abstraction:ControlsExpressionOf,reactome:ProteinReference11710
reactome:ProteinReference7887,abstraction:ControlsExpressionOf,reactome:ProteinReference11721
reactome:ProteinReference6054,abstraction:ControlsExpressionOf,reactome:ProteinReference6057
reactome:ProteinReference6661,abstraction:ControlsExpressionOf,reactome:ProteinReference6668
reactome:ProteinReference1311,abstraction:ControlsExpressionOf,reactome:ProteinReference6654
reactome:ProteinReference6704,abstraction:ControlsExpressionOf,reactome:ProteinReference6693
reactome:ProteinReference1311,abstraction:ControlsExpressionOf,reactome:ProteinReference6628
reactome:ProteinReference2823,abstraction:ControlsExpressionOf,reactome:ProteinReference6659
reactome:ProteinReference1311,abstraction:ControlsExpressionOf,reactome:ProteinReference6680
reactome:ProteinReference1311,abstraction:ControlsExpressionOf,reactome:ProteinReference6639
reactome:ProteinReference6661,abstraction:ControlsExpressionOf,reactome:ProteinReference6670
reactome:ProteinReference1311,abstraction:ControlsExpressionOf,reactome:ProteinReference6703
reactome:ProteinReference6704,abstraction:ControlsExpressionOf,reactome:ProteinReference6673
reactome:ProteinReference11666,abstraction:ControlsExpressionOf,reactome:ProteinReference7888
reactome:ProteinReference196,abstraction:ControlsExpressionOf,reactome:ProteinReference4336
reactome:ProteinReference6661,abstraction:ControlsExpressionOf,reactome:ProteinReference6631
reactome:ProteinReference6661,abstraction:ControlsExpressionOf,reactome:ProteinReference6666
reactome:ProteinReference6704,abstraction:ControlsExpressionOf,reactome:ProteinReference6621
reactome:ProteinReference11667,abstraction:ControlsExpressionOf,reactome:ProteinReference11725
reactome:ProteinReference3038,abstraction:ControlsExpressionOf,reactome:ProteinReference3069
reactome:ProteinReference6661,abstraction:ControlsExpressionOf,reactome:ProteinReference6685
reactome:ProteinReference1729,abstraction:ControlsExpressionOf,reactome:ProteinReference1730
reactome:ProteinReference19,abstraction:ControlsExpressionOf,reactome:ProteinReference11750
reactome:ProteinReference11730,abstraction:ControlsExpressionOf,reactome:ProteinReference7126
reactome:ProteinReference6704,abstraction:ControlsExpressionOf,reactome:ProteinReference6663
reactome:ProteinReference12140,abstraction:ControlsExpressionOf,reactome:ProteinReference3871
reactome:ProteinReference11859,abstraction:ControlsExpressionOf,reactome:ProteinReference5166
