Source,Interaction,Target
reactome:ProteinReference3266,abstraction:InComplexWith,reactome:ProteinReference3280
reactome:ProteinReference3344,abstraction:InComplexWith,reactome:ProteinReference3349
reactome:ProteinReference8024,abstraction:InComplexWith,reactome:ProteinReference8025
reactome:ProteinReference10139,abstraction:InComplexWith,reactome:ProteinReference10140
reactome:ProteinReference380,abstraction:InComplexWith,reactome:ProteinReference540
reactome:ProteinReference2791,abstraction:InComplexWith,reactome:ProteinReference2792
reactome:ProteinReference1815,abstraction:InComplexWith,reactome:ProteinReference1857
reactome:ProteinReference1804,abstraction:InComplexWith,reactome:ProteinReference1808
reactome:ProteinReference7979,abstraction:InComplexWith,reactome:ProteinReference3994
reactome:ProteinReference6608,abstraction:InComplexWith,reactome:ProteinReference6610
reactome:ProteinReference8356,abstraction:InComplexWith,reactome:ProteinReference2168
reactome:ProteinReference6380,abstraction:InComplexWith,reactome:ProteinReference6380
reactome:ProteinReference1817,abstraction:InComplexWith,reactome:ProteinReference1836
reactome:ProteinReference1314,abstraction:InComplexWith,reactome:ProteinReference1810
reactome:ProteinReference2689,abstraction:InComplexWith,reactome:ProteinReference2688
reactome:ProteinReference5171,abstraction:InComplexWith,reactome:ProteinReference5175
reactome:ProteinReference3274,abstraction:InComplexWith,reactome:ProteinReference3277
reactome:ProteinReference8782,abstraction:InComplexWith,reactome:ProteinReference305
reactome:ProteinReference96,abstraction:InComplexWith,reactome:ProteinReference3879
reactome:ProteinReference10866,abstraction:InComplexWith,reactome:ProteinReference10867
reactome:ProteinReference3109,abstraction:InComplexWith,reactome:ProteinReference3108
reactome:ProteinReference4749,abstraction:InComplexWith,reactome:ProteinReference4749
reactome:ProteinReference6391,abstraction:InComplexWith,reactome:ProteinReference6391
reactome:ProteinReference3239,abstraction:InComplexWith,reactome:ProteinReference3252
reactome:ProteinReference1843,abstraction:InComplexWith,reactome:ProteinReference1848
reactome:ProteinReference5968,abstraction:InComplexWith,reactome:ProteinReference6943
reactome:ProteinReference1021,abstraction:InComplexWith,reactome:ProteinReference1022
reactome:ProteinReference9250,abstraction:InComplexWith,reactome:ProteinReference9250
reactome:ProteinReference722,abstraction:InComplexWith,reactome:ProteinReference736
reactome:ProteinReference316,abstraction:InComplexWith,reactome:ProteinReference317
