Source,Interaction,Target
reactome:ProteinReference10562,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference405
reactome:ProteinReference10167,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1765
reactome:ProteinReference10267,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference622
reactome:ProteinReference1048,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference2158
reactome:ProteinReference9430,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference398
reactome:ProteinReference10638,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference67
reactome:ProteinReference7877,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference5
reactome:ProteinReference10738,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference2789
reactome:ProteinReference7022,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1295
reactome:ProteinReference9970,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference29
reactome:ProteinReference9365,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference65
reactome:ProteinReference3603,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference483
reactome:ProteinReference3574,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference24
reactome:ProteinReference10087,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference2180
reactome:ProteinReference10160,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference5
reactome:ProteinReference5769,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference180
reactome:ProteinReference7958,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1540
reactome:ProteinReference3609,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference27
reactome:ProteinReference10518,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference2575
reactome:ProteinReference6250,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference8
reactome:ProteinReference2507,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference13
reactome:ProteinReference10062,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference2148
reactome:ProteinReference1338,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference13
reactome:ProteinReference3551,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference11
reactome:ProteinReference9723,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference498
reactome:ProteinReference6265,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference424
reactome:ProteinReference10090,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference373
reactome:ProteinReference10535,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference11
reactome:ProteinReference9894,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1947
reactome:ProteinReference10088,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference600
reactome:ProteinReference10762,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference18
reactome:ProteinReference1234,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference110
reactome:ProteinReference3592,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1771
reactome:ProteinReference10670,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference2736
reactome:ProteinReference6416,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference32
reactome:ProteinReference5742,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference29
reactome:ProteinReference9807,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1891
reactome:ProteinReference4145,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference3
reactome:ProteinReference4411,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference28
reactome:ProteinReference6163,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference65
reactome:ProteinReference3443,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference45
reactome:ProteinReference9416,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference396
reactome:ProteinReference10694,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1991
reactome:ProteinReference10163,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference424
reactome:ProteinReference7964,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference732
reactome:ProteinReference3649,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference517
reactome:ProteinReference1234,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference2910
