Node,Type,EntityName,EntityID
reactome:ProteinReference4833,Protein,UniProt:P16035 TIMP2,P16035
reactome:ProteinReference7186,Protein,UniProt:Q03167 TGFBR3,Q03167
reactome:ProteinReference4452,Protein,UniProt:P27487 DPP4,P27487
reactome:ProteinReference4453,Protein,GIP,P09681
reactome:ProteinReference3670,Protein,B4GALNT2,Q8NHY0
reactome:ProteinReference3669,Protein,UniProt:P07911 UMOD,P07911
reactome:ProteinReference5974,Protein,UniProt:P48729 CSNK1A1,P48729
reactome:ProteinReference6773,Protein,UniProt:P0DTC9 N,P0DTC9
reactome:ProteinReference3034,Protein,UniProt:O43462 MBTPS2,O43462
reactome:ProteinReference3085,Protein,CREBH,Q68CJ9
reactome:ProteinReference3126,Protein,UniProt:P00519 ABL1,P00519
reactome:ProteinReference3125,Protein,UniProt:P46937 YAP1,P46937
reactome:ProteinReference6743,Protein,1a,P0C6U8
reactome:ProteinReference2514,Protein,UniProt:Q9GZQ8 MAP1LC3B,Q9GZQ8
reactome:ProteinReference1841,Protein,PLK,P53350
reactome:ProteinReference8301,Protein,UniProt:Q9Y266 NUDC,Q9Y266
reactome:ProteinReference3080,Protein,LZIP,O43889
reactome:ProteinReference632,Protein,PKB,P31749
reactome:ProteinReference6282,Protein,NOTCH4,Q99466
reactome:ProteinReference3795,Protein,PIAS1,O75925
reactome:ProteinReference3845,Protein,L3MBTL2,Q969R5
reactome:ProteinReference3121,Protein,PTPN1,P18031
reactome:ProteinReference1621,Protein,CAL1H,P07355
reactome:ProteinReference8379,Protein,STK14A,P23443
reactome:ProteinReference617,Protein,EIF4F,Q04637
reactome:ProteinReference10888,Protein,GW,Q96GX5
reactome:ProteinReference10890,Protein,ENSA,O43768
reactome:ProteinReference135,Protein,CK2A1,P68400
reactome:ProteinReference2862,Protein,BHLHE5,O00327
reactome:ProteinReference645,Protein,XPO1,O14980
reactome:ProteinReference2783,Protein,UniProt:P46527 CDKN1B,P46527
reactome:ProteinReference3129,Protein,IKKB,O14920
reactome:ProteinReference3132,Protein,MAD3,P25963
reactome:ProteinReference6055,Protein,IL22,Q9GZX6
reactome:ProteinReference6054,Protein,TYK2,P29597
reactome:ProteinReference4684,Protein,UniProt:P39060 COL18A1,P39060
reactome:ProteinReference4738,Protein,UniProt:P14780 MMP9,P14780
reactome:ProteinReference3796,Protein,UniProt:Q8N2W9 PIAS4,Q8N2W9
reactome:ProteinReference3868,Protein,TINUR,P43354
reactome:ProteinReference2509,Protein,HYPL,Q96CV9
reactome:ProteinReference5940,Protein,MCH6,P55211
reactome:ProteinReference1311,Protein,UniProt:P16220-1 CREB1,P16220-1
reactome:ProteinReference186,Protein,SRC,P12931
reactome:ProteinReference7870,Protein,UniProt:Q13761 RUNX3,Q13761
reactome:ProteinReference644,Protein,PRKCD,Q05655
reactome:ProteinReference2861,Protein,NRF2,Q16236
reactome:ProteinReference2663,Protein,VHL,P40337
reactome:ProteinReference6820,Protein,JAK1A,P23458
reactome:ProteinReference7319,Protein,PDCD1LG1,Q9NZQ7
reactome:ProteinReference7217,Protein,MAP2K5,Q13163
reactome:ProteinReference2821,Protein,BMK1,Q13164
reactome:ProteinReference5757,Protein,NMT2,O60551
reactome:ProteinReference6525,Protein,UniProt:P04591 gag,P04591
reactome:ProteinReference2699,Protein,UniProt:P49841 GSK3B,P49841
reactome:ProteinReference12124,Protein,MITF,O75030-9
reactome:ProteinReference4143,Protein,UniProt:O60678 PRMT3,O60678
reactome:ProteinReference690,Protein,RPS4,P15880
reactome:ProteinReference7458,Protein,UniProt:P42892 ECE1,P42892
reactome:ProteinReference7457,Protein,UniProt:P05305 EDN1,P05305
reactome:ProteinReference3768,Protein,POMK,Q9H5K3
reactome:ProteinReference3763,Protein,UniProt:Q14118 DAG1,Q14118
reactome:ProteinReference3852,Protein,ZBED1,O96006
reactome:ProteinReference3851,Protein,CHD3,Q12873
reactome:ProteinReference267,Protein,SRC,P12931-1
reactome:ProteinReference4933,Protein,FUNDC1,Q8IVP5
reactome:ProteinReference7219,Protein,MSK1,O75582
