Source,Interaction,Target
reactome:Protein32510,abstraction:NeighborOf,reactome:Protein32524
reactome:Protein26560,abstraction:NeighborOf,reactome:Protein26564
reactome:Protein11348,abstraction:NeighborOf,reactome:Protein29518
reactome:Protein24868,abstraction:NeighborOf,reactome:Protein24871
reactome:Protein15615,abstraction:NeighborOf,reactome:Protein15635
reactome:Protein10536,abstraction:NeighborOf,reactome:Protein10537
reactome:Protein4280,abstraction:NeighborOf,reactome:Protein4285
reactome:Protein15583,abstraction:NeighborOf,reactome:Protein29598
reactome:Protein4548,abstraction:NeighborOf,reactome:Protein4549
reactome:Protein16627,abstraction:NeighborOf,reactome:Protein66
reactome:Protein26206,abstraction:NeighborOf,reactome:Protein9104
reactome:Protein26986,abstraction:NeighborOf,reactome:Protein8979
reactome:Protein24238,abstraction:NeighborOf,reactome:Protein24265
reactome:Protein10523,abstraction:NeighborOf,reactome:Protein10527
reactome:Protein12129,abstraction:NeighborOf,reactome:Protein31009
reactome:Protein24242,abstraction:NeighborOf,reactome:Protein24244
reactome:Protein24249,abstraction:NeighborOf,reactome:Protein24350
reactome:Protein29560,abstraction:NeighborOf,reactome:Protein29561
reactome:Protein8276,abstraction:NeighborOf,reactome:Protein8277
reactome:Protein24533,abstraction:NeighborOf,reactome:Protein24546
reactome:Protein28961,abstraction:NeighborOf,reactome:Protein28986
reactome:Protein4279,abstraction:NeighborOf,reactome:Protein4307
reactome:Protein2044,abstraction:NeighborOf,reactome:Protein2053
reactome:Protein23524,abstraction:NeighborOf,reactome:Protein23525
reactome:Protein15349,abstraction:NeighborOf,reactome:Protein15350
reactome:Protein10862,abstraction:NeighborOf,reactome:Protein10863
reactome:Protein2873,abstraction:NeighborOf,reactome:Protein4225
reactome:Protein12511,abstraction:NeighborOf,reactome:Protein14282
reactome:Protein10834,abstraction:NeighborOf,reactome:Protein10964
reactome:Protein14690,abstraction:NeighborOf,reactome:Protein6638
reactome:Protein2162,abstraction:NeighborOf,reactome:Protein4529
reactome:Protein24245,abstraction:NeighborOf,reactome:Protein24250
reactome:Protein10509,abstraction:NeighborOf,reactome:Protein15895
reactome:Protein24208,abstraction:NeighborOf,reactome:Protein24240
reactome:Protein24229,abstraction:NeighborOf,reactome:Protein24233
reactome:Protein2591,abstraction:NeighborOf,reactome:Protein2592
reactome:Protein4235,abstraction:NeighborOf,reactome:Protein4248
reactome:Protein13239,abstraction:NeighborOf,reactome:Protein13308
reactome:Protein12820,abstraction:NeighborOf,reactome:Protein8135
reactome:Protein15610,abstraction:NeighborOf,reactome:Protein15613
reactome:Protein17144,abstraction:NeighborOf,reactome:Protein31866
reactome:Protein24191,abstraction:NeighborOf,reactome:Protein26249
reactome:Protein24382,abstraction:NeighborOf,reactome:Protein24391
reactome:Protein14955,abstraction:NeighborOf,reactome:Protein14959
reactome:Protein24225,abstraction:NeighborOf,reactome:Protein24240
reactome:Protein24230,abstraction:NeighborOf,reactome:Protein24235
reactome:Protein26263,abstraction:NeighborOf,reactome:Protein26266
reactome:Protein30506,abstraction:NeighborOf,reactome:Protein30507
reactome:Protein1726,abstraction:NeighborOf,reactome:Protein1734
reactome:Protein15611,abstraction:NeighborOf,reactome:Protein3005
reactome:Protein15635,abstraction:NeighborOf,reactome:Protein15675
reactome:Protein3036,abstraction:NeighborOf,reactome:Protein3044
