Source,Interaction,Target
reactome:SmallMolecule638,abstraction:ConsumptionControlledBy,reactome:Protein3977
reactome:SmallMolecule1316,abstraction:ConsumptionControlledBy,reactome:Protein2233
reactome:SmallMolecule1305,abstraction:ConsumptionControlledBy,reactome:Protein2237
reactome:SmallMolecule302,abstraction:ConsumptionControlledBy,reactome:Protein2116
reactome:SmallMolecule3334,abstraction:ConsumptionControlledBy,reactome:Protein4819
reactome:SmallMolecule1020,abstraction:ConsumptionControlledBy,reactome:Protein2401
reactome:SmallMolecule105,abstraction:ConsumptionControlledBy,reactome:Protein122
reactome:SmallMolecule10,abstraction:ConsumptionControlledBy,reactome:Protein2460
reactome:SmallMolecule3521,abstraction:ConsumptionControlledBy,reactome:Protein7253
reactome:SmallMolecule679,abstraction:ConsumptionControlledBy,reactome:Protein681
reactome:SmallMolecule2379,abstraction:ConsumptionControlledBy,reactome:Protein3329
reactome:SmallMolecule3,abstraction:ConsumptionControlledBy,reactome:Protein16820
reactome:SmallMolecule1565,abstraction:ConsumptionControlledBy,reactome:Protein2503
reactome:SmallMolecule1949,abstraction:ConsumptionControlledBy,reactome:Protein2849
reactome:SmallMolecule4600,abstraction:ConsumptionControlledBy,reactome:Protein23690
reactome:SmallMolecule555,abstraction:ConsumptionControlledBy,reactome:Protein1215
reactome:SmallMolecule1290,abstraction:ConsumptionControlledBy,reactome:Protein2084
reactome:SmallMolecule1309,abstraction:ConsumptionControlledBy,reactome:Protein2301
reactome:SmallMolecule115,abstraction:ConsumptionControlledBy,reactome:Protein147
reactome:SmallMolecule1779,abstraction:ConsumptionControlledBy,reactome:Protein4827
reactome:SmallMolecule3042,abstraction:ConsumptionControlledBy,reactome:Protein29
reactome:SmallMolecule3,abstraction:ConsumptionControlledBy,reactome:Protein27479
reactome:SmallMolecule557,abstraction:ConsumptionControlledBy,reactome:Protein393
reactome:SmallMolecule100,abstraction:ConsumptionControlledBy,reactome:Protein181
reactome:SmallMolecule1306,abstraction:ConsumptionControlledBy,reactome:Protein2290
reactome:SmallMolecule222,abstraction:ConsumptionControlledBy,reactome:Protein4763
reactome:SmallMolecule591,abstraction:ConsumptionControlledBy,reactome:Protein31578
reactome:SmallMolecule110,abstraction:ConsumptionControlledBy,reactome:Protein10682
reactome:SmallMolecule3539,abstraction:ConsumptionControlledBy,reactome:Protein26175
reactome:SmallMolecule638,abstraction:ConsumptionControlledBy,reactome:Protein2227
reactome:SmallMolecule33,abstraction:ConsumptionControlledBy,reactome:Protein3658
reactome:SmallMolecule774,abstraction:ConsumptionControlledBy,reactome:Protein2325
reactome:SmallMolecule3,abstraction:ConsumptionControlledBy,reactome:Protein26500
reactome:SmallMolecule100,abstraction:ConsumptionControlledBy,reactome:Protein283
reactome:SmallMolecule3,abstraction:ConsumptionControlledBy,reactome:Protein1952
reactome:SmallMolecule3372,abstraction:ConsumptionControlledBy,reactome:Protein10983
reactome:SmallMolecule99,abstraction:ConsumptionControlledBy,reactome:Protein2194
reactome:SmallMolecule1802,abstraction:ConsumptionControlledBy,reactome:Protein2748
reactome:SmallMolecule618,abstraction:ConsumptionControlledBy,reactome:Protein2894
reactome:SmallMolecule351,abstraction:ConsumptionControlledBy,reactome:Protein2461
reactome:SmallMolecule34,abstraction:ConsumptionControlledBy,reactome:Protein7242
reactome:SmallMolecule2037,abstraction:ConsumptionControlledBy,reactome:Protein2186
reactome:SmallMolecule3504,abstraction:ConsumptionControlledBy,reactome:Protein4942
reactome:SmallMolecule869,abstraction:ConsumptionControlledBy,reactome:Protein4001
reactome:SmallMolecule780,abstraction:ConsumptionControlledBy,reactome:Protein2637
reactome:SmallMolecule3,abstraction:ConsumptionControlledBy,reactome:Protein9940
reactome:SmallMolecule99,abstraction:ConsumptionControlledBy,reactome:Protein2137
reactome:SmallMolecule2,abstraction:ConsumptionControlledBy,reactome:Protein14310
reactome:SmallMolecule1842,abstraction:ConsumptionControlledBy,reactome:Protein2803
reactome:SmallMolecule99,abstraction:ConsumptionControlledBy,reactome:Protein2747
reactome:SmallMolecule1075,abstraction:ConsumptionControlledBy,reactome:Protein2230
reactome:SmallMolecule2961,abstraction:ConsumptionControlledBy,reactome:Protein3880
reactome:SmallMolecule2,abstraction:ConsumptionControlledBy,reactome:Protein27156
reactome:SmallMolecule619,abstraction:ConsumptionControlledBy,reactome:Protein2184
reactome:SmallMolecule1669,abstraction:ConsumptionControlledBy,reactome:Protein2723
reactome:SmallMolecule299,abstraction:ConsumptionControlledBy,reactome:Protein337
reactome:SmallMolecule1897,abstraction:ConsumptionControlledBy,reactome:Protein2184
reactome:SmallMolecule2,abstraction:ConsumptionControlledBy,reactome:Protein16637
reactome:SmallMolecule618,abstraction:ConsumptionControlledBy,reactome:Protein4120
reactome:SmallMolecule1924,abstraction:ConsumptionControlledBy,reactome:Protein1087
reactome:SmallMolecule115,abstraction:ConsumptionControlledBy,reactome:Protein144
reactome:SmallMolecule1305,abstraction:ConsumptionControlledBy,reactome:Protein2236
reactome:SmallMolecule101,abstraction:ConsumptionControlledBy,reactome:Protein682
reactome:SmallMolecule3298,abstraction:ConsumptionControlledBy,reactome:Protein4120
reactome:SmallMolecule774,abstraction:ConsumptionControlledBy,reactome:Protein2455
reactome:SmallMolecule100,abstraction:ConsumptionControlledBy,reactome:Protein277
reactome:SmallMolecule379,abstraction:ConsumptionControlledBy,reactome:Protein301
reactome:SmallMolecule567,abstraction:ConsumptionControlledBy,reactome:Protein2649
reactome:SmallMolecule626,abstraction:ConsumptionControlledBy,reactome:Protein511
reactome:SmallMolecule535,abstraction:ConsumptionControlledBy,reactome:Protein16836
reactome:SmallMolecule2,abstraction:ConsumptionControlledBy,reactome:Protein1956
reactome:SmallMolecule2,abstraction:ConsumptionControlledBy,reactome:Protein27162
reactome:SmallMolecule33,abstraction:ConsumptionControlledBy,reactome:Protein2481
reactome:SmallMolecule2813,abstraction:ConsumptionControlledBy,reactome:Protein3642
