Source,Interaction,Target
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein11300
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein951
reactome:SmallMolecule2582,abstraction:ChemicalAffects,reactome:Protein3413
reactome:SmallMolecule928,abstraction:ChemicalAffects,reactome:Protein1161
reactome:SmallMolecule2529,abstraction:ChemicalAffects,reactome:Protein15052
reactome:SmallMolecule4019,abstraction:ChemicalAffects,reactome:Protein13580
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein1980
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein14070
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein1970
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein3478
reactome:SmallMolecule3693,abstraction:ChemicalAffects,reactome:Protein25126
reactome:SmallMolecule674,abstraction:ChemicalAffects,reactome:Protein1656
reactome:SmallMolecule3966,abstraction:ChemicalAffects,reactome:Protein12402
reactome:SmallMolecule2,abstraction:ChemicalAffects,reactome:Protein12196
reactome:SmallMolecule710,abstraction:ChemicalAffects,reactome:Protein3646
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein12774
reactome:SmallMolecule3977,abstraction:ChemicalAffects,reactome:Protein12531
reactome:SmallMolecule125,abstraction:ChemicalAffects,reactome:Protein2186
reactome:SmallMolecule109,abstraction:ChemicalAffects,reactome:Protein33392
reactome:SmallMolecule2714,abstraction:ChemicalAffects,reactome:Protein3559
reactome:SmallMolecule4736,abstraction:ChemicalAffects,reactome:Protein30326
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein12768
reactome:SmallMolecule110,abstraction:ChemicalAffects,reactome:Protein11704
reactome:SmallMolecule674,abstraction:ChemicalAffects,reactome:Protein2671
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein719
reactome:SmallMolecule37,abstraction:ChemicalAffects,reactome:Protein721
reactome:SmallMolecule4841,abstraction:ChemicalAffects,reactome:Protein23526
reactome:SmallMolecule2284,abstraction:ChemicalAffects,reactome:Protein3191
reactome:SmallMolecule2280,abstraction:ChemicalAffects,reactome:Protein3071
reactome:SmallMolecule2,abstraction:ChemicalAffects,reactome:Protein12383
reactome:SmallMolecule4423,abstraction:ChemicalAffects,reactome:Protein16211
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein941
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein9480
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein16532
reactome:SmallMolecule4022,abstraction:ChemicalAffects,reactome:Protein13580
reactome:SmallMolecule4005,abstraction:ChemicalAffects,reactome:Protein13575
reactome:SmallMolecule1016,abstraction:ChemicalAffects,reactome:Protein13177
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein11267
reactome:SmallMolecule4550,abstraction:ChemicalAffects,reactome:Protein3464
reactome:SmallMolecule1395,abstraction:ChemicalAffects,reactome:Protein2284
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein12775
reactome:SmallMolecule2650,abstraction:ChemicalAffects,reactome:Protein3669
reactome:SmallMolecule3883,abstraction:ChemicalAffects,reactome:Protein14000
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein3991
reactome:SmallMolecule1339,abstraction:ChemicalAffects,reactome:Protein2831
reactome:SmallMolecule713,abstraction:ChemicalAffects,reactome:Protein3662
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein13479
reactome:SmallMolecule3543,abstraction:ChemicalAffects,reactome:Protein7679
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein9670
reactome:SmallMolecule928,abstraction:ChemicalAffects,reactome:Protein1404
reactome:SmallMolecule4290,abstraction:ChemicalAffects,reactome:Protein15045
reactome:SmallMolecule20,abstraction:ChemicalAffects,reactome:Protein2283
reactome:SmallMolecule1302,abstraction:ChemicalAffects,reactome:Protein2877
reactome:SmallMolecule734,abstraction:ChemicalAffects,reactome:Protein13574
reactome:SmallMolecule1016,abstraction:ChemicalAffects,reactome:Protein17733
reactome:SmallMolecule606,abstraction:ChemicalAffects,reactome:Protein2947
reactome:SmallMolecule5297,abstraction:ChemicalAffects,reactome:Protein33280
reactome:SmallMolecule109,abstraction:ChemicalAffects,reactome:Protein2162
reactome:SmallMolecule1564,abstraction:ChemicalAffects,reactome:Protein13213
reactome:SmallMolecule3480,abstraction:ChemicalAffects,reactome:Protein11613
reactome:SmallMolecule874,abstraction:ChemicalAffects,reactome:Protein1058
reactome:SmallMolecule454,abstraction:ChemicalAffects,reactome:Protein10456
reactome:SmallMolecule4444,abstraction:ChemicalAffects,reactome:Protein8919
reactome:SmallMolecule3821,abstraction:ChemicalAffects,reactome:Protein11680
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein14081
reactome:SmallMolecule4444,abstraction:ChemicalAffects,reactome:Protein2022
reactome:SmallMolecule2265,abstraction:ChemicalAffects,reactome:Protein3081
reactome:SmallMolecule734,abstraction:ChemicalAffects,reactome:Protein796
reactome:SmallMolecule246,abstraction:ChemicalAffects,reactome:Protein15038
reactome:SmallMolecule6,abstraction:ChemicalAffects,reactome:Protein12202
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein7440
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein1084
reactome:SmallMolecule8,abstraction:ChemicalAffects,reactome:Protein794
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein968
reactome:SmallMolecule731,abstraction:ChemicalAffects,reactome:Protein786
reactome:SmallMolecule2308,abstraction:ChemicalAffects,reactome:Protein3210
reactome:SmallMolecule608,abstraction:ChemicalAffects,reactome:Protein13372
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein14080
reactome:SmallMolecule37,abstraction:ChemicalAffects,reactome:Protein3007
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein4790
reactome:SmallMolecule3883,abstraction:ChemicalAffects,reactome:Protein14018
reactome:SmallMolecule1099,abstraction:ChemicalAffects,reactome:Protein9059
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein949
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein950
