Source,Interaction,Target
reactome:SmallMolecule377,abstraction:UsedToProduce,reactome:SmallMolecule3732
reactome:SmallMolecule2251,abstraction:UsedToProduce,reactome:SmallMolecule5021
reactome:SmallMolecule591,abstraction:UsedToProduce,reactome:SmallMolecule1486
reactome:SmallMolecule3372,abstraction:UsedToProduce,reactome:SmallMolecule3890
reactome:SmallMolecule99,abstraction:UsedToProduce,reactome:SmallMolecule1791
reactome:SmallMolecule2923,abstraction:UsedToProduce,reactome:SmallMolecule3
reactome:SmallMolecule592,abstraction:UsedToProduce,reactome:SmallMolecule596
reactome:SmallMolecule3117,abstraction:UsedToProduce,reactome:SmallMolecule1269
reactome:SmallMolecule2773,abstraction:UsedToProduce,reactome:SmallMolecule2776
reactome:SmallMolecule301,abstraction:UsedToProduce,reactome:SmallMolecule302
reactome:SmallMolecule291,abstraction:UsedToProduce,reactome:SmallMolecule698
reactome:SmallMolecule1214,abstraction:UsedToProduce,reactome:SmallMolecule1217
reactome:SmallMolecule1822,abstraction:UsedToProduce,reactome:SmallMolecule1823
reactome:SmallMolecule886,abstraction:UsedToProduce,reactome:SmallMolecule99
reactome:SmallMolecule1615,abstraction:UsedToProduce,reactome:SmallMolecule1617
reactome:SmallMolecule2,abstraction:UsedToProduce,reactome:SmallMolecule2450
reactome:SmallMolecule1276,abstraction:UsedToProduce,reactome:SmallMolecule1280
reactome:SmallMolecule33,abstraction:UsedToProduce,reactome:SmallMolecule1380
reactome:SmallMolecule2,abstraction:UsedToProduce,reactome:SmallMolecule41
reactome:SmallMolecule3399,abstraction:UsedToProduce,reactome:SmallMolecule607
reactome:SmallMolecule2445,abstraction:UsedToProduce,reactome:SmallMolecule2435
reactome:SmallMolecule625,abstraction:UsedToProduce,reactome:SmallMolecule117
reactome:SmallMolecule915,abstraction:UsedToProduce,reactome:SmallMolecule3979
reactome:SmallMolecule903,abstraction:UsedToProduce,reactome:SmallMolecule864
reactome:SmallMolecule33,abstraction:UsedToProduce,reactome:SmallMolecule2849
reactome:SmallMolecule293,abstraction:UsedToProduce,reactome:SmallMolecule291
reactome:SmallMolecule677,abstraction:UsedToProduce,reactome:SmallMolecule43
reactome:SmallMolecule3,abstraction:UsedToProduce,reactome:SmallMolecule2816
reactome:SmallMolecule343,abstraction:UsedToProduce,reactome:SmallMolecule607
reactome:SmallMolecule4583,abstraction:UsedToProduce,reactome:SmallMolecule3140
reactome:SmallMolecule2010,abstraction:UsedToProduce,reactome:SmallMolecule2012
reactome:SmallMolecule100,abstraction:UsedToProduce,reactome:SmallMolecule44
reactome:SmallMolecule1196,abstraction:UsedToProduce,reactome:SmallMolecule3444
reactome:SmallMolecule8,abstraction:UsedToProduce,reactome:SmallMolecule7
reactome:SmallMolecule866,abstraction:UsedToProduce,reactome:SmallMolecule867
reactome:SmallMolecule1926,abstraction:UsedToProduce,reactome:SmallMolecule3
reactome:SmallMolecule3,abstraction:UsedToProduce,reactome:SmallMolecule3445
reactome:SmallMolecule10,abstraction:UsedToProduce,reactome:SmallMolecule11
reactome:SmallMolecule2,abstraction:UsedToProduce,reactome:SmallMolecule900
reactome:SmallMolecule33,abstraction:UsedToProduce,reactome:SmallMolecule1114
reactome:SmallMolecule618,abstraction:UsedToProduce,reactome:SmallMolecule2602
reactome:SmallMolecule2,abstraction:UsedToProduce,reactome:SmallMolecule2660
reactome:SmallMolecule1888,abstraction:UsedToProduce,reactome:SmallMolecule607
reactome:SmallMolecule366,abstraction:UsedToProduce,reactome:SmallMolecule3016
reactome:SmallMolecule492,abstraction:UsedToProduce,reactome:SmallMolecule504
reactome:SmallMolecule723,abstraction:UsedToProduce,reactome:SmallMolecule109
reactome:SmallMolecule541,abstraction:UsedToProduce,reactome:SmallMolecule105
reactome:SmallMolecule1036,abstraction:UsedToProduce,reactome:SmallMolecule1042
reactome:SmallMolecule1294,abstraction:UsedToProduce,reactome:SmallMolecule869
reactome:SmallMolecule2804,abstraction:UsedToProduce,reactome:SmallMolecule1340
reactome:SmallMolecule2968,abstraction:UsedToProduce,reactome:SmallMolecule2969
reactome:SmallMolecule2,abstraction:UsedToProduce,reactome:SmallMolecule927
reactome:SmallMolecule2934,abstraction:UsedToProduce,reactome:SmallMolecule2935
reactome:SmallMolecule1404,abstraction:UsedToProduce,reactome:SmallMolecule848
reactome:SmallMolecule292,abstraction:UsedToProduce,reactome:SmallMolecule4
reactome:SmallMolecule343,abstraction:UsedToProduce,reactome:SmallMolecule698
reactome:SmallMolecule15,abstraction:UsedToProduce,reactome:SmallMolecule6
reactome:SmallMolecule112,abstraction:UsedToProduce,reactome:SmallMolecule98
reactome:SmallMolecule3347,abstraction:UsedToProduce,reactome:SmallMolecule3348
reactome:SmallMolecule174,abstraction:UsedToProduce,reactome:SmallMolecule5213
reactome:SmallMolecule1120,abstraction:UsedToProduce,reactome:SmallMolecule743
reactome:SmallMolecule4420,abstraction:UsedToProduce,reactome:SmallMolecule4421
reactome:SmallMolecule1283,abstraction:UsedToProduce,reactome:SmallMolecule1320
reactome:SmallMolecule2839,abstraction:UsedToProduce,reactome:SmallMolecule1460
reactome:SmallMolecule861,abstraction:UsedToProduce,reactome:SmallMolecule3
reactome:SmallMolecule3656,abstraction:UsedToProduce,reactome:SmallMolecule3657
reactome:SmallMolecule893,abstraction:UsedToProduce,reactome:SmallMolecule622
reactome:SmallMolecule880,abstraction:UsedToProduce,reactome:SmallMolecule1027
reactome:SmallMolecule192,abstraction:UsedToProduce,reactome:SmallMolecule6
reactome:SmallMolecule869,abstraction:UsedToProduce,reactome:SmallMolecule1480
reactome:SmallMolecule1836,abstraction:UsedToProduce,reactome:SmallMolecule1135
reactome:SmallMolecule2823,abstraction:UsedToProduce,reactome:SmallMolecule1344
reactome:SmallMolecule2601,abstraction:UsedToProduce,reactome:SmallMolecule2602
reactome:SmallMolecule2772,abstraction:UsedToProduce,reactome:SmallMolecule698
reactome:SmallMolecule619,abstraction:UsedToProduce,reactome:SmallMolecule969
reactome:SmallMolecule3502,abstraction:UsedToProduce,reactome:SmallMolecule99
reactome:SmallMolecule344,abstraction:UsedToProduce,reactome:SmallMolecule4
reactome:SmallMolecule3263,abstraction:UsedToProduce,reactome:SmallMolecule375
reactome:SmallMolecule3,abstraction:UsedToProduce,reactome:SmallMolecule1569
reactome:SmallMolecule1470,abstraction:UsedToProduce,reactome:SmallMolecule99
reactome:SmallMolecule1638,abstraction:UsedToProduce,reactome:SmallMolecule1463
reactome:SmallMolecule1835,abstraction:UsedToProduce,reactome:SmallMolecule1837
reactome:SmallMolecule1766,abstraction:UsedToProduce,reactome:SmallMolecule6
reactome:SmallMolecule5021,abstraction:UsedToProduce,reactome:SmallMolecule5022
reactome:SmallMolecule566,abstraction:UsedToProduce,reactome:SmallMolecule3576
reactome:SmallMolecule4606,abstraction:UsedToProduce,reactome:SmallMolecule4608
reactome:SmallMolecule3068,abstraction:UsedToProduce,reactome:SmallMolecule1269
reactome:SmallMolecule1815,abstraction:UsedToProduce,reactome:SmallMolecule1816
reactome:SmallMolecule1029,abstraction:UsedToProduce,reactome:SmallMolecule5138
reactome:SmallMolecule2848,abstraction:UsedToProduce,reactome:SmallMolecule2849
reactome:SmallMolecule1055,abstraction:UsedToProduce,reactome:SmallMolecule1046
reactome:SmallMolecule220,abstraction:UsedToProduce,reactome:SmallMolecule3260
reactome:SmallMolecule2785,abstraction:UsedToProduce,reactome:SmallMolecule2782
reactome:SmallMolecule524,abstraction:UsedToProduce,reactome:SmallMolecule532
reactome:SmallMolecule774,abstraction:UsedToProduce,reactome:SmallMolecule1479
reactome:SmallMolecule209,abstraction:UsedToProduce,reactome:SmallMolecule210
reactome:SmallMolecule964,abstraction:UsedToProduce,reactome:SmallMolecule965
reactome:SmallMolecule1915,abstraction:UsedToProduce,reactome:SmallMolecule1868
reactome:SmallMolecule3,abstraction:UsedToProduce,reactome:SmallMolecule2261
reactome:SmallMolecule407,abstraction:UsedToProduce,reactome:SmallMolecule100
reactome:SmallMolecule1867,abstraction:UsedToProduce,reactome:SmallMolecule1868
reactome:SmallMolecule1740,abstraction:UsedToProduce,reactome:SmallMolecule1739
reactome:SmallMolecule3113,abstraction:UsedToProduce,reactome:SmallMolecule1269
reactome:SmallMolecule2432,abstraction:UsedToProduce,reactome:SmallMolecule721
reactome:SmallMolecule1376,abstraction:UsedToProduce,reactome:SmallMolecule1377
reactome:SmallMolecule1457,abstraction:UsedToProduce,reactome:SmallMolecule1455
reactome:SmallMolecule1875,abstraction:UsedToProduce,reactome:SmallMolecule1877
reactome:SmallMolecule1135,abstraction:UsedToProduce,reactome:SmallMolecule1840
reactome:SmallMolecule1964,abstraction:UsedToProduce,reactome:SmallMolecule1965
reactome:SmallMolecule295,abstraction:UsedToProduce,reactome:SmallMolecule293
reactome:SmallMolecule743,abstraction:UsedToProduce,reactome:SmallMolecule742
reactome:SmallMolecule1214,abstraction:UsedToProduce,reactome:SmallMolecule638
reactome:SmallMolecule323,abstraction:UsedToProduce,reactome:SmallMolecule5189
reactome:SmallMolecule3048,abstraction:UsedToProduce,reactome:SmallMolecule4
reactome:SmallMolecule105,abstraction:UsedToProduce,reactome:SmallMolecule936
reactome:SmallMolecule2467,abstraction:UsedToProduce,reactome:SmallMolecule275
reactome:SmallMolecule302,abstraction:UsedToProduce,reactome:SmallMolecule4
reactome:SmallMolecule2068,abstraction:UsedToProduce,reactome:SmallMolecule2070
reactome:SmallMolecule3302,abstraction:UsedToProduce,reactome:SmallMolecule3304
reactome:SmallMolecule34,abstraction:UsedToProduce,reactome:SmallMolecule857
reactome:SmallMolecule3,abstraction:UsedToProduce,reactome:SmallMolecule498
reactome:SmallMolecule2014,abstraction:UsedToProduce,reactome:SmallMolecule2018
reactome:SmallMolecule2652,abstraction:UsedToProduce,reactome:SmallMolecule102
reactome:SmallMolecule1513,abstraction:UsedToProduce,reactome:SmallMolecule1505
reactome:SmallMolecule1061,abstraction:UsedToProduce,reactome:SmallMolecule680
reactome:SmallMolecule900,abstraction:UsedToProduce,reactome:SmallMolecule99
reactome:SmallMolecule3092,abstraction:UsedToProduce,reactome:SmallMolecule869
reactome:SmallMolecule1848,abstraction:UsedToProduce,reactome:SmallMolecule1850
reactome:SmallMolecule2906,abstraction:UsedToProduce,reactome:SmallMolecule721
reactome:SmallMolecule1075,abstraction:UsedToProduce,reactome:SmallMolecule1262
reactome:SmallMolecule3176,abstraction:UsedToProduce,reactome:SmallMolecule710
reactome:SmallMolecule1343,abstraction:UsedToProduce,reactome:SmallMolecule1345
reactome:SmallMolecule1875,abstraction:UsedToProduce,reactome:SmallMolecule622
reactome:SmallMolecule568,abstraction:UsedToProduce,reactome:SmallMolecule558
reactome:SmallMolecule1945,abstraction:UsedToProduce,reactome:SmallMolecule1946
reactome:SmallMolecule3,abstraction:UsedToProduce,reactome:SmallMolecule1048
reactome:SmallMolecule2566,abstraction:UsedToProduce,reactome:SmallMolecule2568
reactome:SmallMolecule1500,abstraction:UsedToProduce,reactome:SmallMolecule1502
reactome:SmallMolecule2574,abstraction:UsedToProduce,reactome:SmallMolecule2259
reactome:SmallMolecule3650,abstraction:UsedToProduce,reactome:SmallMolecule3651
reactome:SmallMolecule957,abstraction:UsedToProduce,reactome:SmallMolecule959
reactome:SmallMolecule1740,abstraction:UsedToProduce,reactome:SmallMolecule1741
reactome:SmallMolecule1929,abstraction:UsedToProduce,reactome:SmallMolecule907
reactome:SmallMolecule618,abstraction:UsedToProduce,reactome:SmallMolecule3126
reactome:SmallMolecule99,abstraction:UsedToProduce,reactome:SmallMolecule2382
reactome:SmallMolecule3,abstraction:UsedToProduce,reactome:SmallMolecule2730
reactome:SmallMolecule1355,abstraction:UsedToProduce,reactome:SmallMolecule1356
