Source,Interaction,Target
reactome:Protein3758,abstraction:InComplexWith,reactome:Protein3767
reactome:Protein24048,abstraction:InComplexWith,reactome:Protein24056
reactome:Protein7364,abstraction:InComplexWith,reactome:Protein7369
reactome:Protein25067,abstraction:InComplexWith,reactome:Protein25068
reactome:Protein17103,abstraction:InComplexWith,reactome:Protein30802
reactome:Protein10834,abstraction:InComplexWith,reactome:Protein10834
reactome:Protein4212,abstraction:InComplexWith,reactome:Protein4219
reactome:Protein11257,abstraction:InComplexWith,reactome:Protein614
reactome:Protein2040,abstraction:InComplexWith,reactome:Protein2055
reactome:Protein17102,abstraction:InComplexWith,reactome:Protein30833
reactome:Protein17103,abstraction:InComplexWith,reactome:Protein25062
reactome:Protein24046,abstraction:InComplexWith,reactome:Protein24050
reactome:Protein18425,abstraction:InComplexWith,reactome:Protein18425
reactome:Protein17094,abstraction:InComplexWith,reactome:Protein17117
reactome:Protein30264,abstraction:InComplexWith,reactome:Protein8883
reactome:Protein9261,abstraction:InComplexWith,reactome:Protein9263
reactome:Protein27165,abstraction:InComplexWith,reactome:Protein27165
reactome:Protein7326,abstraction:InComplexWith,reactome:Protein7351
reactome:Protein3609,abstraction:InComplexWith,reactome:Protein3609
reactome:Protein9263,abstraction:InComplexWith,reactome:Protein9265
reactome:Protein7388,abstraction:InComplexWith,reactome:Protein7388
reactome:Protein7336,abstraction:InComplexWith,reactome:Protein7340
reactome:Protein3217,abstraction:InComplexWith,reactome:Protein3222
reactome:Protein10165,abstraction:InComplexWith,reactome:Protein10169
reactome:Protein7369,abstraction:InComplexWith,reactome:Protein7393
reactome:Protein3941,abstraction:InComplexWith,reactome:Protein3941
reactome:Protein3786,abstraction:InComplexWith,reactome:Protein3829
reactome:Protein10108,abstraction:InComplexWith,reactome:Protein12452
reactome:Protein14178,abstraction:InComplexWith,reactome:Protein14179
reactome:Protein1036,abstraction:InComplexWith,reactome:Protein1046
reactome:Protein3341,abstraction:InComplexWith,reactome:Protein3341
reactome:Protein3809,abstraction:InComplexWith,reactome:Protein3819
reactome:Protein23578,abstraction:InComplexWith,reactome:Protein23579
reactome:Protein4910,abstraction:InComplexWith,reactome:Protein4911
reactome:Protein17094,abstraction:InComplexWith,reactome:Protein9030
reactome:Protein30810,abstraction:InComplexWith,reactome:Protein8231
reactome:Protein7322,abstraction:InComplexWith,reactome:Protein7327
reactome:Protein4700,abstraction:InComplexWith,reactome:Protein4704
reactome:Protein10803,abstraction:InComplexWith,reactome:Protein8873
reactome:Protein30346,abstraction:InComplexWith,reactome:Protein30354
reactome:Protein3792,abstraction:InComplexWith,reactome:Protein3825
reactome:Protein33422,abstraction:InComplexWith,reactome:Protein8171
reactome:Protein12368,abstraction:InComplexWith,reactome:Protein27552
reactome:Protein30780,abstraction:InComplexWith,reactome:Protein8233
reactome:Protein30787,abstraction:InComplexWith,reactome:Protein30790
reactome:Protein10186,abstraction:InComplexWith,reactome:Protein15795
reactome:Protein10590,abstraction:InComplexWith,reactome:Protein10802
reactome:Protein4638,abstraction:InComplexWith,reactome:Protein4666
reactome:Protein15785,abstraction:InComplexWith,reactome:Protein15787
reactome:Protein4579,abstraction:InComplexWith,reactome:Protein4581
reactome:Protein3747,abstraction:InComplexWith,reactome:Protein3773
reactome:Protein4331,abstraction:InComplexWith,reactome:Protein4332
reactome:Protein14952,abstraction:InComplexWith,reactome:Protein14954
reactome:Protein12076,abstraction:InComplexWith,reactome:Protein12902
reactome:Protein4903,abstraction:InComplexWith,reactome:Protein4907
reactome:Protein10801,abstraction:InComplexWith,reactome:Protein14639
reactome:Protein17087,abstraction:InComplexWith,reactome:Protein17092
reactome:Protein30809,abstraction:InComplexWith,reactome:Protein8233
reactome:Protein26066,abstraction:InComplexWith,reactome:Protein9260
reactome:Protein4303,abstraction:InComplexWith,reactome:Protein4890
reactome:Protein4339,abstraction:InComplexWith,reactome:Protein4362
reactome:Protein7380,abstraction:InComplexWith,reactome:Protein7387
reactome:Protein16215,abstraction:InComplexWith,reactome:Protein2023
reactome:Protein23831,abstraction:InComplexWith,reactome:Protein23837
reactome:Protein18862,abstraction:InComplexWith,reactome:Protein18862
reactome:Protein17116,abstraction:InComplexWith,reactome:Protein7572
reactome:Protein19090,abstraction:InComplexWith,reactome:Protein19090
reactome:Protein12082,abstraction:InComplexWith,reactome:Protein17101
reactome:Protein2049,abstraction:InComplexWith,reactome:Protein2050
reactome:Protein30067,abstraction:InComplexWith,reactome:Protein4161
reactome:Protein12157,abstraction:InComplexWith,reactome:Protein12157
reactome:Protein15604,abstraction:InComplexWith,reactome:Protein31068
reactome:Protein11033,abstraction:InComplexWith,reactome:Protein13207
reactome:Protein30983,abstraction:InComplexWith,reactome:Protein30989
reactome:Protein12312,abstraction:InComplexWith,reactome:Protein26145
reactome:Protein27144,abstraction:InComplexWith,reactome:Protein27149
reactome:Protein4870,abstraction:InComplexWith,reactome:Protein4871
reactome:Protein12941,abstraction:InComplexWith,reactome:Protein12946
reactome:Protein25065,abstraction:InComplexWith,reactome:Protein4214
reactome:Protein10540,abstraction:InComplexWith,reactome:Protein10541
reactome:Protein23694,abstraction:InComplexWith,reactome:Protein23694
reactome:Protein3136,abstraction:InComplexWith,reactome:Protein3142
reactome:Protein4608,abstraction:InComplexWith,reactome:Protein4625
