Source,Interaction,Target
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein7310
reactome:SmallMolecule5188,abstraction:ChemicalAffects,reactome:Protein32476
reactome:SmallMolecule1030,abstraction:ChemicalAffects,reactome:Protein12224
reactome:SmallMolecule2730,abstraction:ChemicalAffects,reactome:Protein3571
reactome:SmallMolecule4074,abstraction:ChemicalAffects,reactome:Protein15077
reactome:SmallMolecule125,abstraction:ChemicalAffects,reactome:Protein1107
reactome:SmallMolecule3885,abstraction:ChemicalAffects,reactome:Protein12114
reactome:SmallMolecule713,abstraction:ChemicalAffects,reactome:Protein3034
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein3861
reactome:SmallMolecule615,abstraction:ChemicalAffects,reactome:Protein12398
reactome:SmallMolecule725,abstraction:ChemicalAffects,reactome:Protein768
reactome:SmallMolecule116,abstraction:ChemicalAffects,reactome:Protein23379
reactome:SmallMolecule724,abstraction:ChemicalAffects,reactome:Protein776
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein12838
reactome:SmallMolecule3885,abstraction:ChemicalAffects,reactome:Protein12107
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein3745
reactome:SmallMolecule4444,abstraction:ChemicalAffects,reactome:Protein2022
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein16878
reactome:SmallMolecule762,abstraction:ChemicalAffects,reactome:Protein859
reactome:SmallMolecule2230,abstraction:ChemicalAffects,reactome:Protein15255
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein16353
reactome:SmallMolecule1030,abstraction:ChemicalAffects,reactome:Protein12226
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein14053
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein14081
reactome:SmallMolecule729,abstraction:ChemicalAffects,reactome:Protein784
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein29385
reactome:SmallMolecule110,abstraction:ChemicalAffects,reactome:Protein7092
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein3484
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein33375
reactome:SmallMolecule125,abstraction:ChemicalAffects,reactome:Protein3906
reactome:SmallMolecule3717,abstraction:ChemicalAffects,reactome:Protein9065
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein12111
reactome:SmallMolecule5292,abstraction:ChemicalAffects,reactome:Protein33271
reactome:SmallMolecule109,abstraction:ChemicalAffects,reactome:Protein1936
reactome:SmallMolecule1326,abstraction:ChemicalAffects,reactome:Protein9080
reactome:SmallMolecule4894,abstraction:ChemicalAffects,reactome:Protein24980
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein2244
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein13471
reactome:SmallMolecule425,abstraction:ChemicalAffects,reactome:Protein31273
reactome:SmallMolecule2609,abstraction:ChemicalAffects,reactome:Protein3466
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein31991
reactome:SmallMolecule4736,abstraction:ChemicalAffects,reactome:Protein30330
reactome:SmallMolecule4736,abstraction:ChemicalAffects,reactome:Protein23882
reactome:SmallMolecule4018,abstraction:ChemicalAffects,reactome:Protein13581
reactome:SmallMolecule732,abstraction:ChemicalAffects,reactome:Protein787
reactome:SmallMolecule5330,abstraction:ChemicalAffects,reactome:Protein33302
reactome:SmallMolecule697,abstraction:ChemicalAffects,reactome:Protein23367
reactome:SmallMolecule880,abstraction:ChemicalAffects,reactome:Protein21189
reactome:SmallMolecule109,abstraction:ChemicalAffects,reactome:Protein3674
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein7314
reactome:SmallMolecule8,abstraction:ChemicalAffects,reactome:Protein13575
reactome:SmallMolecule2267,abstraction:ChemicalAffects,reactome:Protein3046
reactome:SmallMolecule2618,abstraction:ChemicalAffects,reactome:Protein3471
reactome:SmallMolecule639,abstraction:ChemicalAffects,reactome:Protein2686
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein947
reactome:SmallMolecule5186,abstraction:ChemicalAffects,reactome:Protein33429
reactome:SmallMolecule734,abstraction:ChemicalAffects,reactome:Protein799
reactome:SmallMolecule4913,abstraction:ChemicalAffects,reactome:Protein25056
reactome:SmallMolecule2609,abstraction:ChemicalAffects,reactome:Protein3460
reactome:SmallMolecule5294,abstraction:ChemicalAffects,reactome:Protein33291
reactome:SmallMolecule5335,abstraction:ChemicalAffects,reactome:Protein33311
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein16532
reactome:SmallMolecule5068,abstraction:ChemicalAffects,reactome:Protein30310
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein13483
reactome:SmallMolecule1506,abstraction:ChemicalAffects,reactome:Protein2415
reactome:SmallMolecule3972,abstraction:ChemicalAffects,reactome:Protein3867
reactome:SmallMolecule2,abstraction:ChemicalAffects,reactome:Protein4497
reactome:SmallMolecule1283,abstraction:ChemicalAffects,reactome:Protein27115
reactome:SmallMolecule2,abstraction:ChemicalAffects,reactome:Protein12190
reactome:SmallMolecule1614,abstraction:ChemicalAffects,reactome:Protein13902
reactome:SmallMolecule37,abstraction:ChemicalAffects,reactome:Protein924
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein943
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein31081
reactome:SmallMolecule605,abstraction:ChemicalAffects,reactome:Protein2704
reactome:SmallMolecule4023,abstraction:ChemicalAffects,reactome:Protein13580
reactome:SmallMolecule2907,abstraction:ChemicalAffects,reactome:Protein3842
reactome:SmallMolecule125,abstraction:ChemicalAffects,reactome:Protein2218
reactome:SmallMolecule726,abstraction:ChemicalAffects,reactome:Protein3269
reactome:SmallMolecule109,abstraction:ChemicalAffects,reactome:Protein1948
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein990
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein23788
reactome:SmallMolecule31,abstraction:ChemicalAffects,reactome:Protein850
reactome:SmallMolecule110,abstraction:ChemicalAffects,reactome:Protein27251
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein1081
reactome:SmallMolecule2264,abstraction:ChemicalAffects,reactome:Protein3038
reactome:SmallMolecule37,abstraction:ChemicalAffects,reactome:Protein12553
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein9890
reactome:SmallMolecule674,abstraction:ChemicalAffects,reactome:Protein1899
reactome:SmallMolecule2882,abstraction:ChemicalAffects,reactome:Protein3714
reactome:SmallMolecule613,abstraction:ChemicalAffects,reactome:Protein12400
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein14052
reactome:SmallMolecule4056,abstraction:ChemicalAffects,reactome:Protein11807
reactome:SmallMolecule2,abstraction:ChemicalAffects,reactome:Protein12191
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein4122
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein937
reactome:SmallMolecule4898,abstraction:ChemicalAffects,reactome:Protein24984
reactome:SmallMolecule4983,abstraction:ChemicalAffects,reactome:Protein27158
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein2206
reactome:SmallMolecule2487,abstraction:ChemicalAffects,reactome:Protein30606
reactome:SmallMolecule6,abstraction:ChemicalAffects,reactome:Protein12192
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein16832
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein971
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein9480
reactome:SmallMolecule4290,abstraction:ChemicalAffects,reactome:Protein15044
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein3350
reactome:SmallMolecule1114,abstraction:ChemicalAffects,reactome:Protein3182
reactome:SmallMolecule1016,abstraction:ChemicalAffects,reactome:Protein13213
reactome:SmallMolecule5290,abstraction:ChemicalAffects,reactome:Protein33270
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein3380
reactome:SmallMolecule1030,abstraction:ChemicalAffects,reactome:Protein10871
reactome:SmallMolecule4423,abstraction:ChemicalAffects,reactome:Protein2345
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein22421
reactome:SmallMolecule3794,abstraction:ChemicalAffects,reactome:Protein10522
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein7277
reactome:SmallMolecule3693,abstraction:ChemicalAffects,reactome:Protein25126
reactome:SmallMolecule116,abstraction:ChemicalAffects,reactome:Protein23418
reactome:SmallMolecule619,abstraction:ChemicalAffects,reactome:Protein3859
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein13524
reactome:SmallMolecule928,abstraction:ChemicalAffects,reactome:Protein1365
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein16533
reactome:SmallMolecule1030,abstraction:ChemicalAffects,reactome:Protein12221
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein4067
reactome:SmallMolecule535,abstraction:ChemicalAffects,reactome:Protein13412
reactome:SmallMolecule5189,abstraction:ChemicalAffects,reactome:Protein32482
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein9881
reactome:SmallMolecule4538,abstraction:ChemicalAffects,reactome:Protein25121
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein14070
reactome:SmallMolecule4438,abstraction:ChemicalAffects,reactome:Protein9053
reactome:SmallMolecule2284,abstraction:ChemicalAffects,reactome:Protein3087
reactome:SmallMolecule4073,abstraction:ChemicalAffects,reactome:Protein26516
reactome:SmallMolecule109,abstraction:ChemicalAffects,reactome:Protein4601
reactome:SmallMolecule109,abstraction:ChemicalAffects,reactome:Protein2162
reactome:SmallMolecule2487,abstraction:ChemicalAffects,reactome:Protein30309
reactome:SmallMolecule1792,abstraction:ChemicalAffects,reactome:Protein3011
reactome:SmallMolecule115,abstraction:ChemicalAffects,reactome:Protein11043
reactome:SmallMolecule2259,abstraction:ChemicalAffects,reactome:Protein3671
reactome:SmallMolecule37,abstraction:ChemicalAffects,reactome:Protein14326
reactome:SmallMolecule730,abstraction:ChemicalAffects,reactome:Protein785
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein1084
reactome:SmallMolecule753,abstraction:ChemicalAffects,reactome:Protein849
