Source,Interaction,Target
reactome:ProteinReference3570,abstraction:ControlsStateChangeOf,reactome:ProteinReference6692
reactome:ProteinReference1773,abstraction:ControlsStateChangeOf,reactome:ProteinReference5133
reactome:ProteinReference6651,abstraction:ControlsStateChangeOf,reactome:ProteinReference1261
reactome:ProteinReference5063,abstraction:ControlsStateChangeOf,reactome:ProteinReference8907
reactome:ProteinReference3571,abstraction:ControlsStateChangeOf,reactome:ProteinReference6692
reactome:ProteinReference664,abstraction:ControlsStateChangeOf,reactome:ProteinReference6270
reactome:ProteinReference8116,abstraction:ControlsStateChangeOf,reactome:ProteinReference8086
reactome:ProteinReference6092,abstraction:ControlsStateChangeOf,reactome:ProteinReference7845
reactome:ProteinReference5291,abstraction:ControlsStateChangeOf,reactome:ProteinReference4387
reactome:ProteinReference10379,abstraction:ControlsStateChangeOf,reactome:ProteinReference8104
reactome:ProteinReference4115,abstraction:ControlsStateChangeOf,reactome:ProteinReference8907
reactome:ProteinReference4583,abstraction:ControlsStateChangeOf,reactome:ProteinReference4582
reactome:ProteinReference7526,abstraction:ControlsStateChangeOf,reactome:ProteinReference6932
reactome:ProteinReference9357,abstraction:ControlsStateChangeOf,reactome:ProteinReference6095
reactome:ProteinReference1737,abstraction:ControlsStateChangeOf,reactome:ProteinReference4470
reactome:ProteinReference5709,abstraction:ControlsStateChangeOf,reactome:ProteinReference8907
reactome:ProteinReference5110,abstraction:ControlsStateChangeOf,reactome:ProteinReference2539
reactome:ProteinReference1815,abstraction:ControlsStateChangeOf,reactome:ProteinReference3092
reactome:ProteinReference5963,abstraction:ControlsStateChangeOf,reactome:ProteinReference1153
reactome:ProteinReference1350,abstraction:ControlsStateChangeOf,reactome:ProteinReference1349
reactome:ProteinReference3985,abstraction:ControlsStateChangeOf,reactome:ProteinReference3979
reactome:ProteinReference4581,abstraction:ControlsStateChangeOf,reactome:ProteinReference9367
reactome:ProteinReference5291,abstraction:ControlsStateChangeOf,reactome:ProteinReference10388
reactome:ProteinReference6185,abstraction:ControlsStateChangeOf,reactome:ProteinReference8178
reactome:ProteinReference8116,abstraction:ControlsStateChangeOf,reactome:ProteinReference11310
reactome:ProteinReference4386,abstraction:ControlsStateChangeOf,reactome:ProteinReference4447
reactome:ProteinReference3449,abstraction:ControlsStateChangeOf,reactome:ProteinReference3622
reactome:ProteinReference659,abstraction:ControlsStateChangeOf,reactome:ProteinReference3585
reactome:ProteinReference10385,abstraction:ControlsStateChangeOf,reactome:ProteinReference8104
reactome:ProteinReference5420,abstraction:ControlsStateChangeOf,reactome:ProteinReference7826
