Source,Interaction,Target
reactome:ProteinReference2970,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference5443,abstraction:ControlsTransportOf,reactome:ProteinReference7589
reactome:ProteinReference3571,abstraction:ControlsTransportOf,reactome:ProteinReference6692
reactome:ProteinReference3450,abstraction:ControlsTransportOf,reactome:ProteinReference6439
reactome:ProteinReference8804,abstraction:ControlsTransportOf,reactome:ProteinReference6171
reactome:ProteinReference8779,abstraction:ControlsTransportOf,reactome:ProteinReference6171
reactome:ProteinReference1813,abstraction:ControlsTransportOf,reactome:ProteinReference1810
reactome:ProteinReference3100,abstraction:ControlsTransportOf,reactome:ProteinReference10466
reactome:ProteinReference665,abstraction:ControlsTransportOf,reactome:ProteinReference6272
reactome:ProteinReference3096,abstraction:ControlsTransportOf,reactome:ProteinReference1204
reactome:ProteinReference5140,abstraction:ControlsTransportOf,reactome:ProteinReference5133
reactome:ProteinReference4114,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference665,abstraction:ControlsTransportOf,reactome:ProteinReference663
reactome:ProteinReference6064,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference665,abstraction:ControlsTransportOf,reactome:ProteinReference6273
reactome:ProteinReference665,abstraction:ControlsTransportOf,reactome:ProteinReference6274
reactome:ProteinReference665,abstraction:ControlsTransportOf,reactome:ProteinReference6243
reactome:ProteinReference1773,abstraction:ControlsTransportOf,reactome:ProteinReference5133
reactome:ProteinReference8392,abstraction:ControlsTransportOf,reactome:ProteinReference8391
reactome:ProteinReference4113,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference7939,abstraction:ControlsTransportOf,reactome:ProteinReference9945
reactome:ProteinReference9380,abstraction:ControlsTransportOf,reactome:ProteinReference9372
reactome:ProteinReference5138,abstraction:ControlsTransportOf,reactome:ProteinReference5133
reactome:ProteinReference642,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference5030,abstraction:ControlsTransportOf,reactome:ProteinReference11421
reactome:ProteinReference665,abstraction:ControlsTransportOf,reactome:ProteinReference6270
reactome:ProteinReference5139,abstraction:ControlsTransportOf,reactome:ProteinReference5133
reactome:ProteinReference5206,abstraction:ControlsTransportOf,reactome:ProteinReference5189
reactome:ProteinReference8781,abstraction:ControlsTransportOf,reactome:ProteinReference6171
reactome:ProteinReference659,abstraction:ControlsTransportOf,reactome:ProteinReference3569
reactome:ProteinReference3100,abstraction:ControlsTransportOf,reactome:ProteinReference6103
reactome:ProteinReference3570,abstraction:ControlsTransportOf,reactome:ProteinReference6692
reactome:ProteinReference3100,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference5709,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference8777,abstraction:ControlsTransportOf,reactome:ProteinReference6171
reactome:ProteinReference1811,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference3585,abstraction:ControlsTransportOf,reactome:ProteinReference9873
reactome:ProteinReference659,abstraction:ControlsTransportOf,reactome:ProteinReference3928
reactome:ProteinReference665,abstraction:ControlsTransportOf,reactome:ProteinReference6268
reactome:ProteinReference8965,abstraction:ControlsTransportOf,reactome:ProteinReference3585
reactome:ProteinReference4115,abstraction:ControlsTransportOf,reactome:ProteinReference8907
reactome:ProteinReference8116,abstraction:ControlsTransportOf,reactome:ProteinReference8086
