Source,Interaction,Target
reactome:ProteinReference7338,abstraction:ControlsExpressionOf,reactome:ProteinReference7331
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference6247
reactome:ProteinReference10833,abstraction:ControlsExpressionOf,reactome:ProteinReference10832
reactome:ProteinReference7330,abstraction:ControlsExpressionOf,reactome:ProteinReference10838
reactome:ProteinReference11033,abstraction:ControlsExpressionOf,reactome:ProteinReference11035
reactome:ProteinReference6148,abstraction:ControlsExpressionOf,reactome:ProteinReference9927
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference6249
reactome:ProteinReference5393,abstraction:ControlsExpressionOf,reactome:ProteinReference10847
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference6261
reactome:ProteinReference6150,abstraction:ControlsExpressionOf,reactome:ProteinReference5252
reactome:ProteinReference5164,abstraction:ControlsExpressionOf,reactome:ProteinReference5162
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference4135
reactome:ProteinReference8740,abstraction:ControlsExpressionOf,reactome:ProteinReference11254
reactome:ProteinReference5390,abstraction:ControlsExpressionOf,reactome:ProteinReference7324
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference5611
reactome:ProteinReference11045,abstraction:ControlsExpressionOf,reactome:ProteinReference281
reactome:ProteinReference4636,abstraction:ControlsExpressionOf,reactome:ProteinReference6785
reactome:ProteinReference10851,abstraction:ControlsExpressionOf,reactome:ProteinReference7604
reactome:ProteinReference11045,abstraction:ControlsExpressionOf,reactome:ProteinReference11049
reactome:ProteinReference3477,abstraction:ControlsExpressionOf,reactome:ProteinReference10580
reactome:ProteinReference7712,abstraction:ControlsExpressionOf,reactome:ProteinReference10845
reactome:ProteinReference6693,abstraction:ControlsExpressionOf,reactome:ProteinReference10425
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference6255
reactome:ProteinReference8740,abstraction:ControlsExpressionOf,reactome:ProteinReference11271
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference936
reactome:ProteinReference5407,abstraction:ControlsExpressionOf,reactome:ProteinReference10825
reactome:ProteinReference6096,abstraction:ControlsExpressionOf,reactome:ProteinReference5039
reactome:ProteinReference11036,abstraction:ControlsExpressionOf,reactome:ProteinReference767
reactome:ProteinReference10836,abstraction:ControlsExpressionOf,reactome:ProteinReference10833
reactome:ProteinReference11275,abstraction:ControlsExpressionOf,reactome:ProteinReference1124
reactome:ProteinReference7330,abstraction:ControlsExpressionOf,reactome:ProteinReference7604
reactome:ProteinReference5156,abstraction:ControlsExpressionOf,reactome:ProteinReference11036
reactome:ProteinReference7324,abstraction:ControlsExpressionOf,reactome:ProteinReference5450
reactome:ProteinReference6278,abstraction:ControlsExpressionOf,reactome:ProteinReference8227
reactome:ProteinReference11033,abstraction:ControlsExpressionOf,reactome:ProteinReference11038
reactome:ProteinReference10832,abstraction:ControlsExpressionOf,reactome:ProteinReference10833
reactome:ProteinReference11023,abstraction:ControlsExpressionOf,reactome:ProteinReference10833
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference4122
reactome:ProteinReference10835,abstraction:ControlsExpressionOf,reactome:ProteinReference7777
reactome:ProteinReference5390,abstraction:ControlsExpressionOf,reactome:ProteinReference11036
reactome:ProteinReference3509,abstraction:ControlsExpressionOf,reactome:ProteinReference10836
reactome:ProteinReference11019,abstraction:ControlsExpressionOf,reactome:ProteinReference7774
reactome:ProteinReference3073,abstraction:ControlsExpressionOf,reactome:ProteinReference8907
reactome:ProteinReference10853,abstraction:ControlsExpressionOf,reactome:ProteinReference10825
reactome:ProteinReference1087,abstraction:ControlsExpressionOf,reactome:ProteinReference1084
reactome:ProteinReference10834,abstraction:ControlsExpressionOf,reactome:ProteinReference10836
reactome:ProteinReference6689,abstraction:ControlsExpressionOf,reactome:ProteinReference11034
reactome:ProteinReference11023,abstraction:ControlsExpressionOf,reactome:ProteinReference11027
reactome:ProteinReference6278,abstraction:ControlsExpressionOf,reactome:ProteinReference6194
reactome:ProteinReference6158,abstraction:ControlsExpressionOf,reactome:ProteinReference1153
reactome:ProteinReference11018,abstraction:ControlsExpressionOf,reactome:ProteinReference10836
reactome:ProteinReference6244,abstraction:ControlsExpressionOf,reactome:ProteinReference6253
reactome:ProteinReference8195,abstraction:ControlsExpressionOf,reactome:ProteinReference10580
reactome:ProteinReference11043,abstraction:ControlsExpressionOf,reactome:ProteinReference1799
