Source,Interaction,Target
reactome:ProteinReference955,abstraction:NeighborOf,reactome:ProteinReference956
reactome:ProteinReference2448,abstraction:NeighborOf,reactome:ProteinReference2461
reactome:ProteinReference1058,abstraction:NeighborOf,reactome:ProteinReference1067
reactome:ProteinReference8659,abstraction:NeighborOf,reactome:ProteinReference8712
reactome:ProteinReference8644,abstraction:NeighborOf,reactome:ProteinReference8746
reactome:ProteinReference3098,abstraction:NeighborOf,reactome:ProteinReference5036
reactome:ProteinReference8666,abstraction:NeighborOf,reactome:ProteinReference8723
reactome:ProteinReference2872,abstraction:NeighborOf,reactome:ProteinReference2962
reactome:ProteinReference8677,abstraction:NeighborOf,reactome:ProteinReference8757
reactome:ProteinReference8656,abstraction:NeighborOf,reactome:ProteinReference8672
reactome:ProteinReference8750,abstraction:NeighborOf,reactome:ProteinReference8755
reactome:ProteinReference8662,abstraction:NeighborOf,reactome:ProteinReference8671
reactome:ProteinReference1297,abstraction:NeighborOf,reactome:ProteinReference8907
reactome:ProteinReference8649,abstraction:NeighborOf,reactome:ProteinReference8732
reactome:ProteinReference2465,abstraction:NeighborOf,reactome:ProteinReference3202
reactome:ProteinReference1717,abstraction:NeighborOf,reactome:ProteinReference1718
reactome:ProteinReference8715,abstraction:NeighborOf,reactome:ProteinReference8722
reactome:ProteinReference8705,abstraction:NeighborOf,reactome:ProteinReference8733
reactome:ProteinReference2935,abstraction:NeighborOf,reactome:ProteinReference2936
reactome:ProteinReference5709,abstraction:NeighborOf,reactome:ProteinReference642
reactome:ProteinReference8707,abstraction:NeighborOf,reactome:ProteinReference8715
reactome:ProteinReference8560,abstraction:NeighborOf,reactome:ProteinReference9698
reactome:ProteinReference8645,abstraction:NeighborOf,reactome:ProteinReference8699
reactome:ProteinReference10583,abstraction:NeighborOf,reactome:ProteinReference4490
reactome:ProteinReference3100,abstraction:NeighborOf,reactome:ProteinReference3101
reactome:ProteinReference2788,abstraction:NeighborOf,reactome:ProteinReference9954
reactome:ProteinReference8700,abstraction:NeighborOf,reactome:ProteinReference8703
