Source,Interaction,Target
reactome:ProteinReference1364,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference44
reactome:ProteinReference1221,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference954
reactome:ProteinReference2195,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference233
reactome:ProteinReference2227,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference127
reactome:ProteinReference832,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference44
reactome:ProteinReference1712,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference3
reactome:ProteinReference1620,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference174
reactome:ProteinReference1325,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference293
reactome:ProteinReference1228,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference294
reactome:ProteinReference1466,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference205
reactome:ProteinReference7787,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference5
reactome:ProteinReference2381,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1425
reactome:ProteinReference438,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference5
reactome:ProteinReference8511,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference44
reactome:ProteinReference1626,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference828
reactome:ProteinReference1210,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference242
reactome:ProteinReference742,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference231
reactome:ProteinReference1331,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference44
reactome:ProteinReference958,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference414
reactome:ProteinReference1454,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference310
reactome:ProteinReference1712,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference242
reactome:ProteinReference2190,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1287
reactome:ProteinReference242,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference45
reactome:ProteinReference2703,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference349
reactome:ProteinReference2589,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference44
reactome:ProteinReference3096,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference5
reactome:ProteinReference2076,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference233
reactome:ProteinReference11332,abstraction:ControlsProductionOf,reactome:SmallMoleculeReference1417
