Source,Interaction,Target
reactome:ProteinReference5423,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6716
reactome:ProteinReference9463,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6711
reactome:ProteinReference6134,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6133
reactome:ProteinReference5795,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference9468
reactome:ProteinReference3364,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8091
reactome:ProteinReference1271,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5036
reactome:ProteinReference5110,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference1294
reactome:ProteinReference4548,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference10646
reactome:ProteinReference6089,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6746
reactome:ProteinReference1438,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference11417
reactome:ProteinReference5862,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7750
reactome:ProteinReference9381,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3891
reactome:ProteinReference4916,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference4611
reactome:ProteinReference7346,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6092
reactome:ProteinReference5600,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3098
reactome:ProteinReference5835,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference9468
reactome:ProteinReference1815,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7849
reactome:ProteinReference5864,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7750
reactome:ProteinReference7735,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6103
reactome:ProteinReference8969,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6401
reactome:ProteinReference361,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6710
reactome:ProteinReference1502,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference4387
reactome:ProteinReference6134,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6136
reactome:ProteinReference2241,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6850
reactome:ProteinReference3095,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5408
reactome:ProteinReference351,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6710
reactome:ProteinReference5863,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6711
reactome:ProteinReference5852,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference9468
reactome:ProteinReference9459,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7750
reactome:ProteinReference5423,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference2847
reactome:ProteinReference3217,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7588
reactome:ProteinReference6168,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6048
reactome:ProteinReference379,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7451
reactome:ProteinReference6430,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5595
reactome:ProteinReference6167,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference7847
reactome:ProteinReference6855,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5295
reactome:ProteinReference6089,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3095
reactome:ProteinReference6089,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6747
reactome:ProteinReference377,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference8286
reactome:ProteinReference5632,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference3098
reactome:ProteinReference6168,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference6038
reactome:ProteinReference6747,abstraction:ControlsPhosphorylationOf,reactome:ProteinReference5408
