Source,Interaction,Target
reactome:ProteinReference10912,abstraction:CatalysisPrecedes,reactome:ProteinReference12152
reactome:ProteinReference6732,abstraction:CatalysisPrecedes,reactome:ProteinReference5783
reactome:ProteinReference5838,abstraction:CatalysisPrecedes,reactome:ProteinReference5845
reactome:ProteinReference12071,abstraction:CatalysisPrecedes,reactome:ProteinReference11517
reactome:ProteinReference5789,abstraction:CatalysisPrecedes,reactome:ProteinReference5836
reactome:ProteinReference255,abstraction:CatalysisPrecedes,reactome:ProteinReference94
reactome:ProteinReference1542,abstraction:CatalysisPrecedes,reactome:ProteinReference198
reactome:ProteinReference5788,abstraction:CatalysisPrecedes,reactome:ProteinReference6430
reactome:ProteinReference128,abstraction:CatalysisPrecedes,reactome:ProteinReference387
reactome:ProteinReference2140,abstraction:CatalysisPrecedes,reactome:ProteinReference617
reactome:ProteinReference6871,abstraction:CatalysisPrecedes,reactome:ProteinReference5843
reactome:ProteinReference5558,abstraction:CatalysisPrecedes,reactome:ProteinReference10912
reactome:ProteinReference3509,abstraction:CatalysisPrecedes,reactome:ProteinReference5808
reactome:ProteinReference10934,abstraction:CatalysisPrecedes,reactome:ProteinReference4214
reactome:ProteinReference6853,abstraction:CatalysisPrecedes,reactome:ProteinReference5836
reactome:ProteinReference2646,abstraction:CatalysisPrecedes,reactome:ProteinReference7697
reactome:ProteinReference1027,abstraction:CatalysisPrecedes,reactome:ProteinReference1033
reactome:ProteinReference1021,abstraction:CatalysisPrecedes,reactome:ProteinReference1508
reactome:ProteinReference573,abstraction:CatalysisPrecedes,reactome:ProteinReference1760
reactome:ProteinReference231,abstraction:CatalysisPrecedes,reactome:ProteinReference530
reactome:ProteinReference6700,abstraction:CatalysisPrecedes,reactome:ProteinReference5838
reactome:ProteinReference6874,abstraction:CatalysisPrecedes,reactome:ProteinReference5840
reactome:ProteinReference360,abstraction:CatalysisPrecedes,reactome:ProteinReference5623
reactome:ProteinReference6426,abstraction:CatalysisPrecedes,reactome:ProteinReference8957
reactome:ProteinReference105,abstraction:CatalysisPrecedes,reactome:ProteinReference5340
reactome:ProteinReference5235,abstraction:CatalysisPrecedes,reactome:ProteinReference11569
reactome:ProteinReference7758,abstraction:CatalysisPrecedes,reactome:ProteinReference11431
reactome:ProteinReference6924,abstraction:CatalysisPrecedes,reactome:ProteinReference5850
reactome:ProteinReference231,abstraction:CatalysisPrecedes,reactome:ProteinReference150
reactome:ProteinReference3908,abstraction:CatalysisPrecedes,reactome:ProteinReference2136
reactome:ProteinReference2382,abstraction:CatalysisPrecedes,reactome:ProteinReference2323
reactome:ProteinReference12067,abstraction:CatalysisPrecedes,reactome:ProteinReference11512
reactome:ProteinReference6295,abstraction:CatalysisPrecedes,reactome:ProteinReference104
reactome:ProteinReference11547,abstraction:CatalysisPrecedes,reactome:ProteinReference12090
reactome:ProteinReference103,abstraction:CatalysisPrecedes,reactome:ProteinReference6532
reactome:ProteinReference272,abstraction:CatalysisPrecedes,reactome:ProteinReference12092
reactome:ProteinReference9645,abstraction:CatalysisPrecedes,reactome:ProteinReference11432
reactome:ProteinReference5591,abstraction:CatalysisPrecedes,reactome:ProteinReference1021
reactome:ProteinReference323,abstraction:CatalysisPrecedes,reactome:ProteinReference4343
reactome:ProteinReference5859,abstraction:CatalysisPrecedes,reactome:ProteinReference1013
reactome:ProteinReference1763,abstraction:CatalysisPrecedes,reactome:ProteinReference1762
reactome:ProteinReference1495,abstraction:CatalysisPrecedes,reactome:ProteinReference6927
reactome:ProteinReference356,abstraction:CatalysisPrecedes,reactome:ProteinReference5842
reactome:ProteinReference5816,abstraction:CatalysisPrecedes,reactome:ProteinReference5861
reactome:ProteinReference5850,abstraction:CatalysisPrecedes,reactome:ProteinReference6430
reactome:ProteinReference1300,abstraction:CatalysisPrecedes,reactome:ProteinReference1277
reactome:ProteinReference6734,abstraction:CatalysisPrecedes,reactome:ProteinReference5823
reactome:ProteinReference234,abstraction:CatalysisPrecedes,reactome:ProteinReference463
reactome:ProteinReference5779,abstraction:CatalysisPrecedes,reactome:ProteinReference5629
reactome:ProteinReference222,abstraction:CatalysisPrecedes,reactome:ProteinReference140
reactome:ProteinReference6453,abstraction:CatalysisPrecedes,reactome:ProteinReference6735
reactome:ProteinReference6844,abstraction:CatalysisPrecedes,reactome:ProteinReference5763
reactome:ProteinReference5066,abstraction:CatalysisPrecedes,reactome:ProteinReference1025
reactome:ProteinReference6694,abstraction:CatalysisPrecedes,reactome:ProteinReference5832
reactome:ProteinReference1984,abstraction:CatalysisPrecedes,reactome:ProteinReference1942
reactome:ProteinReference5291,abstraction:CatalysisPrecedes,reactome:ProteinReference2793
reactome:ProteinReference464,abstraction:CatalysisPrecedes,reactome:ProteinReference11531
