Source,Interaction,Target
reactome:SmallMoleculeReference296,abstraction:ConsumptionControlledBy,reactome:ProteinReference618
reactome:SmallMoleculeReference425,abstraction:ConsumptionControlledBy,reactome:ProteinReference867
reactome:SmallMoleculeReference49,abstraction:ConsumptionControlledBy,reactome:ProteinReference8431
reactome:SmallMoleculeReference174,abstraction:ConsumptionControlledBy,reactome:ProteinReference289
reactome:SmallMoleculeReference1717,abstraction:ConsumptionControlledBy,reactome:ProteinReference2740
reactome:SmallMoleculeReference1569,abstraction:ConsumptionControlledBy,reactome:ProteinReference2627
reactome:SmallMoleculeReference120,abstraction:ConsumptionControlledBy,reactome:ProteinReference3950
reactome:SmallMoleculeReference190,abstraction:ConsumptionControlledBy,reactome:ProteinReference309
reactome:SmallMoleculeReference7,abstraction:ConsumptionControlledBy,reactome:ProteinReference1419
reactome:SmallMoleculeReference159,abstraction:ConsumptionControlledBy,reactome:ProteinReference2719
reactome:SmallMoleculeReference45,abstraction:ConsumptionControlledBy,reactome:ProteinReference1064
reactome:SmallMoleculeReference207,abstraction:ConsumptionControlledBy,reactome:ProteinReference3373
reactome:SmallMoleculeReference489,abstraction:ConsumptionControlledBy,reactome:ProteinReference1042
reactome:SmallMoleculeReference174,abstraction:ConsumptionControlledBy,reactome:ProteinReference285
reactome:SmallMoleculeReference985,abstraction:ConsumptionControlledBy,reactome:ProteinReference1725
reactome:SmallMoleculeReference673,abstraction:ConsumptionControlledBy,reactome:ProteinReference1276
reactome:SmallMoleculeReference301,abstraction:ConsumptionControlledBy,reactome:ProteinReference1369
reactome:SmallMoleculeReference302,abstraction:ConsumptionControlledBy,reactome:ProteinReference1837
reactome:SmallMoleculeReference194,abstraction:ConsumptionControlledBy,reactome:ProteinReference310
reactome:SmallMoleculeReference134,abstraction:ConsumptionControlledBy,reactome:ProteinReference217
reactome:SmallMoleculeReference381,abstraction:ConsumptionControlledBy,reactome:ProteinReference842
reactome:SmallMoleculeReference120,abstraction:ConsumptionControlledBy,reactome:ProteinReference3402
reactome:SmallMoleculeReference96,abstraction:ConsumptionControlledBy,reactome:ProteinReference9061
reactome:SmallMoleculeReference1870,abstraction:ConsumptionControlledBy,reactome:ProteinReference1623
reactome:SmallMoleculeReference133,abstraction:ConsumptionControlledBy,reactome:ProteinReference213
reactome:SmallMoleculeReference211,abstraction:ConsumptionControlledBy,reactome:ProteinReference969
reactome:SmallMoleculeReference66,abstraction:ConsumptionControlledBy,reactome:ProteinReference169
reactome:SmallMoleculeReference1160,abstraction:ConsumptionControlledBy,reactome:ProteinReference1939
reactome:SmallMoleculeReference120,abstraction:ConsumptionControlledBy,reactome:ProteinReference3392
reactome:SmallMoleculeReference97,abstraction:ConsumptionControlledBy,reactome:ProteinReference1679
reactome:SmallMoleculeReference790,abstraction:ConsumptionControlledBy,reactome:ProteinReference1423
reactome:SmallMoleculeReference963,abstraction:ConsumptionControlledBy,reactome:ProteinReference2701
reactome:SmallMoleculeReference45,abstraction:ConsumptionControlledBy,reactome:ProteinReference12050
reactome:SmallMoleculeReference120,abstraction:ConsumptionControlledBy,reactome:ProteinReference9043
reactome:SmallMoleculeReference466,abstraction:ConsumptionControlledBy,reactome:ProteinReference694
reactome:SmallMoleculeReference211,abstraction:ConsumptionControlledBy,reactome:ProteinReference2691
reactome:SmallMoleculeReference985,abstraction:ConsumptionControlledBy,reactome:ProteinReference1727
reactome:SmallMoleculeReference1672,abstraction:ConsumptionControlledBy,reactome:ProteinReference2690
reactome:SmallMoleculeReference159,abstraction:ConsumptionControlledBy,reactome:ProteinReference270
reactome:SmallMoleculeReference205,abstraction:ConsumptionControlledBy,reactome:ProteinReference2154
reactome:SmallMoleculeReference1986,abstraction:ConsumptionControlledBy,reactome:ProteinReference5185
reactome:SmallMoleculeReference466,abstraction:ConsumptionControlledBy,reactome:ProteinReference362
reactome:SmallMoleculeReference159,abstraction:ConsumptionControlledBy,reactome:ProteinReference236
reactome:SmallMoleculeReference342,abstraction:ConsumptionControlledBy,reactome:ProteinReference1498
reactome:SmallMoleculeReference342,abstraction:ConsumptionControlledBy,reactome:ProteinReference5514
reactome:SmallMoleculeReference307,abstraction:ConsumptionControlledBy,reactome:ProteinReference1470
reactome:SmallMoleculeReference810,abstraction:ConsumptionControlledBy,reactome:ProteinReference1481
reactome:SmallMoleculeReference747,abstraction:ConsumptionControlledBy,reactome:ProteinReference1345
reactome:SmallMoleculeReference140,abstraction:ConsumptionControlledBy,reactome:ProteinReference2436
reactome:SmallMoleculeReference215,abstraction:ConsumptionControlledBy,reactome:ProteinReference2674
reactome:SmallMoleculeReference91,abstraction:ConsumptionControlledBy,reactome:ProteinReference1127
reactome:SmallMoleculeReference979,abstraction:ConsumptionControlledBy,reactome:ProteinReference1190
reactome:SmallMoleculeReference2560,abstraction:ConsumptionControlledBy,reactome:ProteinReference8449
reactome:SmallMoleculeReference211,abstraction:ConsumptionControlledBy,reactome:ProteinReference944
reactome:SmallMoleculeReference574,abstraction:ConsumptionControlledBy,reactome:ProteinReference2741
reactome:SmallMoleculeReference163,abstraction:ConsumptionControlledBy,reactome:ProteinReference2551
reactome:SmallMoleculeReference96,abstraction:ConsumptionControlledBy,reactome:ProteinReference1064
reactome:SmallMoleculeReference43,abstraction:ConsumptionControlledBy,reactome:ProteinReference11515
reactome:SmallMoleculeReference1348,abstraction:ConsumptionControlledBy,reactome:ProteinReference2277
reactome:SmallMoleculeReference150,abstraction:ConsumptionControlledBy,reactome:ProteinReference2389
reactome:SmallMoleculeReference219,abstraction:ConsumptionControlledBy,reactome:ProteinReference328
reactome:SmallMoleculeReference342,abstraction:ConsumptionControlledBy,reactome:ProteinReference6437
reactome:SmallMoleculeReference1456,abstraction:ConsumptionControlledBy,reactome:ProteinReference2419
reactome:SmallMoleculeReference492,abstraction:ConsumptionControlledBy,reactome:ProteinReference1050
reactome:SmallMoleculeReference154,abstraction:ConsumptionControlledBy,reactome:ProteinReference2076
reactome:SmallMoleculeReference68,abstraction:ConsumptionControlledBy,reactome:ProteinReference172
reactome:SmallMoleculeReference149,abstraction:ConsumptionControlledBy,reactome:ProteinReference1890
reactome:SmallMoleculeReference1930,abstraction:ConsumptionControlledBy,reactome:ProteinReference1529
reactome:SmallMoleculeReference336,abstraction:ConsumptionControlledBy,reactome:ProteinReference1594
reactome:SmallMoleculeReference1220,abstraction:ConsumptionControlledBy,reactome:ProteinReference2103
reactome:SmallMoleculeReference466,abstraction:ConsumptionControlledBy,reactome:ProteinReference5836
reactome:SmallMoleculeReference1843,abstraction:ConsumptionControlledBy,reactome:ProteinReference4354
reactome:SmallMoleculeReference1221,abstraction:ConsumptionControlledBy,reactome:ProteinReference2103
reactome:SmallMoleculeReference466,abstraction:ConsumptionControlledBy,reactome:ProteinReference5838
reactome:SmallMoleculeReference1820,abstraction:ConsumptionControlledBy,reactome:ProteinReference2684
reactome:SmallMoleculeReference302,abstraction:ConsumptionControlledBy,reactome:ProteinReference1275
reactome:SmallMoleculeReference647,abstraction:ConsumptionControlledBy,reactome:ProteinReference1188
reactome:SmallMoleculeReference96,abstraction:ConsumptionControlledBy,reactome:ProteinReference10395
reactome:SmallMoleculeReference122,abstraction:ConsumptionControlledBy,reactome:ProteinReference209
reactome:SmallMoleculeReference46,abstraction:ConsumptionControlledBy,reactome:ProteinReference566
reactome:SmallMoleculeReference1209,abstraction:ConsumptionControlledBy,reactome:ProteinReference2102
reactome:SmallMoleculeReference522,abstraction:ConsumptionControlledBy,reactome:ProteinReference1194
reactome:SmallMoleculeReference207,abstraction:ConsumptionControlledBy,reactome:ProteinReference3406
reactome:SmallMoleculeReference96,abstraction:ConsumptionControlledBy,reactome:ProteinReference9064
reactome:SmallMoleculeReference1572,abstraction:ConsumptionControlledBy,reactome:ProteinReference1752
reactome:SmallMoleculeReference95,abstraction:ConsumptionControlledBy,reactome:ProteinReference2410
reactome:SmallMoleculeReference97,abstraction:ConsumptionControlledBy,reactome:ProteinReference1065
reactome:SmallMoleculeReference43,abstraction:ConsumptionControlledBy,reactome:ProteinReference12083
reactome:SmallMoleculeReference574,abstraction:ConsumptionControlledBy,reactome:ProteinReference8411
reactome:SmallMoleculeReference45,abstraction:ConsumptionControlledBy,reactome:ProteinReference11506
reactome:SmallMoleculeReference499,abstraction:ConsumptionControlledBy,reactome:ProteinReference186
reactome:SmallMoleculeReference215,abstraction:ConsumptionControlledBy,reactome:ProteinReference965
reactome:SmallMoleculeReference209,abstraction:ConsumptionControlledBy,reactome:ProteinReference4351
reactome:SmallMoleculeReference302,abstraction:ConsumptionControlledBy,reactome:ProteinReference11373
reactome:SmallMoleculeReference120,abstraction:ConsumptionControlledBy,reactome:ProteinReference2361
reactome:SmallMoleculeReference1213,abstraction:ConsumptionControlledBy,reactome:ProteinReference2137
reactome:SmallMoleculeReference1607,abstraction:ConsumptionControlledBy,reactome:ProteinReference2639
reactome:SmallMoleculeReference43,abstraction:ConsumptionControlledBy,reactome:ProteinReference11560
reactome:SmallMoleculeReference468,abstraction:ConsumptionControlledBy,reactome:ProteinReference1347
reactome:SmallMoleculeReference163,abstraction:ConsumptionControlledBy,reactome:ProteinReference2322
reactome:SmallMoleculeReference209,abstraction:ConsumptionControlledBy,reactome:ProteinReference4346
reactome:SmallMoleculeReference45,abstraction:ConsumptionControlledBy,reactome:ProteinReference109
reactome:SmallMoleculeReference43,abstraction:ConsumptionControlledBy,reactome:ProteinReference457
reactome:SmallMoleculeReference347,abstraction:ConsumptionControlledBy,reactome:ProteinReference11304
reactome:SmallMoleculeReference829,abstraction:ConsumptionControlledBy,reactome:ProteinReference1581
reactome:SmallMoleculeReference154,abstraction:ConsumptionControlledBy,reactome:ProteinReference2436
reactome:SmallMoleculeReference7,abstraction:ConsumptionControlledBy,reactome:ProteinReference1383
reactome:SmallMoleculeReference910,abstraction:ConsumptionControlledBy,reactome:ProteinReference1658
reactome:SmallMoleculeReference466,abstraction:ConsumptionControlledBy,reactome:ProteinReference1766
reactome:SmallMoleculeReference207,abstraction:ConsumptionControlledBy,reactome:ProteinReference1590
reactome:SmallMoleculeReference120,abstraction:ConsumptionControlledBy,reactome:ProteinReference8267
reactome:SmallMoleculeReference1554,abstraction:ConsumptionControlledBy,reactome:ProteinReference1132
reactome:SmallMoleculeReference342,abstraction:ConsumptionControlledBy,reactome:ProteinReference4577
reactome:SmallMoleculeReference1587,abstraction:ConsumptionControlledBy,reactome:ProteinReference1255
reactome:SmallMoleculeReference986,abstraction:ConsumptionControlledBy,reactome:ProteinReference1156
reactome:SmallMoleculeReference201,abstraction:ConsumptionControlledBy,reactome:ProteinReference309
reactome:SmallMoleculeReference1930,abstraction:ConsumptionControlledBy,reactome:ProteinReference4797
reactome:SmallMoleculeReference355,abstraction:ConsumptionControlledBy,reactome:ProteinReference750
reactome:SmallMoleculeReference466,abstraction:ConsumptionControlledBy,reactome:ProteinReference5937
reactome:SmallMoleculeReference46,abstraction:ConsumptionControlledBy,reactome:ProteinReference106
reactome:SmallMoleculeReference1547,abstraction:ConsumptionControlledBy,reactome:ProteinReference393
reactome:SmallMoleculeReference8,abstraction:ConsumptionControlledBy,reactome:ProteinReference1469
reactome:SmallMoleculeReference514,abstraction:ConsumptionControlledBy,reactome:ProteinReference1182
reactome:SmallMoleculeReference140,abstraction:ConsumptionControlledBy,reactome:ProteinReference2434
reactome:SmallMoleculeReference466,abstraction:ConsumptionControlledBy,reactome:ProteinReference5523
reactome:SmallMoleculeReference145,abstraction:ConsumptionControlledBy,reactome:ProteinReference2338
reactome:SmallMoleculeReference96,abstraction:ConsumptionControlledBy,reactome:ProteinReference5421
reactome:SmallMoleculeReference1735,abstraction:ConsumptionControlledBy,reactome:ProteinReference1237
reactome:SmallMoleculeReference157,abstraction:ConsumptionControlledBy,reactome:ProteinReference2372
reactome:SmallMoleculeReference302,abstraction:ConsumptionControlledBy,reactome:ProteinReference1168
reactome:SmallMoleculeReference261,abstraction:ConsumptionControlledBy,reactome:ProteinReference1396
reactome:SmallMoleculeReference1591,abstraction:ConsumptionControlledBy,reactome:ProteinReference2634
reactome:SmallMoleculeReference145,abstraction:ConsumptionControlledBy,reactome:ProteinReference232
reactome:SmallMoleculeReference149,abstraction:ConsumptionControlledBy,reactome:ProteinReference1705
