Source,Interaction,Target
reactome:ProteinReference8450,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference2562
reactome:ProteinReference712,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference336
reactome:ProteinReference243,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference139
reactome:ProteinReference8476,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference48
reactome:ProteinReference447,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference46
reactome:ProteinReference13,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference11
reactome:ProteinReference499,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference45
reactome:ProteinReference215,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference135
reactome:ProteinReference5561,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference46
reactome:ProteinReference254,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference149
reactome:ProteinReference1934,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference44
reactome:ProteinReference585,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference282
reactome:ProteinReference215,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference126
reactome:ProteinReference1137,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference99
reactome:ProteinReference214,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference44
reactome:ProteinReference284,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference174
reactome:ProteinReference1567,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference312
reactome:ProteinReference110,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference45
reactome:ProteinReference170,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference1825
reactome:ProteinReference12097,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference46
reactome:ProteinReference4150,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference45
reactome:ProteinReference11531,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference43
reactome:ProteinReference2025,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference44
reactome:ProteinReference1940,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference44
reactome:ProteinReference8470,abstraction:ControlsTransportOfChemical,reactome:SmallMoleculeReference2559
