Source,Interaction,Target
reactome:SmallMoleculeReference326,abstraction:ReactsWith,reactome:SmallMoleculeReference337
reactome:SmallMoleculeReference1571,abstraction:ReactsWith,reactome:SmallMoleculeReference2395
reactome:SmallMoleculeReference1560,abstraction:ReactsWith,reactome:SmallMoleculeReference2395
reactome:SmallMoleculeReference2397,abstraction:ReactsWith,reactome:SmallMoleculeReference2376
reactome:SmallMoleculeReference2995,abstraction:ReactsWith,reactome:SmallMoleculeReference2404
reactome:SmallMoleculeReference2924,abstraction:ReactsWith,reactome:SmallMoleculeReference2942
reactome:SmallMoleculeReference2949,abstraction:ReactsWith,reactome:SmallMoleculeReference1615
reactome:SmallMoleculeReference2395,abstraction:ReactsWith,reactome:SmallMoleculeReference2392
reactome:SmallMoleculeReference1458,abstraction:ReactsWith,reactome:SmallMoleculeReference2370
reactome:SmallMoleculeReference2948,abstraction:ReactsWith,reactome:SmallMoleculeReference125
reactome:SmallMoleculeReference2951,abstraction:ReactsWith,reactome:SmallMoleculeReference2922
reactome:SmallMoleculeReference2950,abstraction:ReactsWith,reactome:SmallMoleculeReference2953
reactome:SmallMoleculeReference325,abstraction:ReactsWith,reactome:SmallMoleculeReference318
reactome:SmallMoleculeReference134,abstraction:ReactsWith,reactome:SmallMoleculeReference126
reactome:SmallMoleculeReference2378,abstraction:ReactsWith,reactome:SmallMoleculeReference2401
reactome:SmallMoleculeReference123,abstraction:ReactsWith,reactome:SmallMoleculeReference2921
reactome:SmallMoleculeReference658,abstraction:ReactsWith,reactome:SmallMoleculeReference91
reactome:SmallMoleculeReference2366,abstraction:ReactsWith,reactome:SmallMoleculeReference2402
reactome:SmallMoleculeReference2387,abstraction:ReactsWith,reactome:SmallMoleculeReference2986
reactome:SmallMoleculeReference2381,abstraction:ReactsWith,reactome:SmallMoleculeReference2378
reactome:SmallMoleculeReference120,abstraction:ReactsWith,reactome:SmallMoleculeReference141
reactome:SmallMoleculeReference2990,abstraction:ReactsWith,reactome:SmallMoleculeReference2983
reactome:SmallMoleculeReference2405,abstraction:ReactsWith,reactome:SmallMoleculeReference2990
reactome:SmallMoleculeReference220,abstraction:ReactsWith,reactome:SmallMoleculeReference218
reactome:SmallMoleculeReference2756,abstraction:ReactsWith,reactome:SmallMoleculeReference2098
reactome:SmallMoleculeReference219,abstraction:ReactsWith,reactome:SmallMoleculeReference2964
reactome:SmallMoleculeReference2366,abstraction:ReactsWith,reactome:SmallMoleculeReference2974
reactome:SmallMoleculeReference1820,abstraction:ReactsWith,reactome:SmallMoleculeReference1819
reactome:SmallMoleculeReference743,abstraction:ReactsWith,reactome:SmallMoleculeReference158
reactome:SmallMoleculeReference70,abstraction:ReactsWith,reactome:SmallMoleculeReference96
reactome:SmallMoleculeReference2917,abstraction:ReactsWith,reactome:SmallMoleculeReference2947
reactome:SmallMoleculeReference2931,abstraction:ReactsWith,reactome:SmallMoleculeReference2958
reactome:SmallMoleculeReference2977,abstraction:ReactsWith,reactome:SmallMoleculeReference2375
reactome:SmallMoleculeReference2957,abstraction:ReactsWith,reactome:SmallMoleculeReference2937
reactome:SmallMoleculeReference2995,abstraction:ReactsWith,reactome:SmallMoleculeReference2973
reactome:SmallMoleculeReference2942,abstraction:ReactsWith,reactome:SmallMoleculeReference123
reactome:SmallMoleculeReference2941,abstraction:ReactsWith,reactome:SmallMoleculeReference2932
reactome:SmallMoleculeReference1160,abstraction:ReactsWith,reactome:SmallMoleculeReference1196
reactome:SmallMoleculeReference935,abstraction:ReactsWith,reactome:SmallMoleculeReference934
reactome:SmallMoleculeReference2996,abstraction:ReactsWith,reactome:SmallMoleculeReference2406
reactome:SmallMoleculeReference2948,abstraction:ReactsWith,reactome:SmallMoleculeReference2924
reactome:SmallMoleculeReference1180,abstraction:ReactsWith,reactome:SmallMoleculeReference1179
reactome:SmallMoleculeReference723,abstraction:ReactsWith,reactome:SmallMoleculeReference1182
reactome:SmallMoleculeReference2404,abstraction:ReactsWith,reactome:SmallMoleculeReference2981
reactome:SmallMoleculeReference331,abstraction:ReactsWith,reactome:SmallMoleculeReference324
reactome:SmallMoleculeReference219,abstraction:ReactsWith,reactome:SmallMoleculeReference2941
reactome:SmallMoleculeReference244,abstraction:ReactsWith,reactome:SmallMoleculeReference1390
reactome:SmallMoleculeReference335,abstraction:ReactsWith,reactome:SmallMoleculeReference326
reactome:SmallMoleculeReference224,abstraction:ReactsWith,reactome:SmallMoleculeReference225
reactome:SmallMoleculeReference2389,abstraction:ReactsWith,reactome:SmallMoleculeReference2393
reactome:SmallMoleculeReference1088,abstraction:ReactsWith,reactome:SmallMoleculeReference1087
reactome:SmallMoleculeReference2394,abstraction:ReactsWith,reactome:SmallMoleculeReference2392
reactome:SmallMoleculeReference331,abstraction:ReactsWith,reactome:SmallMoleculeReference328
reactome:SmallMoleculeReference813,abstraction:ReactsWith,reactome:SmallMoleculeReference466
reactome:SmallMoleculeReference219,abstraction:ReactsWith,reactome:SmallMoleculeReference1130
reactome:SmallMoleculeReference318,abstraction:ReactsWith,reactome:SmallMoleculeReference325
reactome:SmallMoleculeReference2389,abstraction:ReactsWith,reactome:SmallMoleculeReference2377
reactome:SmallMoleculeReference123,abstraction:ReactsWith,reactome:SmallMoleculeReference2925
reactome:SmallMoleculeReference2391,abstraction:ReactsWith,reactome:SmallMoleculeReference2971
reactome:SmallMoleculeReference2983,abstraction:ReactsWith,reactome:SmallMoleculeReference2993
reactome:SmallMoleculeReference814,abstraction:ReactsWith,reactome:SmallMoleculeReference466
reactome:SmallMoleculeReference2385,abstraction:ReactsWith,reactome:SmallMoleculeReference1560
reactome:SmallMoleculeReference1556,abstraction:ReactsWith,reactome:SmallMoleculeReference2391
reactome:SmallMoleculeReference2403,abstraction:ReactsWith,reactome:SmallMoleculeReference2970
reactome:SmallMoleculeReference2985,abstraction:ReactsWith,reactome:SmallMoleculeReference2398
reactome:SmallMoleculeReference1560,abstraction:ReactsWith,reactome:SmallMoleculeReference2917
reactome:SmallMoleculeReference2400,abstraction:ReactsWith,reactome:SmallMoleculeReference2372
reactome:SmallMoleculeReference2385,abstraction:ReactsWith,reactome:SmallMoleculeReference2982
reactome:SmallMoleculeReference2946,abstraction:ReactsWith,reactome:SmallMoleculeReference2959
reactome:SmallMoleculeReference215,abstraction:ReactsWith,reactome:SmallMoleculeReference1661
reactome:SmallMoleculeReference16,abstraction:ReactsWith,reactome:SmallMoleculeReference43
reactome:SmallMoleculeReference215,abstraction:ReactsWith,reactome:SmallMoleculeReference1571
reactome:SmallMoleculeReference142,abstraction:ReactsWith,reactome:SmallMoleculeReference152
reactome:SmallMoleculeReference82,abstraction:ReactsWith,reactome:SmallMoleculeReference70
reactome:SmallMoleculeReference204,abstraction:ReactsWith,reactome:SmallMoleculeReference1868
reactome:SmallMoleculeReference2949,abstraction:ReactsWith,reactome:SmallMoleculeReference2948
reactome:SmallMoleculeReference325,abstraction:ReactsWith,reactome:SmallMoleculeReference327
reactome:SmallMoleculeReference146,abstraction:ReactsWith,reactome:SmallMoleculeReference152
reactome:SmallMoleculeReference74,abstraction:ReactsWith,reactome:SmallMoleculeReference76
reactome:SmallMoleculeReference149,abstraction:ReactsWith,reactome:SmallMoleculeReference120
reactome:SmallMoleculeReference123,abstraction:ReactsWith,reactome:SmallMoleculeReference2931
reactome:SmallMoleculeReference2961,abstraction:ReactsWith,reactome:SmallMoleculeReference1615
reactome:SmallMoleculeReference141,abstraction:ReactsWith,reactome:SmallMoleculeReference146
reactome:SmallMoleculeReference1337,abstraction:ReactsWith,reactome:SmallMoleculeReference1336
reactome:SmallMoleculeReference2921,abstraction:ReactsWith,reactome:SmallMoleculeReference2923
reactome:SmallMoleculeReference194,abstraction:ReactsWith,reactome:SmallMoleculeReference190
reactome:SmallMoleculeReference158,abstraction:ReactsWith,reactome:SmallMoleculeReference153
reactome:SmallMoleculeReference2379,abstraction:ReactsWith,reactome:SmallMoleculeReference1560
reactome:SmallMoleculeReference2408,abstraction:ReactsWith,reactome:SmallMoleculeReference2375
reactome:SmallMoleculeReference2987,abstraction:ReactsWith,reactome:SmallMoleculeReference2404
reactome:SmallMoleculeReference332,abstraction:ReactsWith,reactome:SmallMoleculeReference336
reactome:SmallMoleculeReference2379,abstraction:ReactsWith,reactome:SmallMoleculeReference2982
reactome:SmallMoleculeReference2974,abstraction:ReactsWith,reactome:SmallMoleculeReference2971
reactome:SmallMoleculeReference316,abstraction:ReactsWith,reactome:SmallMoleculeReference326
reactome:SmallMoleculeReference2951,abstraction:ReactsWith,reactome:SmallMoleculeReference2939
reactome:SmallMoleculeReference311,abstraction:ReactsWith,reactome:SmallMoleculeReference317
reactome:SmallMoleculeReference2959,abstraction:ReactsWith,reactome:SmallMoleculeReference2953
reactome:SmallMoleculeReference2397,abstraction:ReactsWith,reactome:SmallMoleculeReference2994
reactome:SmallMoleculeReference2983,abstraction:ReactsWith,reactome:SmallMoleculeReference2385
reactome:SmallMoleculeReference315,abstraction:ReactsWith,reactome:SmallMoleculeReference325
reactome:SmallMoleculeReference2969,abstraction:ReactsWith,reactome:SmallMoleculeReference2973
reactome:SmallMoleculeReference2923,abstraction:ReactsWith,reactome:SmallMoleculeReference2963
reactome:SmallMoleculeReference820,abstraction:ReactsWith,reactome:SmallMoleculeReference309
reactome:SmallMoleculeReference2941,abstraction:ReactsWith,reactome:SmallMoleculeReference125
reactome:SmallMoleculeReference141,abstraction:ReactsWith,reactome:SmallMoleculeReference165
reactome:SmallMoleculeReference1935,abstraction:ReactsWith,reactome:SmallMoleculeReference2944
reactome:SmallMoleculeReference2372,abstraction:ReactsWith,reactome:SmallMoleculeReference2407
reactome:SmallMoleculeReference2976,abstraction:ReactsWith,reactome:SmallMoleculeReference2371
reactome:SmallMoleculeReference2993,abstraction:ReactsWith,reactome:SmallMoleculeReference2402
reactome:SmallMoleculeReference2997,abstraction:ReactsWith,reactome:SmallMoleculeReference2990
reactome:SmallMoleculeReference2972,abstraction:ReactsWith,reactome:SmallMoleculeReference2366
reactome:SmallMoleculeReference2938,abstraction:ReactsWith,reactome:SmallMoleculeReference2930
reactome:SmallMoleculeReference2931,abstraction:ReactsWith,reactome:SmallMoleculeReference2937
reactome:SmallMoleculeReference2946,abstraction:ReactsWith,reactome:SmallMoleculeReference123
reactome:SmallMoleculeReference2993,abstraction:ReactsWith,reactome:SmallMoleculeReference2974
reactome:SmallMoleculeReference2372,abstraction:ReactsWith,reactome:SmallMoleculeReference2976
reactome:SmallMoleculeReference1054,abstraction:ReactsWith,reactome:SmallMoleculeReference1059
reactome:SmallMoleculeReference2971,abstraction:ReactsWith,reactome:SmallMoleculeReference2396
reactome:SmallMoleculeReference2386,abstraction:ReactsWith,reactome:SmallMoleculeReference971
reactome:SmallMoleculeReference2925,abstraction:ReactsWith,reactome:SmallMoleculeReference2919
reactome:SmallMoleculeReference2400,abstraction:ReactsWith,reactome:SmallMoleculeReference2407
reactome:SmallMoleculeReference2397,abstraction:ReactsWith,reactome:SmallMoleculeReference2989
reactome:SmallMoleculeReference226,abstraction:ReactsWith,reactome:SmallMoleculeReference1966
reactome:SmallMoleculeReference2957,abstraction:ReactsWith,reactome:SmallMoleculeReference2926
reactome:SmallMoleculeReference2373,abstraction:ReactsWith,reactome:SmallMoleculeReference2984
reactome:SmallMoleculeReference2987,abstraction:ReactsWith,reactome:SmallMoleculeReference2973
reactome:SmallMoleculeReference2370,abstraction:ReactsWith,reactome:SmallMoleculeReference2399
reactome:SmallMoleculeReference2981,abstraction:ReactsWith,reactome:SmallMoleculeReference2379
reactome:SmallMoleculeReference2996,abstraction:ReactsWith,reactome:SmallMoleculeReference2981
reactome:SmallMoleculeReference2346,abstraction:ReactsWith,reactome:SmallMoleculeReference127
