Source,Interaction,Target
reactome:SmallMoleculeReference64,abstraction:UsedToProduce,reactome:SmallMoleculeReference65
reactome:SmallMoleculeReference158,abstraction:UsedToProduce,reactome:SmallMoleculeReference233
reactome:SmallMoleculeReference1083,abstraction:UsedToProduce,reactome:SmallMoleculeReference1081
reactome:SmallMoleculeReference1219,abstraction:UsedToProduce,reactome:SmallMoleculeReference1215
reactome:SmallMoleculeReference1087,abstraction:UsedToProduce,reactome:SmallMoleculeReference1084
reactome:SmallMoleculeReference8,abstraction:UsedToProduce,reactome:SmallMoleculeReference804
reactome:SmallMoleculeReference1737,abstraction:UsedToProduce,reactome:SmallMoleculeReference1740
reactome:SmallMoleculeReference169,abstraction:UsedToProduce,reactome:SmallMoleculeReference162
reactome:SmallMoleculeReference218,abstraction:UsedToProduce,reactome:SmallMoleculeReference1171
reactome:SmallMoleculeReference474,abstraction:UsedToProduce,reactome:SmallMoleculeReference473
reactome:SmallMoleculeReference199,abstraction:UsedToProduce,reactome:SmallMoleculeReference190
reactome:SmallMoleculeReference67,abstraction:UsedToProduce,reactome:SmallMoleculeReference82
reactome:SmallMoleculeReference456,abstraction:UsedToProduce,reactome:SmallMoleculeReference460
reactome:SmallMoleculeReference336,abstraction:UsedToProduce,reactome:SmallMoleculeReference318
reactome:SmallMoleculeReference873,abstraction:UsedToProduce,reactome:SmallMoleculeReference233
reactome:SmallMoleculeReference162,abstraction:UsedToProduce,reactome:SmallMoleculeReference45
reactome:SmallMoleculeReference333,abstraction:UsedToProduce,reactome:SmallMoleculeReference317
reactome:SmallMoleculeReference1532,abstraction:UsedToProduce,reactome:SmallMoleculeReference95
reactome:SmallMoleculeReference1182,abstraction:UsedToProduce,reactome:SmallMoleculeReference159
reactome:SmallMoleculeReference754,abstraction:UsedToProduce,reactome:SmallMoleculeReference233
reactome:SmallMoleculeReference1702,abstraction:UsedToProduce,reactome:SmallMoleculeReference95
reactome:SmallMoleculeReference349,abstraction:UsedToProduce,reactome:SmallMoleculeReference1177
reactome:SmallMoleculeReference724,abstraction:UsedToProduce,reactome:SmallMoleculeReference349
reactome:SmallMoleculeReference1449,abstraction:UsedToProduce,reactome:SmallMoleculeReference1506
reactome:SmallMoleculeReference16,abstraction:UsedToProduce,reactome:SmallMoleculeReference145
reactome:SmallMoleculeReference326,abstraction:UsedToProduce,reactome:SmallMoleculeReference332
reactome:SmallMoleculeReference139,abstraction:UsedToProduce,reactome:SmallMoleculeReference98
reactome:SmallMoleculeReference323,abstraction:UsedToProduce,reactome:SmallMoleculeReference330
reactome:SmallMoleculeReference324,abstraction:UsedToProduce,reactome:SmallMoleculeReference340
reactome:SmallMoleculeReference209,abstraction:UsedToProduce,reactome:SmallMoleculeReference1883
reactome:SmallMoleculeReference342,abstraction:UsedToProduce,reactome:SmallMoleculeReference466
reactome:SmallMoleculeReference67,abstraction:UsedToProduce,reactome:SmallMoleculeReference68
reactome:SmallMoleculeReference1155,abstraction:UsedToProduce,reactome:SmallMoleculeReference1156
reactome:SmallMoleculeReference334,abstraction:UsedToProduce,reactome:SmallMoleculeReference321
reactome:SmallMoleculeReference79,abstraction:UsedToProduce,reactome:SmallMoleculeReference16
reactome:SmallMoleculeReference1882,abstraction:UsedToProduce,reactome:SmallMoleculeReference1883
reactome:SmallMoleculeReference1210,abstraction:UsedToProduce,reactome:SmallMoleculeReference1211
reactome:SmallMoleculeReference1462,abstraction:UsedToProduce,reactome:SmallMoleculeReference1429
reactome:SmallMoleculeReference393,abstraction:UsedToProduce,reactome:SmallMoleculeReference214
reactome:SmallMoleculeReference337,abstraction:UsedToProduce,reactome:SmallMoleculeReference312
reactome:SmallMoleculeReference876,abstraction:UsedToProduce,reactome:SmallMoleculeReference883
reactome:SmallMoleculeReference1464,abstraction:UsedToProduce,reactome:SmallMoleculeReference1403
reactome:SmallMoleculeReference216,abstraction:UsedToProduce,reactome:SmallMoleculeReference207
reactome:SmallMoleculeReference71,abstraction:UsedToProduce,reactome:SmallMoleculeReference79
