Node,Type,EntityName
reactome:Protein4607,Protein,WDR46
reactome:Protein4626,Protein,"UTP14A,C"
reactome:Protein7364,Protein,MRPL57
reactome:Protein7403,Protein,MRPL42
reactome:Protein4225,Protein,p68
reactome:Protein4373,Protein,hSLU7
reactome:Protein7334,Protein,MRPS35
reactome:Protein7342,Protein,MRPS26
reactome:Protein30097,Protein,NIR
reactome:Protein9028,Protein,AURKB
reactome:Protein4190,Protein,PCBP2
reactome:Protein4192,Protein,RBMX
reactome:Protein26118,Protein,EAF6
reactome:Protein26120,Protein,KAT6A
reactome:Protein24046,Protein,UL76
reactome:Protein4361,Protein,SYF2
reactome:Protein4362,Protein,GPATCH1
reactome:Protein6427,Protein,ITGB4
reactome:Protein6428,Protein,ITGA6
reactome:Protein24039,Protein,UL83
reactome:Protein24057,Protein,UL97
reactome:Protein4201,Protein,SRSF1
reactome:Protein4359,Protein,DHX38
reactome:Protein4746,Protein,NOP10
reactome:Protein4748,Protein,DKC1
reactome:Protein4240,Protein,Sm-D1
reactome:Protein4246,Protein,SmE
reactome:Protein14547,Protein,Histone deacetylase
reactome:Protein17284,Protein,PRDM4
reactome:Protein16115,Protein,GLI3
reactome:Protein16116,Protein,SUFU
reactome:Protein11124,Protein,CRB3
reactome:Protein11126,Protein,PATJ
reactome:Protein32752,Protein,NR2 subunits
reactome:Protein3931,Protein,UROD
reactome:Protein4783,Protein,FAM98B
reactome:Protein4785,Protein,ZBTB8OS
reactome:Protein3762,Protein,RPS13
reactome:Protein3765,Protein,RPS29
reactome:Protein31026,Protein,TBX6
reactome:Protein31032,Protein,RIPPLY2
reactome:Protein16481,Protein,"Activated JAK1, JAK2, TYK2"
reactome:Protein16484,Protein,gp130
reactome:Protein30951,Protein,THM1
reactome:Protein30952,Protein,WDR35
reactome:Protein17069,Protein,PLK1
reactome:Protein30785,Protein,SFI1
reactome:Protein4203,Protein,SRSF3
reactome:Protein4332,Protein,PPIE
reactome:Protein26476,Protein,HLA II alpha chain
reactome:Protein26481,Protein,HLA II beta chain
reactome:Protein27393,Protein,AC40
reactome:Protein27408,Protein,RPB8
reactome:Protein7300,Protein,SSR1
reactome:Protein7302,Protein,SSR2
reactome:Protein1069,Protein,PPP2R1A
reactome:Protein30817,Protein,PLK4
reactome:Protein3810,Protein,RPL6
reactome:Protein3819,Protein,"RPL39,RPL39L"
reactome:Protein29609,Protein,RPA40
reactome:Protein4161,Protein,RPB10
reactome:Protein3222,Protein,COX6C(1-75)
reactome:Protein3249,Protein,COX7C
reactome:Protein23966,Protein,NP
reactome:Protein23980,Protein,PB2
reactome:Protein12339,Protein,Apc2
reactome:Protein12344,Protein,CDC26
reactome:Protein16216,Protein,RARG
reactome:Protein16217,Protein,RXRG
reactome:Protein4303,Protein,MTR4
reactome:Protein4313,Protein,ZMAT2
reactome:Protein4219,Protein,HNRNPL
reactome:Protein4712,Protein,RPP14
reactome:Protein4717,Protein,BYSL
reactome:Protein17411,Protein,"STAT1, STAT3"
reactome:Protein9120,Protein,PKR
reactome:Protein7324,Protein,MRPS9
reactome:Protein7349,Protein,MRPS2
reactome:Protein4609,Protein,DDX49
reactome:Protein4654,Protein,EMG1
reactome:Protein4335,Protein,EIF4A3
reactome:Protein7331,Protein,MRPS30
reactome:Protein2004,Protein,PBP
reactome:Protein2049,Protein,MED22
reactome:Protein4337,Protein,PPIL2
reactome:Protein4374,Protein,PRKRIP1
reactome:Protein27756,Protein,S100A7A
reactome:Protein26283,Protein,Snf5
reactome:Protein26461,Protein,"SMARCC1,2"
reactome:Protein7376,Protein,MRPL4
reactome:Protein7407,Protein,MRPL12
reactome:Protein4376,Protein,FAM50A
reactome:Protein4704,Protein,RPS25
reactome:Protein4705,Protein,RIOK2
reactome:Protein31753,Protein,CDC6
reactome:Protein31759,Protein,CDT1
reactome:Protein30818,Protein,Nlp
reactome:Protein8233,Protein,DYNC1H1
reactome:Protein30865,Protein,BBS7
reactome:Protein30871,Protein,BBS5
reactome:Protein4237,Protein,RBM7
reactome:Protein11282,Protein,ERK2
reactome:Protein10011,Protein,VHL
reactome:Protein24393,Protein,pp1ab-nsp16
reactome:Protein30781,Protein,IQCB1
reactome:Protein453,Protein,PRKACA
reactome:Protein32426,Protein,CHMP2
reactome:Protein32432,Protein,CHMP4
reactome:Protein4291,Protein,PRPF4
reactome:Protein4293,Protein,PRPF3
reactome:Protein31964,Protein,NME7
reactome:Protein31965,Protein,MZT2B
reactome:Protein30802,Protein,CEP41
reactome:Protein30813,Protein,NEDD1
reactome:Protein30585,Protein,POLD2
reactome:Protein30586,Protein,POLD4
reactome:Protein26699,Protein,ANAPC1
reactome:Protein26702,Protein,Apc4
reactome:Protein3767,Protein,RPS6
reactome:Protein3778,Protein,RPS8
reactome:Protein4277,Protein,Ehb3
reactome:Protein4671,Protein,RPS15A
reactome:Protein4701,Protein,CSNK1D
reactome:Protein3131,Protein,CGI-39
reactome:Protein3134,Protein,NDUFA6
reactome:Protein4873,Protein,GEMIN7
reactome:Protein4875,Protein,DDX20
reactome:Protein29333,Protein,FN14
reactome:Protein3811,Protein,RPL27
reactome:Protein3834,Protein,RPL15
reactome:Protein30386,Protein,GTF3C6
reactome:Protein30389,Protein,GTF3C5
reactome:Protein27019,Protein,CD94
reactome:Protein27020,Protein,KLRC1
reactome:Protein4197,Protein,SRSF9
reactome:Protein4248,Protein,DHX9
reactome:Protein4619,Protein,RPS14
reactome:Protein24714,Protein,IL17R
reactome:Protein24716,Protein,IL17RC
