entityRef,entityRefID
reactome:ProteinReference9243,P28067
reactome:ProteinReference10125,Q96SR6
reactome:ProteinReference1115,Q9Y2X0
reactome:ProteinReference2198,Q86VD7
reactome:ProteinReference7163,Q9BYT8
reactome:ProteinReference4223,Q12955
reactome:ProteinReference973,Q9NS84
reactome:ProteinReference4175,O43617
reactome:ProteinReference4913,Q8TF61
reactome:ProteinReference10764,Q6ZW61
reactome:ProteinReference3614,P20807
reactome:ProteinReference2135,P49902
reactome:ProteinReference3917,O75347
reactome:ProteinReference202,Q8NCS7
reactome:ProteinReference6598,P00738
reactome:ProteinReference2142,P36639-4
reactome:ProteinReference2813,Q09161
reactome:ProteinReference345,Q8NBQ7
reactome:ProteinReference3387,Q14993
reactome:ProteinReference5517,Q9P1W8
reactome:ProteinReference10550,Q7Z3Z4
reactome:ProteinReference5673,P19652
reactome:ProteinReference1206,O00519
reactome:ProteinReference1769,P50148
reactome:ProteinReference7469,O94827
reactome:ProteinReference1506,P48736
reactome:ProteinReference912,P78333
reactome:ProteinReference7704,Q9H2A2
reactome:ProteinReference7855,Q9Y466
reactome:ProteinReference567,Q9UL62
reactome:ProteinReference8608,Q14241
reactome:ProteinReference1787,Q14643
reactome:ProteinReference7761,P23458
reactome:ProteinReference6855,O14757
reactome:ProteinReference6940,Q969W9
reactome:ProteinReference954,Q8IZP7
reactome:ProteinReference6908,P05981
reactome:ProteinReference9556,Q8WWA0
reactome:ProteinReference3788,P49406
reactome:ProteinReference9632,P02750
reactome:ProteinReference1667,O95487
reactome:ProteinReference5014,Q6PH85
reactome:ProteinReference9904,P32971
reactome:ProteinReference1440,P06276
reactome:ProteinReference5148,Q07075
reactome:ProteinReference3255,Q6P087
reactome:ProteinReference5019,Q14999
reactome:ProteinReference11997,Q96RA2
reactome:ProteinReference4791,P51153
reactome:ProteinReference7967,O14559
reactome:ProteinReference1864,Q99798
reactome:ProteinReference1608,Q6UWY0
reactome:ProteinReference6829,Q13464
reactome:ProteinReference11962,O95007
reactome:ProteinReference18,P45844
reactome:ProteinReference6590,Q8TC07
reactome:ProteinReference12092,Q0ZLH3
reactome:ProteinReference1069,Q96RS0
reactome:ProteinReference4140,P53634
reactome:ProteinReference9668,Q9Y3L5
reactome:ProteinReference7521,O00548
reactome:ProteinReference11966,Q9NZP2
reactome:ProteinReference9451,O75575
reactome:ProteinReference3065,Q6NTF7
reactome:ProteinReference8370,P52564-1
reactome:ProteinReference4321,Q10472
reactome:ProteinReference5983,O95235
reactome:ProteinReference4858,Q3SXZ7
reactome:ProteinReference7322,Q13635
reactome:ProteinReference10319,Q68DY9
reactome:ProteinReference6333,Q15643
reactome:ProteinReference2397,Q6ZQW0
reactome:ProteinReference9623,P36222
reactome:ProteinReference247,O75387
reactome:ProteinReference6436,Q6UW88
reactome:ProteinReference7923,Q8IUC4
reactome:ProteinReference415,Q16864
reactome:ProteinReference5053,P01024
reactome:ProteinReference11177,Q9BYR4
reactome:ProteinReference7416,P34947
reactome:ProteinReference4206,P33947
reactome:ProteinReference256,Q7Z2H8
reactome:ProteinReference6189,Q96PH1
reactome:ProteinReference8073,P15924
reactome:ProteinReference5504,P50552
reactome:ProteinReference843,P49247
reactome:ProteinReference4957,Q96Q27
reactome:ProteinReference3011,Q6IEG0
reactome:ProteinReference2666,P16083
reactome:ProteinReference6141,Q8WW22
reactome:ProteinReference10538,P10243
reactome:ProteinReference6513,Q9Y3E7
