entityRef,entityRefName
reactome:ProteinReference9243,RING6
reactome:ProteinReference9243,UniProt:P28067 HLA-DMA
reactome:ProteinReference9243,DMA
reactome:ProteinReference9243,HLA-DMA
reactome:ProteinReference10125,UniProt:Q96SR6 ZNF382
reactome:ProteinReference10125,ZNF382
reactome:ProteinReference1115,DRIP92
reactome:ProteinReference1115,MED16
reactome:ProteinReference1115,UniProt:Q9Y2X0 MED16
reactome:ProteinReference1115,THRAP5
reactome:ProteinReference2198,UniProt:Q86VD7 SLC25A42
reactome:ProteinReference2198,SLC25A42
reactome:ProteinReference7163,UniProt:Q9BYT8 NLN
reactome:ProteinReference7163,AGTBP
reactome:ProteinReference7163,NLN
reactome:ProteinReference7163,KIAA1226
reactome:ProteinReference4223,UniProt:Q12955 ANK3
reactome:ProteinReference4223,ANK3
reactome:ProteinReference973,UniProt:Q9NS84 CHST7
reactome:ProteinReference973,CHST7
reactome:ProteinReference4175,CDABP0066
reactome:ProteinReference4175,UniProt:O43617 TRAPPC3
reactome:ProteinReference4175,TRAPPC3
reactome:ProteinReference4175,BET3
reactome:ProteinReference4913,KIAA1940
reactome:ProteinReference4913,UniProt:Q8TF61 FBXO41
reactome:ProteinReference4913,FBX41
reactome:ProteinReference4913,FBXO41
reactome:ProteinReference10764,C4orf24
reactome:ProteinReference10764,BBS12
reactome:ProteinReference10764,UniProt:Q6ZW61 BBS12
reactome:ProteinReference3614,UniProt:P20807 CAPN3
reactome:ProteinReference3614,CANP3
reactome:ProteinReference3614,CANPL3
reactome:ProteinReference3614,CAPN3
reactome:ProteinReference3614,NCL1
reactome:ProteinReference2135,NT5C2
reactome:ProteinReference2135,NT5CP
reactome:ProteinReference2135,UniProt:P49902 NT5C2
reactome:ProteinReference2135,PNT5
reactome:ProteinReference2135,NT5B
reactome:ProteinReference3917,UniProt:O75347 TBCA
reactome:ProteinReference3917,TBCA
reactome:ProteinReference202,UniProt:Q8NCS7 SLC44A5
reactome:ProteinReference202,SLC44A5
reactome:ProteinReference202,CTL5
