From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0AVF1	A0AVF1	reviewed	IFT56_HUMAN	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)	IFT56 TTC26	Homo sapiens (Human)	554
A0AVI4	A0AVI4	reviewed	TM129_HUMAN	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)	TMEM129	Homo sapiens (Human)	362
A0AVK6	A0AVK6	reviewed	E2F8_HUMAN	Transcription factor E2F8 (E2F-8)	E2F8	Homo sapiens (Human)	867
A0AVT1	A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052
A0FGR8	A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921
A0FGR9	A0FGR9	reviewed	ESYT3_HUMAN	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)	ESYT3 FAM62C	Homo sapiens (Human)	886
A0JLT2	A0JLT2	reviewed	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	MED19 LCMR1	Homo sapiens (Human)	244
A0MZ66	A0MZ66	reviewed	SHOT1_HUMAN	Shootin-1 (Shootin1)	SHTN1 KIAA1598	Homo sapiens (Human)	631
A0PJK1	A0PJK1	reviewed	SC5AA_HUMAN	Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)	SLC5A10 SGLT5	Homo sapiens (Human)	596
A0PJW6	A0PJW6	reviewed	TM223_HUMAN	Transmembrane protein 223	TMEM223	Homo sapiens (Human)	202
A1A4S6	A1A4S6	reviewed	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786
A1L188	A1L188	reviewed	NDUF8_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUFAF8 C17orf89	Homo sapiens (Human)	74
A1L190	A1L190	reviewed	SYCE3_HUMAN	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	SYCE3 C22orf41 THEG2	Homo sapiens (Human)	88
A1L3X0	A1L3X0	reviewed	ELOV7_HUMAN	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	ELOVL7	Homo sapiens (Human)	281
A2RRP1	A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371
A2RU49	A2RU49	reviewed	HYKK_HUMAN	Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)	HYKK AGPHD1	Homo sapiens (Human)	373
A2RUC4	A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	315
A2RUS2	A2RUS2	reviewed	DEND3_HUMAN	DENN domain-containing protein 3	DENND3 KIAA0870	Homo sapiens (Human)	1198
A2VDF0	A2VDF0	reviewed	FUCM_HUMAN	Fucose mutarotase (EC 5.1.3.29)	FUOM C10orf125	Homo sapiens (Human)	154
A4D126	A4D126	reviewed	ISPD_HUMAN	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)	CRPPA ISPD	Homo sapiens (Human)	451
A4GXA9	A4GXA9	reviewed	EME2_HUMAN	Structure-specific endonuclease subunit EME2 (Essential meiotic structure-specific endonuclease subunit 2)	EME2	Homo sapiens (Human)	379
A4UGR9	A4UGR9	reviewed	XIRP2_HUMAN	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	XIRP2 CMYA3	Homo sapiens (Human)	3374
A5D6W6	A5D6W6	reviewed	FITM1_HUMAN	Fat storage-inducing transmembrane protein 1 (Fat-inducing protein 1)	FITM1 FIT1	Homo sapiens (Human)	292
A5LHX3	A5LHX3	reviewed	PSB11_HUMAN	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	PSMB11	Homo sapiens (Human)	300
A5PLN9	A5PLN9	reviewed	TPC13_HUMAN	Trafficking protein particle complex subunit 13	TRAPPC13 C5orf44	Homo sapiens (Human)	417
A5X5Y0	A5X5Y0	reviewed	5HT3E_HUMAN	5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)	HTR3E	Homo sapiens (Human)	456
A5YKK6	A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376
A5YM72	A5YM72	reviewed	CRNS1_HUMAN	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1 KIAA1394	Homo sapiens (Human)	827
A6H8Y1	A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	BDP1 KIAA1241 KIAA1689 TFNR	Homo sapiens (Human)	2624
A6NDG6	A6NDG6	reviewed	PGP_HUMAN	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	PGP	Homo sapiens (Human)	321
A6NDY0	A6NDY0	reviewed	EPAB2_HUMAN	Embryonic polyadenylate-binding protein 2 (Embryonic poly(A)-binding protein 2) (ePABP-2) (ePABP2) (Embryonic poly(A)-binding protein type II) (Poly(A)-binding protein nuclear-like 1)	PABPN1L EPABP2 PABPNL1	Homo sapiens (Human)	278
A6NFK2	A6NFK2	reviewed	GRCR2_HUMAN	Glutaredoxin domain-containing cysteine-rich protein 2 (GRXCR1-like protein) (Glutaredoxin domain-containing cysteine-rich protein 1-like protein)	GRXCR2	Homo sapiens (Human)	248
A6NFY7	A6NFY7	reviewed	SDHF1_HUMAN	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)	SDHAF1 LYRM8	Homo sapiens (Human)	115
A6NGU5	A6NGU5	reviewed	GGT3_HUMAN	Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain]	GGT3P GGT3	Homo sapiens (Human)	568
A6NHX0	A6NHX0	reviewed	CAST2_HUMAN	Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)	CASTOR2 GATSL1 GATSL2	Homo sapiens (Human)	329
A6NI15	A6NI15	reviewed	MSGN1_HUMAN	Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)	MSGN1	Homo sapiens (Human)	193
